陈胡公满者，虞帝舜之後也。	Hồ công Mãn nước Trần là hậu duệ của đế Thuấn thời Ngu.
昔舜为庶人时，尧妻之二女，居于 妫汭，其後因为氏姓，姓妫氏。	Xưa kia, khi Thuấn còn là dân thường, được Nghiêu gả hai người con gái cho, sống ở Quy Nhuế, con cháu đời sau nhân đó lấy họ là Quy thị.
舜已崩，传禹天下，而舜子商均为封 国。	Sau khi Thuấn băng hà, truyền thiên hạ cho Vũ, rồi con của Thuấn là Thương Quân được phong nước.
至于周武王克殷纣，乃复求舜後， 得妫满，封之於陈， 以奉帝舜 祀，是为胡公。	Đến khi Chu Vũ vương diệt vua Trụ nhà Ân, lại tìm kiếm hậu duệ của đế Thuấn, tìm được Quy Mãn, phong cho đất Trần, để phụng thờ việc tế tự đế Thuấn, đó là Hồ công.
胡公卒，子申公犀侯立。 申公卒，弟相公皋羊立。	Hồ công chết, con là Thân công Tê hầu lên thay. Thân công chết, em trai là Tương công Cao Dương lên thay.
相公卒，立申 公子突，是为孝公。 孝公卒，子慎公圉戎立。	Tương công chết, lập con trai của Thân công là Đột lên thay, đó là Hiếu công. Hiếu công chết, con là Thận công Ngữ Nhung lên thay.
慎公当周厉王时。	Thận công tương đương thời Chu Lệ vương.
慎公 卒，子幽公宁立。	Thận công chết, con là U công Ninh lên thay.
幽公十二年，周厉王奔于彘。	U công năm thứ mười hai, Chu Lệ vương chạy ra đất Trệ.
二十三年，幽公卒，子釐公孝立。	Năm thứ hai mươi ba, U công chết, con là Hy công Hiếu lên thay.
釐公六年，周宣王即位。	Hy công năm thứ sáu, Chu Tuyên vương lên ngôi.
三十 六年，釐公卒，子武公灵立。 武公十五年卒，子夷公说立。	Năm thứ ba mươi sáu, Hy công chết, con là Vũ Công Linh lên thay. Vũ công năm thứ mười lăm thì chết, con là Di công Duyệt lên thay.
是岁，周 幽王即位。	Năm ấy, Chu U vương lên ngôi.
夷公三年卒，弟平公燮立。	Di công năm thứ ba thì chết, em trai là Bình công Nhiếp lên thay.
平公七年， 周幽王为犬戎所杀，周东徙。	Bình công năm thứ bảy, Chu U vương bị Khuyển Nhung giết, nhà Chu dời sang phía đông.
秦始列为诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
二十三年，平公卒，子文公圉立。	Năm thứ hai mươi ba, Bình công chết, con là Văn công Ngữ lên thay.
文公元年，取蔡女，生子佗。	Năm Văn công thứ nhất, lấy người con gái nước Sái, sinh con là Đà.
十年，文公卒，长子 桓公鲍立。	Năm thứ mười, Văn công chết, con trưởng là Hoàn công Bão lên thay.
桓公二十三年，鲁隐公初立。	Hoàn công năm thứ hai mươi ba, Lỗ Ẩn công mới lên ngôi.
二十六年，卫杀其君州吁。	Năm thứ hai mươi sáu, người Vệ giết vua nước mình là Châu Hu.
三十三 年，鲁弑其君隐公。	Năm thứ ba mươi ba, người Lỗ giết vua nước mình là Ẩn công.
三十八年正月甲戌己丑，桓公鲍卒。	Ngày Giáp Tuất, ngày Kỷ Sửu tháng Giêng năm thứ ba mươi tám, Hoàn công Bão chết.
桓公弟佗，其母蔡女，故蔡人为佗杀五父及桓公 太子免而立佗， 是为 厉公。	Đà là em trai Hoàn công, mẹ Đà là người đàn bà nước Sái, nên người Sái mới vì Đà giết Ngũ Phủ và Thái tử của Hoàn công là Miễn rồi lập Đà lên ngôi, đó là Lệ công.
