卫康叔 名封，周武王同母少弟也。	Vệ Khang thúc tên là Phong, là em cùng mẹ với Chu Vũ vương.
其次尚有厓 季，厓季最少。	Dưới ông còn có Nhiễm Quý, Nhiễm Quý là em út.
武王已克殷纣，复以殷馀民封纣子武庚禄父，比诸侯，以奉其先 祀勿绝。	Sau khi Vũ vương diệt vua Trụ nhà Ân, bèn đem dân còn lại của nhà Ân phong cho con của vua Trụ là Vũ Canh Lộc Phủ, [cho được] sánh ngang các chư hầu khác, để phụng thờ tiên tổ mình, không để bị đứt.
为武庚未集，恐其有贼心，武王乃令其弟管 叔、蔡叔傅相武庚禄父，以和其民。	Do Vũ Canh chưa quy phục, sợ [Vũ Canh] còn có lòng phản trắc, Vũ vương bèn sai hai người em của mình là Quản thúc, Sái thúc phò tá Vũ Canh Lộc Phủ, để vỗ về dân nhà Ân.
武王既崩，成王少。	Sau khi Vũ vương băng hà, Thành vương còn nhỏ.
周公旦代成 王治，当国。	Chu công Đán thay Thành vương trị nước, nắm giữ quốc sự.
管叔、蔡叔疑周公，乃与武庚禄父作乱，欲攻成周。	Quản thúc, Sái thúc nghi ngờ Chu công, bèn cùng Vũ Canh Lộc Phủ làm loạn, muốn tấn công Thành Chu.
周公旦以成王命兴师伐殷，杀武 庚禄父、管叔，放蔡叔，以武庚殷馀民封康叔为卫君，居河、淇间故 商墟。	Chu công Đán theo lệnh Thành vương, dấy binh thảo phạt nhà Ân, giết Vũ Canh Lộc Phủ và Quản thúc, lưu đày Sái thúc, đem dân còn lại của Vũ Canh nhà Ân phong cho Khang thúc làm Vệ quân, cư trú ở khoảng sông Hoàng Hà và Kỳ Thủy, là vùng đất cũ của nhà Thương.
周公旦惧康叔齿少，乃申告康叔曰：“必求殷之贤人君子长者， 问其先殷所以兴，所以亡，而务爱民。”	Chu công Đán sợ Khang thúc còn ít tuổi, mới răn bảo Khang thúc rằng: “Nhất định phải cầu tìm bậc hiền nhân, quân tử, trưởng giả của nhà Ân, hỏi họ nguyên do khiến nhà Ân trước đây hưng thịnh, nguyên do khiến nhà Ân diệt vong, người phải chuộng việc yêu dân.”
告以纣所以亡者以淫於酒， 酒之失，妇人是用，故纣之乱自此始。	Nói rằng vua Trụ sở dĩ bị diệt vong là vì đắm chìm vào rượu, rượu vào nên mắc sai lầm, tin theo nữ nhân, cho nên loạn thời Trụ khởi lên từ đó.
故谓之康诰、酒诰、梓材以 命之。	Cho nên các thiên Khang cáo, Tửu cáo, Tử tài được cho là để dạy Khang thúc.
成王长，用事，举康叔为周司寇，赐卫宝祭器， 以章有德。	Thành vương trưởng thành, đích thân xử lý triều chính, cử Khang thúc làm quan Tư khấu nhà Chu, tặng bảo vật và tế khí cho nước Vệ, để biểu dương đức tốt của Khang thúc.
康叔卒，子康伯代立。	Khang thúc chết đi, con là Khang bá lên thay.
康 伯卒，子考伯立。 考伯卒，子嗣伯立。	Khang bá chết, con là Khảo bá lên thay. Khảo bá chết, con là Tự bá lên thay. Tự bá chết, con là Tiệp bá lên thay.
嗣伯卒，子榅 伯立。 榅伯卒，子靖伯立。 靖伯 卒，子贞伯立。	Tiệp bá chết, con là Tĩnh bá lên thay. Tĩnh bá chết, con là Trinh bá lên thay.
贞伯卒，子顷侯立。	Trinh bá chết, con là Khoảnh hầu lên thay.
顷侯厚赂周夷王，夷王命卫为侯。	Khoảnh hầu dùng lễ vật trọng hậu hối lộ Chu Di vương, Di vương phong vua Vệ tước hầu.
顷侯立十二年卒，子 釐侯立。	Khoảnh hầu tại vị mười hai năm thì chết, con là Hy hầu lên thay.
二十八年，周宣王 立。	Năm thứ hai mươi tám, Chu Tuyên vương lên ngôi.
四十二年，釐侯卒，太子共伯馀立为君。	Năm thứ bốn mươi hai, Hy hầu chết, Thái tử Cung bá Dư lên làm vua.
