陈胜者，阳城人也， 字涉。 吴广者，阳夏人 也， 字叔。	Trần Thắng, người ở Dương Thành, tự là Thiệp. Ngô Quảng, người ở Dương Hạ, tự là Thúc.
陈涉少时，尝与人佣耕， 辍耕之垄上，怅恨久之， 曰：“苟富贵，无相忘。”	Trần Thiệp lúc trẻ từng đi cày thuê cho người ta, dừng cày lên gò, buồn bã hồi lâu, nói: “Nếu giàu sang thì chẳng quên nhau.”
庸者笑而应曰：“若为庸耕，何富贵 也？”	Những người đi làm thuê cười mà rằng: “Mày là thằng cày thuê, giàu sang nỗi gì?”
陈涉太息曰：“嗟乎，燕雀安知鸿鹄之志哉！”	Trần Thiệp than thở rằng: “Ôi, chim én chim sẻ thì làm sao biết được cái chí của chim hồng chim hộc!”
二世元年七月，发闾左 適戍渔阳， 九百人屯大泽 乡。	Tháng Bảy năm Tần Nhị Thế thứ nhất, nhà Tần trưng dụng dân nghèo đi làm lính thú ở Ngư Dương, chín trăm người đóng đồn hương Đại Trạch.
陈胜、吴广皆次当行，为屯长。	Trần Thắng và Ngô Quảng đều ở trong số đó, được làm đồn trưởng.
会 天大雨，道不通，度已失期。	Đúng khi mưa lớn, đường sá không thông, tính ra đã lỡ kỳ hạn.
失期，法皆斩。	Lỡ kỳ hạn, theo pháp luật đều bị xử chém.
陈胜、吴广乃谋 曰：“今亡亦死，举大计亦死，等死，死国可乎？”	Trần Thắng và Ngô Quảng bèn bàn mưu rằng: “Nay trốn cũng chết, nổi lên tính kế lớn cũng chết, đều là chết cả, chết vì nước có nên chăng?”
陈胜曰：“天下苦秦久矣。吾闻 二世少子也， 不当立，当立者乃公子扶苏。扶苏以数 谏故，上使外将兵。今或闻无罪，二世杀之。百姓多闻其贤，未知其 死也。 项燕为楚将，数有功，爱士卒，楚人怜之。或以 为死，或以为亡。今诚以吾众诈自称公子扶苏、项燕，为天下唱， 宜多应者。”	Trần Thắng nói: “Thiên hạ khổ vì nhà Tần lâu rồi. Tôi nghe nói Nhị Thế là con út, không đáng được lên ngôi, người đáng được lên ngôi là công tử Phù Tô. Phù Tô vì nhiều lần can ngăn, bị hoàng thượng sai cầm quân đến nơi xa. Nay tôi nghe có người nói là [công tử Phù Tô] vô tội, nhưng bị Nhị Thế giết chết. Trăm họ nghe nói Phù Tô hiền năng, chưa biết là đã chết. Hạng Yên làm tướng nước Sở, nhiều lần lập công, yêu quý sĩ tốt, người Sở cảm mến ông ta. Có người cho là đã chết, có người cho là đã trốn. Nay nếu đem lực lượng của ta, giả xưng là công tử Phù Tô và Hạng Yên để hiệu triệu thiên hạ, hẳn nhiều người hưởng ứng theo.”
吴广 以为然。	Ngô Quảng cho là phải.
