楚元王刘交者，高祖之同母 少弟也， 字游。	Sở Nguyên vương Lưu Giao là em út cùng mẹ với Cao tổ, tự là Du.
高祖兄弟四人，长兄伯，伯蚤卒。	Cao tổ có bốn anh em, anh cả là Bá, mất sớm.
始高祖微时，尝辟事，时时与 宾客过巨嫂食。	Xưa kia, thuở Cao tổ còn hàn vi, từng lánh nạn, thường hay cùng tân khách qua nhà chị dâu cả ăn uống.
嫂厌叔，叔与客来，嫂 详为羹尽，栎釜， 宾客以故去。	Chị dâu ghét em chồng, em chồng cùng khách đến, chị dâu vờ là canh đã hết, dùng muôi cạo vào nồi xoàng xoạc, vì thế tân khách bỏ đi.
已而视釜中尚有羹，高祖由此怨其嫂。	Thế rồi, [sau khi tân khách đi hết], [Cao tổ] nhìn vào nồi vẫn còn canh, Cao tổ từ đó oán chị dâu.
及高祖为 帝，封昆弟，而伯子独不得封。	Đến khi Cao tổ làm Hoàng đế, phong cho anh em, riêng con của Bá không được phong.
太上皇以为言，高祖曰：“某非忘封 之也，为其母不长者耳。”	Thái thượng hoàng nói về việc đó, Cao tổ đáp: “Không phải con quên phân phong cho nó, chẳng qua mẹ nó không đáng mặt đàn chị thôi.”
於是乃封其子信为羹颉侯。	Thế rồi phong cho người con của chị dâu cả là Tín làm Canh Hiệt hầu.
而王 次兄仲於代。	Còn anh thứ là Trọng được phong ở đất Đại.
高祖六年，已禽楚王韩信於陈，乃以弟交为楚王，都彭城。	Cao tổ năm thứ sáu, sau khi bắt được Sở vương Hàn Tín ở đất Trần, bèn phong em là Giao làm Sở vương, đóng đô ở Bành Thành.
即位二十三年卒，子夷王郢 立。	[Lưu Giao] lên ngôi được hai mươi ba năm thì chết, con là Di vương Dĩnh lên thay. Di vương tại vị bốn năm thì chết, con là Mậu lên thay.
王戊立二十年，冬，坐为薄太后服私奸， 削东海郡。	Sở vương Mậu năm thứ hai mươi, mùa đông, mắc tội gian dâm trong khi chịu tang Bạc Thái hậu, bị tước đất phong ở quận Đông Hải.
春，戊与吴王合谋反，其相张尚、太傅 赵夷吾谏，不听。	Mùa xuân năm sau, Mậu với Ngô vương cùng tính mưu phản, Quốc tướng của Mậu là Trương Thượng, Thái phó là Triệu Di Ngô can ngăn, không nghe.
戊则杀尚、夷吾，起兵与吴西攻梁，破棘壁。	Rồi Mậu giết Thượng và Di Ngô, dấy binh cùng Ngô vương sang tây tấn công nước Lương, phá Cức Bích.
至昌邑南， 与汉将周亚夫 战。	Kéo quân đến phía nam Xương Ấp, giao chiến với tướng Hán là Chu Á Phu.
汉绝吴楚粮道，士卒饥，吴王走，楚王戊自杀，军遂降汉。	Quân Hán cắt đứt đường vận lương của Ngô-Sở, sĩ tốt đói, Ngô vương tháo chạy, Sở vương Mậu tự sát, quân lính liền hàng Hán.
汉已平吴楚，孝景帝欲以德侯子续吴， 以元王子礼续楚。	Nhà Hán sau khi bình định được loạn Ngô-Sở, Hiếu Cảnh đế định cho con của Đức hầu kế thừa tước Ngô vương, cho con của Nguyên vương Lễ kế thừa tước Sở vương.
窦太后曰：“吴王，老人 也，宜为宗室顺善。今乃首率七国，纷乱天下，柰何续其後！”	Đậu Thái hậu nói: “Ngô vương là bậc cao niên, nên vì tông thất mà thuận theo pháp độ, làm việc tốt đẹp. Nay lại cầm đầu bảy nước, khiến thiên hạ rối loạn, sao còn cho con cháu kế tục!”
不许 吴，许立楚後。	Thái hậu không cho lập hậu duệ của Ngô vương, chỉ cho lập hậu duệ Sở vương.
是时礼为汉宗正。	Bấy giờ Lễ làm quan Tông chính nhà Hán.
乃拜礼为楚王，奉元王宗庙，是为 楚文王。	Bèn phong Lễ làm Sở vương, phụng thờ tông miếu cho Nguyên vương, đó là Sở Văn vương.
文王立三年卒，子安王道立。	Sở Văn vương lên ngôi được ba năm thì chết, con là An vương Đạo kế vị.
安王二十二年卒，子襄王注立。	An vương tại vị được hai mươi hai năm thì chết, con là Tương vương Chú lên thay.
襄 王立十四年卒，子王纯代立。	Tương vương tại vị được mười bốn năm thì chết, con là Thuần lên thay.
王纯立，地节二年，中人上书告楚王谋 反，王自杀，国除，入汉为彭城郡。	Sở vương Thuần lên ngôi, đến năm Địa Tiết thứ hai, hoạn quan dâng thư tố cáo Sở vương mưu phản, Sở vương tự sát, nước phong bị tước, sáp nhập thành quận Bành Thành nhà Hán.
赵王刘遂者，其父高祖中子，名友，谥 曰“幽”。	Triệu vương Lưu Toại, cha là con giữa của Cao tổ, tên là Hữu, thụy là U.
幽王以忧死，故为“幽”。	U vương chết vì lo buồn, nên gọi là “U”.
高后王吕禄於赵，一岁而高后 崩。	Cao hậu phong cho Lã Lộc làm Triệu vương, một năm sau thì Cao hậu băng hà.
大臣诛诸吕吕禄等，乃立幽王子遂为赵王。	Đại thần giết người họ Lã cùng bọn Lã Lộc, rồi lập con U vương là Toại làm Triệu vương.
