陈丞相平者，阳武户牖乡人也。	Thừa tướng Trần Bình người hưởng Hộ Dũ, Dương Vũ.
少时家贫，好读书，有田三十亩，独与兄伯居。	Thuở nhỏ nhà nghèo, thích đọc sách, có ba mươi mẫu ruộng, một mình với anh là Bá.
伯 常耕田，纵平使游学。	Bá thường cày ruộng, để Bình được ra ngoài cầu học.
平为人长美色。	Bình là người cao lớn đẹp trai.
人或谓陈平曰：“贫何食而肥 若是？”	Có người bảo Trần Bình rằng: “Nghèo, ăn gì mà béo tốt thế?”
其嫂嫉平之不视家生产，曰：“亦食糠覈耳。 有叔如此，不如无有。”	Chị dâu ghét Bình vì không chú trọng việc làm ăn của gia đình, nói: “Rồi cũng đến phải ăn cám thôi. Có chú em như thế này, chẳng bằng không có.”
伯闻之，逐其妇而弃之。	Bá nghe vậy, đuổi bỏ vợ.
及平长，可娶妻，富人莫肯与者，贫者平亦耻之。	Tới khi Bình trưởng thành, đến lúc lấy vợ, nhà giàu có không ai chịu gả con cho, nhà nghèo thì Bình cho là đáng hổ thẹn.
久之，户牖富 人有张负， 张负女孙五嫁而夫辄死，人莫敢娶。	Lâu sau, có nhà giàu ở Hộ Dũ là Trương Phụ, cháu gái Trương Phụ năm lần gả chồng nhưng chồng đều chết ngay, không ai dám lấy.
邑中有丧，平贫，侍丧，以先往後罢为助。	Trong ấp có việc tang, Bình nghèo, tới giúp, đến sớm về muộn để hỗ trợ.
张负既见之丧所，独视伟 平，平亦以故後去。	Trương Phụ trông thấy Bình ở nhà đám, cho là người khôi vĩ, Bình cũng vì thế mà về muộn.
负随平至其家，家乃负郭 穷巷，以弊席为门，然门外多有长者车辙。	Phụ theo Bình về nhà, nhà Bình ở ngõ sâu hút bên vành ngoài thành, lấy chiếu rách làm cổng, nhưng ngoài cổng có nhiều dấu xe của bậc trưởng giả.
张负归，谓其子仲 曰：“吾欲以女孙予陈平。”	Trương Phụ trở về, bảo con là Trọng rằng: “Ta định đem cháu gái gả cho Trần Bình.”
张仲曰：“平贫不事事，一县中尽笑其 所为，独柰何予女乎？”	Trương Trọng thưa: “Bình nghèo, lại không chịu làm lụng, cả huyện đều cười những việc hắn làm, sao lại gả con gái cho y?”
负曰：“人固有好美如陈平而长贫贱者 乎？”	Phụ nói: “Người tốt mẽ như Trần Bình mà nghèo hèn mãi ư?”
为平贫，乃假贷币以聘，予酒肉之资以内妇。	Vì Bình nghèo, nên [họ Trương] vay mượn tiền cho Bình sắm sính lễ, cho rượu thịt để Bình đón vợ về.
负诫其 孙曰：“毋以贫故，事人不谨。事兄伯如事父，事嫂如母。”	Phụ răn cháu gái rằng: “Đừng thấy nó nghèo mà phụng sự không cẩn thận. Phải thờ anh là Bá như thờ cha, thờ chị dâu như mẹ.”
平既娶张氏女，赍用益饶，游道日广。	Sau khi Bình lấy con gái họ Trương, việc chi dùng khá hơn, giao du ngày càng rộng.
里中社，平为宰， 分肉食甚 均。	Trong làng có tế thần xã, Bình làm người phụ trách việc chia thịt tế, chia rất đều.
父老曰：“善，陈孺子之为宰！”	Các bậc phụ lão nói: “Thằng bé họ Trần chia thịt tế giỏi lắm!”
平曰：“嗟乎，使平得宰天 下，亦如是肉矣！”	Bình nói: “Ôi, giả sử Bình được làm Tể tướng cả thiên hạ, cũng làm giống việc chia thịt này thôi!”
陈涉起而王陈，使周市略定魏地，立魏咎为魏王，与秦军相攻於 临济。	Trần Thiệp nổi dậy rồi xưng vương ở đất Trần, sai Chu Thị đánh chiếm, bình định đất Ngụy, lập Ngụy Cữu làm Ngụy vương, đánh nhau với quân Tần ở Lâm Tế.
陈平固已前谢其兄伯， 从少年往事魏王咎於临济。	Trước đó Trần Bình đã từ biệt anh là Bá, theo đám thiếu niên đến Lâm Tế phụng sự Ngụy vương Cữu.
魏王以为太仆。	Ngụy vương cho Bình làm Thái bộc.
说魏王不听，人或 谗之，陈平亡去。	[Bình] nói nhưng Ngụy vương không nghe, có người gièm pha Bình, Trần Bình bèn trốn đi.
久之，项羽略地至河上，陈平往归之，从入破秦，赐平爵卿。	Lâu sau, Hạng Vũ chiếm đất đến phía trên sông Hoàng Hà, Trần Bình về với Hạng Vũ, theo vào đánh phá nhà Tần, [Hạng Vũ] tặng Bình tước khanh.
项羽之东王彭城也，汉王还定三秦 而东，殷王反楚。	Hạng Vũ sang phía đông xưng vương ở Bành Thành, Hán vương trở về bình định Tam Tần rồi sang phía đông, Ân vương phản lại nước Sở.
项羽乃以平为信武君，将魏王咎客在楚者以往，击 降殷王而还。	Hạng Vũ bèn phong Bình làm Tín Vũ quân, [Bình] thống lãnh những người khách của Ngụy vương Cữu nước Sở tiến vào [đất Ân vương], hàng phục được Ân vương rồi rút về.
居无何，汉王攻 下殷。	Không lâu sau, Hán vương đánh hạ đất Ân.
陈平惧诛，乃封其金与印，使使归 项王，而平身间行杖剑亡。	Trần Bình sợ bị giết, bèn niêm phong vàng và ấn tín, sai sứ trả cho Hạng vương, còn Bình mang kiếm lén trốn đi.
渡河，船人见其美丈夫独行，疑其亡将， 要中当有金玉宝器，目之，欲杀平。	Qua Hoàng Hà, người chở thuyền thấy Bình tuấn tú lại đi một mình, ngờ là tướng bỏ trốn, hẳn có vàng ngọc của quý giắt lưng, nhìn Bình, định giết.
船人 知其无有，乃止。	Người chèo thuyền biết Bình không có gì, bèn thôi.
平遂至修武降汉，因魏无知求见汉王， 汉王召 入。 是时万石君奋为汉王中涓，受平谒， 入见平。	Bình liền đến Tu Vũ hàng Hán, thông qua Ngụy Vô Tri xin gặp Hán vương. Hán vương triệu vào. Bấy giờ Vạn Thạch quân là Phấn làm Trung quyên của Hán vương, nhận danh thiếp xin yết kiến của Bình, đưa Bình vào gặp.
平等七人俱进，赐食。	Bọn Bình gồm bảy người cùng vào, ban cho ăn uống.
王曰：“罢，就舍矣。”	Hán vương nói: “Ăn xong, cứ về quán trọ.”
平曰：“臣 为事来，所言不可以过今日。”	Bình nói: “Thần có việc mới tới đây, điều thần nói ra không thể để quá hôm nay.”
於是汉王与语而说之，问曰：“子之 居楚何官？”	Thế là Hán vương nói chuyện với Bình, rồi lấy làm thích thú, hỏi rằng: “Ông ở Sở làm chức quan gì?”
曰：“为都尉。”	Đáp: “Làm Đô úy.”
是日乃拜平为都尉，使为参乘，典护 军。	Hôm ấy, bèn phong Bình làm Đô úy, sai làm Tham thừa, giữ chức Hộ quân.
诸将尽讙， 曰：“大王一日得楚之亡卒，未知其高下，而即与同载，反使监护军 长者！”	Các tướng lĩnh thảy nhao nhao nói: “Đại vương một sáng được tên lính bỏ trốn của Sở, chưa biết tài cán cao thấp thế nào đã cho ngồi cùng xe, còn sai giám sát các bậc quân trưởng!”
汉王闻之，愈益幸平。	Hán vương nghe vậy, càng tin dùng Bình.
至彭城，为楚所败。	Đến Bành Thành, bị Sở đánh bại.
引而还，收散兵至荥阳，以平为亚将，属於韩王信，军广武。	Đưa quân rút về, thu thập tàn binh đến Huỳnh Dương, phong Bình làm Á tướng, thuộc quyền chỉ huy của Hàn vương Tín, đóng quân ở Quảng Vũ.
绛侯、灌婴等咸谗陈平曰：“平虽美丈夫，如冠玉耳，其中未必 有也。臣闻平居家 时，盗其嫂；事魏不容，亡归楚；归楚不中，又亡归汉。今日大王尊 官之，令护军。臣闻平受诸将金，金多者得善处，金少者得恶处。 平，反覆乱臣也，原王察之。”	Bọn Giáng hầu, Quán Anh đều gièm pha Trần Bình rằng: “Bình tuy tốt mẽ, chỉ như viên ngọc trên mũ thôi, bên trong chưa chắc có gì. Thần nghe nói lúc Bình ở nhà, vụng trộm với chị dâu; thờ Ngụy, Ngụy không dung, trốn về Sở; về Sở không hợp, lại trốn theo Hán. Nay đại vương cho làm quan cao, nắm quyền Hộ quân. Thần nghe nói Bình nhận vàng của các tướng, ai đưa nhiều vàng thì được chỗ tốt, ai đưa ít vàng thì phải chỗ xấu. Bình là loạn thần phản phúc, xin đại vương xét kỹ.”
汉王疑之，召让魏无知。	Hán vương ngờ Bình, triệu Ngụy Vô Tri đến trách.
无知 曰：“臣所言者，能也；陛下所问者，行也。今有尾生、孝己之行 而无益处於胜负之数，陛下何 暇用之乎？楚汉相距，臣进奇谋之士，顾其计诚足以利国家不耳。且 盗嫂受金又何足疑乎？”	Vô Tri nói: “Điều thần nói là tài năng [của Trần Bình], điều bệ hạ hỏi là về đức hạnh. Nay có người đức hạnh như Vĩ Sinh, Hiếu Kỷ, nhưng không ích gì cho sự thắng bại, bệ hạ đâu có rỗi hơi dùng họ? Hán Sở cự nhau, thần tiến cử kẻ sĩ có mưu lạ, chỉ xét xem kế của người đó có đủ làm lợi cho quốc gia hay không thôi. Còn như chuyện vụng trộm với chị dâu, hay nhận vàng đâu đủ để nghi ngờ?”
汉王召让平曰：“先生事魏不中，遂事楚而 去，今又从吾游，信者固多心乎？”	Hán vương triệu Bình đến trách rằng: “Tiên sinh thờ Ngụy không hợp, bèn thờ Sở rồi bỏ đi, nay lại theo ta rong ruổi, người thủ tín vốn thay lòng đổi dạ thế ư?”
平曰：“臣事魏王，魏王不能用 臣说，故去事项王。项王不能信人，其所任爱，非诸项即妻之昆弟， 虽有奇士不能用，平乃去楚。闻汉王之能用人，故归大王。臣裸身 来，不受金无以为资。诚臣计画有可采者，大王用之；使无可用者， 金具在，请封输官，得请骸骨。”	Bình đáp: “Thần thờ Ngụy vương, Ngụy vương không thể dùng kế sách thần nói, cho nên bỏ đi thờ Hạng vương. Hạng vương không thể tin người, người được [Hạng vương] yêu quý trọng dụng, không phải họ Hạng cũng là anh em đằng vợ, dẫu có bậc kỳ sĩ cũng không thể được trọng dụng, Bình bèn bỏ Sở. Nghe nói Hán vương có thể dùng người, cho nên về với đại vương. Thần mình trần đến đây, không nhận vàng thì không có gì chi dùng. Nếu kế của thần có thể dùng được, mong đại vương hãy dùng, nếu không thể dùng được, vàng hãy còn đấy, xin gói chuyển đến phủ quan, thần xin từ chức trở về.”
汉王乃谢，厚赐，拜为护军中尉， 尽护诸将。	Hán vương bèn tạ lỗi, thưởng hậu, phong làm Hộ quân trung úy, quản giám hết các tướng.
诸将乃不敢复言。	Các tướng không dám lời ra tiếng vào nữa.
其後，楚急攻，绝汉甬道，围汉王於荥阳城。	Về sau, Sở đánh rất rát, cắt đứt đường thông, bao vây Hán vương thành Huỳnh Dương.
久之，汉王患之， 请割荥阳以西以和。	Qua thời gian dài, Hán vương lo lắng việc đó, xin cắt đất từ Huỳnh Dương về phía tây để cầu hòa.
项王不听。	Hạng vương không nghe.
汉王谓陈平曰：“天下纷纷，何时定 乎？”	Hán vương hỏi Trần Bình rằng: “Thiên hạ rối ren, bao giờ mới yên định?”
