绛侯周勃者，沛人也。 其先卷人， 徙沛。	Giáng hầu Chu Bột là người huyện Bái. Tổ tiên là người huyện Khuyên, [sau] rời đến huyện Bái.
勃以织薄曲为生， 常为人吹箫给丧事， 材官引彊。	Bột làm nghề đan nong tằm để kiếm sống, từng đi thổi kèn đám ma, là viên quan có sức giương cung mạnh.
高祖之为沛公初起，勃以中涓从攻胡陵，下方与。	Khi Cao tổ làm Bái công, mới nổi dậy, Bột làm Trung quyên, đi theo đánh Hồ Lăng, hạ được Phương Dự.
方与反，与 战，卻適。	Phương Dự làm phản, giao chiến, đẩy lui quân địch.
攻丰。	Đánh huyện Phong.
击秦军砀东。	Đánh quân Tần phía đông huyện Đường.
复攻砀，破之。	Lại tấn công đất Đường, phá được.
下下 邑，先登。	Xuống Hạ Ấp, xông lên trước.
赐爵五大夫。	Được tặng tước Ngũ đại phu.
攻蒙、虞，取 之。 击章邯车骑，殿。	Tấn công ấp Mông và huyện Ngu, chiếm được. Đánh quân xa kỵ của Chương Hàm, công lao ít.
定魏地。	Bình định đất Ngụy.
攻爰戚、东缗， 以往至栗， 取之。	Đánh Viên Thích, Đông Mân, rồi tiến đến huyện Lật, chiếm được.
攻齧桑，先登。	Tấn công Khiết Tang, xông lên trước.
击秦军 阿下，破之。	Đánh quân Tần dưới thành A, phá được.
追至濮阳，下甄城。	Đuổi đến Bộc Dương, hạ được thành Quyên.
攻都关、 定陶，袭取宛朐， 得单父令。	Tấn công Đô Quan, Định Đào, đánh úp rồi chiếm Uyển Cù, bắt được Huyện lệnh Thiện Phủ.
夜袭取临济，攻 张， 以前至卷，破之。	Ban đêm đánh úp chiếm Lâm Tế, tấn công đất Trương, tiến lên phía trước đến đất Khuyên, phá được địch.
击李由军雍丘下。	Đánh quân của Lý Do dưới thành Ung Khâu.
攻开封，先至城下为多。	Tấn công Khai Phong, quân của Chu Bột đến trước, [tập trung] dưới thành nhiều nhất.
後章邯破杀 项梁，沛公与项羽引兵东如砀。	Sau, Chương Hàm đánh bại rồi giết Hạng Lương, Bái công cùng Hạng Vũ dẫn quân sang phía đông đến đất Đường.
自初起沛还至砀，一岁二月。	Từ lúc mới nổi lên ở đất Bái đến khi trở về đất Đường là một năm hai tháng.
楚怀王封沛公号安武侯，为砀郡 长。	Sở Hoài vương phong Bái công hiệu là An Vũ hầu, làm quận trưởng quận Đường.
沛公拜勃为虎贲令， 以令从沛公定魏地。	Bái công phong cho Bột làm Hổ bôn lệnh, lấy thân phận Hổ Môn lệnh theo Bái công bình định đất Ngụy.
攻东郡尉於城武，破之。	Tấn công Quận úy Đông Quận ở Thành Vũ, phá được.
击王离军，破之。	Đánh quân của Vương Ly, phá được.
攻长 社，先登。	Tấn công Trường Xã, xông lên trước.
击赵贲军尸北。	Đánh quân của Triệu Phì ở phía bắc đất Thi.
南攻南阳守齮，破武关、峣关。	Phía nam tấn công Quận thú Nam Dương là Nghĩ, phá được Vũ Quan và Nghiêu Quan.
破 秦军於蓝田，至咸阳，灭秦。	Phá quân Tần ở Lam Điền, kéo đến Hàm Dương, diệt nhà Tần.
项羽至，以沛公为汉王。	Hạng Vũ đến [Hàm Dương], phong Bái công làm Hán vương.
汉王赐勃爵为威武侯。	Hán vương tặng Bột tước Uy Vũ hầu.
从入汉中，拜为将军。	Theo vào Hán Trung, phong làm Tướng quân.
还定三秦，至秦，赐食邑怀德。	Về bình định Tam Tần, đến đất Tần, được ban thực ấp ở Hoài Đức.
击赵 贲、内史保於咸阳，最。	Đánh Triệu Phì và Nội sử Bảo ở Hàm Dương, công lao lớn nhất.
北攻漆。	Lên phía bắc tấn công đất Tất.
击章平、姚卬军。	Đánh quân của Chương Bình, Diêu Ngang.
西 定汧。	Sang phía tây bình định đất Khiên.
围章邯废丘。	Bao vây Chương Hàm ở Phế Khâu.
破西丞。	Phá được quân của Huyền thừa huyện Tây.
击盗巴军，破之。	Đánh quân Đạo Ba, phá được.
攻上邽。	Tấn công Thương Khuê.
东守峣关。	Sang phía đông giữ Nghiêu Quan.
转击项籍。	Chuyển sang đánh Hạng Tịch.
攻曲逆，最。	Tấn công Khúc Nghịch, có công lớn nhất.
还守敖 仓，追项籍。	Trở về giữ kho Ngao Thương, đuổi đánh Hạng Tịch.
籍已死，因东定楚地泗、东海郡，凡得二十二县。	Sau khi Tịch chết, thừa thế sang phía đông bình định Tứ Thủy và quận Đông Hải ở đất Sở, cả thảy bình định được hai mươi hai huyện.
还守 雒阳、栎阳，赐与颍侯共食锺离。	Trở về giữ Lạc Dương, Lịch Dương, Hán vương ban cho cùng Dĩnh Âm hầu đều hưởng thực ấp ở huyện Chung Ly.
以将军从高帝反者燕王臧荼，破之易下。	Lấy thân phận Tướng quân theo Cao đế đánh Yên vương Tang Đồ làm phản, phá được Tang Đồ ở dưới thành Dịch.
赐爵列侯，剖符世世勿绝。	Được ban tước liệt hầu, chẻ phù tiết phân phong, đời đời không dứt.
食绛 八千一百八十户，号绛侯。	Hưởng thực ấp tám nghìn một trăm tám mươi hộ ở đất Giáng, hiệu là Giáng hầu.
以将军从高帝击反韩王信於代，降下霍人。	Lấy thân phận Tướng quân theo Cao đế đi đánh Hàn vương Tín làm phản ở đất Đại, hàng phục được huyện Tỏa Nhân.
