管仲夷吾者，颍上人也。	Quản Trọng Quản Trọng tên Di Ngô, người Dĩnh Thượng.
少时常与鲍叔牙游，鲍叔知其贤。	Thuở trẻ thường giao du với Bão Thúc Nha, Bão Thúc biết ông là người hiền.
管仲贫困，常欺鲍叔， 鲍叔终善遇之，不以为言。	Quản Trọng nghèo khốn, thường dối gạt Bão Thúc, Bão Thúc trước sau vẫn đối xử tốt với ông, không hề phàn nàn.
已而鲍叔 事齐公子小白，管仲事公子纠。	Rồi sau, Bão Thúc thờ Công tử Tiểu Bạch nước Tề, Quản Trọng thờ công tử Củ.
及小白立为桓公，公子纠死，管仲囚 焉。	Đến khi Tiểu Bạch lên ngôi, đó là Hoàn công, công tử Củ chết, Quản Trọng bị bỏ tù.
鲍叔遂进管仲。	Bão Thúc liền tiến cử Quản Trọng.
管仲既 用，任政於齐， 齐桓公以霸， 九合诸侯，一匡天下，管仲之谋也。	Quản Trọng được dùng, nắm chính sự ở Tề. Tề Hoàn công trở thành bá chủ, chín lần hội họp chư hầu, chấn chỉnh thiên hạ, đều nhờ mưu lược của Quản Trọng.
管仲曰：“吾始困时，尝与鲍叔贾，分财利多自与， 鲍叔不以我为贪，知我贫也。吾尝为鲍叔谋事而更穷困，鲍叔不以我 为愚，知时有利不利也。吾尝三仕三见逐於君，鲍叔不以我为不肖， 知我不遭时也。吾尝三战三走，鲍叔不以我怯，知我有老母也。公子 纠败，召忽死之，吾幽囚受辱，鲍叔不以我为无耻，知我不羞小节而 耻功名不显于天下也。生我者父母，知我者鲍子也。”	Quản Trọng nói: “Ta lúc đầu khốn khó, thường cùng Bão Thúc đi buôn, khi chia lời thì lấy phần hơn, Bão Thúc không cho ta là tham, vì biết ta nghèo. Ta thường bày mưu tính kế cho Bão Thúc song càng khiến ông ta khốn quẫn, Bão Thúc không cho ta là ngu, vì biết thời thế có lúc lợi, có lúc bất lợi. Ta từng làm quan mấy lần nhưng đều bị vua đuổi đi, Bão Thúc không cho ta là bất tài, vì biết ta chưa gặp thời. Ta từng đánh trận đôi ba lần nhưng đều chạy trốn, Bão Thúc không cho ta là nhát, vì biết ta có mẹ già. Công tử Củ thất bại, Thiệu Hốt chết theo, ta chịu nhục trong tù ngục tối tăm, Bão Thúc không cho là ta không biết xấu hổ, vì biết ta không nệ tiểu tiết, chỉ xấu hổ khi công lao và danh tiếng không được rạng tỏ trong thiên hạ. Sinh ra ta là cha mẹ ta, người hiểu ta là Bão tử vậy.”
子孙世禄於齐，有封邑者十馀世， 常为名大夫。	Con cháu đời đời hưởng lộc ở nước Tề, trên mười đời có ấp phong, đều là các bậc đại phu danh tiếng.
天下不多管仲之贤而多鲍叔能知人 也。	Thiên hạ không có nhiều người hiền năng như Quản Trọng, càng hiếm kẻ biết nhìn người như Bão Thúc vậy.
管仲既任政相齐， 以区区之齐在海滨，通货积财，富国彊 兵，与俗同好恶。	Quản Trọng làm Tướng quốc, nắm chính sự nước Tề, cho Tề là nước nhỏ bên bờ biển, cần lưu thông hàng hóa, tích trữ của cải, khiến nước giàu quân mạnh, chung lòng yêu ghét với dân.
故其称曰： “仓廪实而知礼节，衣食足而知荣辱，上服度则六亲 固。 四维不张，国乃灭亡。 下令如流水之原，令顺民心。”	Nên ông từng nói: “Kho đụn đầy thì dân biết lễ tiết, quần áo đủ thì dân biết vinh nhục, trên có pháp độ thì người thân cận biết đoàn kết gắn bó. Bốn giềng mối không giương ra thì nước sẽ diệt vong. Lệnh ban xuống như nước đầu nguồn, thuận với lòng dân.”
俗之所欲，因而予之； 俗之所否，因而去之。	Điều mà dân muốn, bởi thế ban cho; thứ dân không muốn, theo đó bỏ đi.
其为政也，善因祸而为福，转败而为功。 贵轻重， 慎权衡。	Quản Trọng thi hành chính sự, khéo đổi họa thành phúc, chuyển bại thành thắng, biện rõ nặng nhẹ, thận trọng quyền hành.
桓 公实北征山戎，而管仲因而令燕修召公之政。	Hoàn công muốn lên mạn bắc đánh Sơn Nhung, Quản Trọng lại nhân đó lệnh cho nước Yên phải chấn chỉnh theo chính giáo của Thiệu công.
於柯之会， 桓公欲背曹沫之约， 管仲因而信之，诸侯由是 归齐。	Trong cuộc hội minh ở đất Kha, Hoàn công muốn bội ước với Tào Mạt, Quản Trọng vì thế thủ tín với họ, do đó chư hầu quy phục nước Tề.
故曰：“知与之为取，政之宝也。”	Cho nên nói: “Biết cho đi để nhận về, đó là phép báu của chính sự vậy.”
管仲卒， 齐国遵其政，常彊於诸侯。	Quản Trọng chết, nước Tề noi theo đường lối chính trị của ông, thường hùng mạnh hơn các chư hầu.
後 百馀年而有晏子焉。	Trăm năm sau lại có Yến tử.
晏平仲婴者，莱之夷维人也。	Yến Anh Yến Bình Trọng tên Anh, người Di Duy đất Lai.
事齐灵 公、庄公、景公， 以节俭力行重於齐。	Ông thờ Linh công, Trang công, Cảnh công nước Tề, sống tiết kiệm, lại dốc sức thi hành chính sự nên được nước Tề trọng dụng.
既相齐，食不重肉，妾不衣帛。	Khi đã làm Tướng quốc nước Tề, ăn không hai món thịt, thiếp không mặc lụa là.
以此三世显名於 诸侯。	Thế nên làm quan trải ba đời vua, danh tiếng lẫy lừng các nước chư hầu.
石父曰：“不 然。吾闻君子诎於不知己而信於知己者。 方吾在縲绁中，彼不知我也。夫子 既已感寤而赎我，是知己；知己而无礼，固不如在縲绁之中。”	Thạch Phủ nói: “Không phải, tôi nghe nói người quân tử thì bỏ kẻ không hiểu mình mà tin người hiểu mình. Mới rồi, tôi trong cảnh giam hãm, do họ không hiểu tôi vậy. Xét lẽ, ngài đã biết mà chuộc tôi, đó là hiểu tôi; hiểu tôi mà không đối đãi bằng lễ, thì chẳng bằng trong cảnh giam hãm.”
晏子 於是延入为上客。	Thế là Yến tử liền mời Thạch Phủ vào, tôn làm thượng khách.
