伍子胥者，楚人也，名员。	Ngũ Tử Tư người nước Sở, tên là Viên.
员父曰伍奢。 员兄曰伍尚。	Cha Viên là Ngũ Xa, anh là Ngũ Thượng.
其先曰伍 举，以直谏事楚庄王，有显，故其 後世有名於楚。	Tổ tiên của Ngũ Tử Tư là Ngũ Cử, thờ Sở Trang vương, can gián thẳng thắn, vô cùng hiển hách, nhờ thế con cháu có danh tiếng ở nước Sở.
楚平王有太子名曰建，使伍奢为太傅，费无忌 为少傅。	Sở Bình vương có thái tử tên là Kiến, sai Ngũ Xa làm Thái phó, Phí Vô Kỵ làm Thiếu phó.
无忌不忠於太子建。	Vô Kỵ bất trung với thái tử Kiến.
平王使无忌为太子取妇於 秦，秦女好，无忌驰归报平王曰：“秦女绝美，王可自取，而更为太 子取妇。”	Bình vương sai Vô Kỵ dẫn thái tử sang lấy vợ ở nước Tần, con gái nước Tần rất xinh đẹp, Vô Kỵ phi ngựa về báo với Bình vương rằng: “Người con gái nước Tần ấy tuyệt đẹp, bệ hạ hãy lấy cô ta, đổi thái tử cưới cô khác.”
平王遂自取秦女而绝爱幸之，生子轸。 更为太子取妇。	Bình vương bèn lấy cô gái ấy, hết mực sủng ái, sinh con là Chẩn, rồi cho thái tử lấy cô vợ khác.
无忌既以秦女自媚於平王，因去太子而事平王。	Vô Kỵ nhân việc cô gái nước Tần nên được Bình vương sủng ái, bèn bỏ thái tử để thờ Bình vương.
恐一旦平王卒而 太子立，杀己，乃因谗太子建。	Song lại sợ một ngày kia, sau khi Bình vương chết, thái tử nối ngôi sẽ giết mình, liền gièm pha thái tử Kiến.
建母，蔡女也，无宠於平王。	Mẹ của Kiến là người đất Sái, không được Bình vương sủng ái.
平王稍 益疏建，使建守城父， 备边兵。	Bình vương dần xa lánh Kiến, sai Kiến trấn giữ Thành Phụ, giữ việc quân phòng chốn biên cảnh.
顷之，无忌又日夜言太子短於王曰：“太子以秦女之故，不能无 怨望，原王少自备也。自太子居城父，将兵，外交诸侯，且欲入为乱 矣。”	Không lâu sau, Vô Kỵ lại ngày đêm chê bai thái tử trước mặt Bình vương rằng: “Thái tử vì việc cô gái nước Tần, không thể không oán giận, xin bệ hạ hãy đề phòng. Từ khi thái tử ra Thành Phụ, thống lĩnh quân binh, kết giao chư hầu, ý chừng muốn kéo về làm loạn.”
平王乃召其太傅伍奢考问之。	Bình vương bèn triệu Thái phó Ngũ Xa đến tra hỏi.
伍奢知无忌谗太子於平王，因 曰：“王独柰何以谗贼小臣疏骨肉之亲乎？”	Ngũ Xa biết Vô Kỵ gièm thái tử, nhân nói: “Sao bệ hạ vì lời gièm của kẻ bề tôi hèn mọn mà xem nhẹ tình cốt nhục vậy?”
无忌曰：“王今不制， 其事成矣。王且见禽。”	Vô Kỵ nói: “Nay bệ hạ không xử trí, khi việc thành rồi, ắt sẽ bị bắt.”
於是平王怒，囚伍奢，而使城父司马奋扬 往杀太子。	Thế là Bình vương nổi giận, tống Ngũ Xa vào tù, rồi sai quan Tư mã ở Thành Phụ là Phấn Dương đi giết thái tử.
行未至，奋扬使人先告太子：“太 子急去，不然将诛。”	Chưa tới nơi, Phấn Dương sai người báo trước cho thái tử rằng: “Thái tử trốn ngay đi, không sẽ bị giết.”
太子建亡奔宋。	Thái tử Kiến liền trốn đến nước Tống.
无忌言於平王曰：“伍奢有二子，皆贤，不诛且为楚忧。可以其 父质而召之，不然且为楚患。”	Vô Kỵ nói với Bình vương: “Ngũ Xa có hai con trai, đều giỏi, ví không giết, sẽ là mối lo của Sở. Hãy dùng cha làm con tin để triệu đến, nếu không sẽ thành tai họa của nước Sở.”
王使使谓伍奢曰：“能致汝二子则 生，不能则死。”	Bình vương sai sứ nói với Ngũ Xa: “Ngươi gọi được hai con đến thì sống, nếu không sẽ phải chết.”
伍奢曰：“尚为人仁，呼必来。员为人刚戾忍卼， 能成大事，彼见来之并禽，其势必不来。”	Ngũ Xa nói: “Thượng là người nhân ái đôn hậu, gọi ắt đến. Viên là người cương cường kiên nhẫn, có thể làm nên đại sự, nó thấy đến sẽ bị bắt, ắt không đến đâu.”
王不听，使人召二子 曰：“来，吾生汝父；不来，今杀奢也。”	Vua không nghe, sai triệu hai người: “Đến, ta để cho các ngươi sống, không đến, hôm nay giết luôn.”
伍尚欲往，员曰：“楚之 召我兄弟，非欲以生我父也，恐有脱者後生患，故以父为质，诈召二 子。二子到，则父子俱死。何益父之死？往而令雠不得报耳。不如奔 他国，借力以雪父之耻，俱灭，无为也。”	Ngũ Thượng định đến, Viên nói: “Sở vương triệu anh em ta tới, không phải muốn cha ta sống đâu, chẳng qua sợ anh em ta thoát được sẽ thành mối lo sau này, nên bắt cha làm con tin, và triệu anh em ta đó. Cả hai cùng đến thì cha con đều chết, có ích gì đâu? Đến thì thù không báo được, chẳng bằng chạy sang nước khác, mượn sức họ mà rửa thù cho cha, chết cả thì vô ích.”
伍尚曰：“我知往终不能 全父命。然恨父召我以求生而不往，後不能雪耻，终为天下笑 耳。”	Ngũ Thượng nói: “Ta biết là đến cũng chẳng cứu được mạng cha. Nhưng hận nỗi cha triệu ta đến để mong sống mà ta không đến, về sau ví không thể rửa nhục, rốt cuộc bị thiên hạ chê cười.”
谓员：“可去矣！汝能报杀父之雠，我将归死。”	Bèn báo Viên: “Hãy trốn đi! Em có thể báo được thù cho cha, ta sẽ vào chỗ chết.”
尚既就执， 使者捕伍胥。	Thượng đã bị bắt, sứ giả định bắt Ngũ Tư.
伍胥贯弓 执矢乡使者，使者不敢进，伍胥遂亡。	Ngũ Tư giương cung, nhằm thẳng sứ giả, sứ giả không dám xông lên, Ngũ Tư nhân đó trốn thoát.
闻太子建之在 宋，往从之。	Hay tin thái tử Kiến ở nước Tống, Tư liền qua theo.
奢闻子胥之亡也，曰：“楚国君臣且苦兵矣。”	Ngũ Xa nghe tin Tử Tư trốn thoát, bèn than: “Vua tôi nước Sở e sẽ khổ vì binh đao thôi.”
伍尚至 楚，楚并杀奢与尚也。	Ngũ Thượng đến Sở, Sở vương giết cả hai cha con.
伍胥既至宋，宋有华氏之乱， 乃与太子建俱奔於郑。 郑人甚善之。	Ngũ Tư vừa đến, nước Tống xảy ra loạn họ Hoa, bèn cùng thái tử Kiến chạy sang nước Trịnh, được người Trịnh rất coi trọng.
太子建又適 晋，晋顷公曰：“太子既善郑，郑信太子。太子能为我内应，而我攻 其外，灭郑必矣。灭郑而封太子。”	Thái tử Kiến lại đến nước Tấn, Tấn Khoảnh Công nói: “Thái tử được Trịnh hậu đãi, tức đã tin tưởng. Nếu Thái tử làm nội ứng, ta từ ngoài đánh vào, ắt diệt được nước Trịnh. Diệt Trịnh xong ta sẽ phong đất cho thái tử.”
太子乃还郑。	Thái tử Kiến bèn trở về nước Trịnh.
事未会，会自私欲 杀其从者，从者知其谋，乃告之於郑。	Việc chưa thành, thái tử vì tình riêng, định giết những người đi theo, họ biết âm mưu, bèn báo với Trịnh.
郑定公与子产诛杀太子建。	Trịnh Định công cùng Tử Sản giết thái tử Kiến.
伍胥惧，乃与胜俱奔吴。	Ngũ Tư sợ hãi, bèn cùng Thắng chạy sang nước Ngô.
到昭关， 昭关欲执之。	Đến ải Chiêu, quân coi giữ định bắt lại.
