孔子曰“受业身通者七十有七人”， 皆异能之士也。	Khổng tử nói: “Học trò tinh thông có 77 người”, đều là những kẻ sĩ có tài lạ.
德行：颜渊，闵子骞，厓伯 牛，仲弓。 政事：厓有，季路。 言语：宰我，子贡。 文 学：子游，子夏。	Đức hạnh có: Nhan Uyên, Mẫn Tử Khiên, Nhiễm Bá Ngưu, Trọng Cung; chính sự có: Nhiễm Hữu, Quý Lộ; ngôn từ ứng đối có: Tể Ngã, Tử Cống; văn học có: Tử Du, Tử Hạ.
师也辟， 参也鲁，柴 也愚，由也喭， 回也屡空。	Sư thì cong vạy, Sâm thì trì độn, Sài thì ngu tối, Do thì thô lỗ, Hồi thì cùng quẫn.
孔子之所严事：於周则老子；於卫，蘧伯玉； 於齐，晏平仲； 於楚，老莱 子； 於郑，子产；於鲁，孟公绰。	Người Khổng tử cho là bậc tôn nghiêm: nhà Chu có Lão tử, nước Vệ có Cừ Bá Ngọc, nước Tề có Yến Bình Trọng, nước Sở có Lão Lai tử, nước Trịnh có Tử Sản, nước Lỗ có Mạnh Công Xước.
数称臧文仲、柳下惠、 铜鞮 伯华、介山子然，孔子皆後 之，不并世。	Nhiều lần khen ngợi có Tang Văn Trọng, Liễu Hạ Huệ, Đồng Đê Bá Hoa, Giới Sơn Tử Nhiên. Khổng tử đều sinh sau, không cùng một đời.
颜回者，鲁人也，字子渊。 少孔子三十岁。	Nhan Hồi Nhan Hồi người nước Lỗ, tự Tử Uyên, kém Khổng tử 30 tuổi.
颜渊问仁，孔子曰：“克己复礼，天下归仁焉。”	Nhan Hồi hỏi về đức nhân, Khổng tử đáp: “Sửa mình trở về theo lễ thì thiên hạ quay về đức nhân vậy.”
孔子曰：“贤哉回也！ 一箪食，一瓢 饮，在陋巷，人不堪其忧，回也不改其 乐。”	Khổng tử nói: “Hiền thay trò Hồi! Một giỏ thức ăn, một bầu nước uống, ở trong ngõ sâu, người ta không chịu nổi ưu phiền, còn Hồi thì không thay đổi niềm vui của mình.”
“回 也如愚；退而省其 私，亦足以发，回也不愚。”	“Hồi như kẻ ngu, nhưng khi lui về thì tự mình suy xét, chỉ thế cũng đủ phát huy, Hồi chẳng ngu đâu.”
“用之则行，舍之则藏，唯我与尔有是 夫！”	“Dùng thì thi hành, bỏ thì quy ẩn, duy ta với ngươi là làm được như vậy thôi.”
孔子哭之恸， 曰：“自吾有回，门人益亲。”	Khổng tử khóc lóc đau đớn, nói: “Từ khi ta có trò Hồi, học trò ngày càng thêm thân.”
鲁哀公问：“弟子孰为好学？”	Lỗ Ai công hỏi: “Học trò ngài ai là người hiếu học?”
孔子对曰：“有颜 回者好学，不迁怒，不贰过。不幸短命死矣，今也则亡。”	Khổng tử đáp: “Có Nhan Hồi là người hiếu học, không giận lây người khác, không mắc lỗi hai lần, nhưng chẳng may vắn số chết rồi, nay không còn ai nữa.”
闵损字子骞。 少孔子十五岁。	Mẫn Tổn Mẫn Tổn tự là Tử Khiêm, kém Khổng tử 15 tuổi.
孔子曰：“孝哉闵子骞！人不间於其父母昆弟之言。”	Khổng tử nói: “Hiếu thay Mẫn Tử Khiêm! Người khác không thể nói lời chia rẽ được cha mẹ anh em Tử Khiêm.”
“如有复我者， 必在汶上矣。”	[Từng nói]: “Như có người lại đến mời, ta ắt trốn đến thượng lưu sông Vấn.”
孔子以为有 德行。	Khổng tử cho là người có đức hạnh.
伯牛有恶疾，孔子往问之，自牖执其手， 曰：“命也夫！斯人也而有斯疾，命 也夫！”	Bá Ngưu bị bạo bệnh, Khổng tử đến thăm, từ ngoài cửa sổ cầm tay nói: “Số mệnh vậy chăng! Người thế này mà mắc bệnh này, số mệnh vậy chăng?”
孔子以仲弓为有德行，曰：“雍也可使南面。”	Khổng tử cho Trọng Cung là người có đức hạnh, nói: “Ung đó, có thể sai ngoảnh mặt về phía nam.”
仲弓父，贱人。	Cha Trọng Cung là người hèn mọn.
厓求字子有，少孔子二十九岁。 为季氏宰。	Nhiễm Cầu Nhiễm Cầu tự Tử Hữu, kém Khổng tử 29 tuổi, làm quan tế cho họ Quý Tôn.
季康子问孔子曰：“厓求仁乎？”	Quý Khang tử hỏi Khổng tử: “Nhiễm Cầu là người nhân chăng?”
复问：“子路仁乎？”	Lại hỏi: “Tử Lộ là người nhân chăng?”
孔子对曰：“如 求。”	Khổng tử đáp: “Cũng như Cầu.”
子 曰：“行之。”	Khổng tử đáp: “Thi hành thôi!”
子路问：“闻斯行诸？”	Tử Lộ hỏi: “Nghe rồi thì phải thi hành điều đã nghe chăng?”
子曰：“有父兄在，如之何 其闻斯行之！”	Khổng tử đáp: “Có cha có anh, sao lại nghe rồi thì thi hành điều đã nghe?”
子华怪之，“敢 问问同而答异？”	Tử Hoa lấy làm lạ, hỏi: “Dám hỏi, sao hỏi giống nhau mà thầy trả lời lại khác?”
孔子曰：“求也退，故进之。由也兼人，故退 之。”	Khổng tử đáp: “Cầu hay bàn lùi nên phải khích lệ. Do hơn người thường nên phải kìm hãm.”
仲由字子路，卞人也。 少孔子九岁。	Trọng Do Trọng Do tự Tử Lộ, người đất Biện, kém Khổng tử 9 tuổi.
子路问政，孔子曰：“先之，劳之。”	Tử Lộ hỏi về chính sự, Khổng tử đáp: “Tự làm trước, chịu nhọc trước.”
请益。 曰：“无 倦。”	Tử Lộ xin thầy nói thêm, Khổng tử nói: “Đừng có biếng nhác.”
子路问：“君子尚勇乎？”	Tử Lộ hỏi: “Quân tử có chuộng dũng không?”
孔子曰：“义之为上。君子好勇而无 义则乱， 小人好勇而无义则盗。”	Khổng tử đáp: “Đặt nghĩa lên trên. Quân tử hiếu dũng mà không có nghĩa thì làm loạn, tiểu nhân hiếu dũng mà không có nghĩa thì trộm cắp.”
子路有闻，未之能行，唯恐有闻。	Tử Lộ nghe rồi nhưng chưa thể thi hành, chỉ sợ lại được nghe điều khác.
孔子曰：“片言可以折狱者，其由也与！”	Khổng tử nói: “Vài lời vẻn vẹn mà có thể xử đoán việc hình ngục, chỉ có Do thôi!”
“由也好勇 过我，无所取材。”	“Do hiếu dũng hơn ta, không có tài gì khác.”
“若由也，不得其 死然。”	“Như Do, ắt không trọn vẹn với cái chết của mình.”
“由也升 堂矣，未入於室也。”	“Trò Do đó, mới bước lên nhà thôi chứ chưa vào trong nhà vậy.”
季康子问：“仲由仁乎？”	Quý Khang tử hỏi: “Trọng Do là người nhân chăng?”
