樗里子者，名疾，秦惠王之弟也， 与惠王异母。	Sư Lý tử Sư Lý tử tên Tật, là em khác mẹ với Tần Huệ vương.
母，韩女也。	Mẹ ông người Hàn.
樗里子滑稽多 智， 秦人号曰“智囊”。	Sư Lý tử là người khôi hài, tài trí, người Tần gọi là “túi khôn”.
秦惠王八年，爵樗里子右更，使 将而伐曲沃，尽出其人， 取其城，地入秦。	Tần Huệ vương năm thứ tám, ban cho Sư Lý tử tước Hữu cánh, sai làm tướng đi đánh Khúc Ốc. Sư Lý tử đuổi hết người đó, chiếm lấy thành, sáp nhập vào Tần.
秦惠王二十 五年，使樗里子为将伐赵，虏赵将军庄豹，拔蔺。	Tần Huệ vương năm thứ hai mươi lăm, sai Sư Lý tử cầm quân đánh Triệu, bắt sống tướng Triệu là Trang Báo, hạ được đất Lận.
明年，助魏章攻楚，败楚将屈丐，取汉中地。	Năm sau, giúp Ngụy Chương tấn công Sở, đánh bại tướng Sở là Khuất Cái, chiếm đất Hán Trung.
秦封樗里子，号为严 君。	Tần gia phong cho Sư Lý tử, hiệu là Nghiêm quân.
秦惠王卒，太子武王立，逐张仪、魏章，而以樗里子、甘茂为左 右丞相。	Tần Huệ vương chết, Thái tử Vũ vương lên ngôi, đuổi Trương Nghi, Ngụy Chương, rồi phong Sư Lý tử và Cam Mậu làm Tả hữu thừa tướng.
秦使甘茂攻韩，拔宜阳。	Tần sai Cam Mậu đánh Hàn, hạ được Nghi Dương.
使樗里子以车百乘入周。	Sai Sư Lý tử đem trăm cỗ xe vào Chu.
周以卒迎 之，意甚敬。	Nhà Chu đem quân nghênh đón, tỏ ra hết sức cung kính.
楚王怒，让周，以其重秦客。	Sở vương giận, trách nhà Chu, cho nhà Chu coi trọng khách Tần.
游腾 为周说楚王曰：“知伯之伐仇犹，遗之广车， 因随之以兵，仇犹遂亡。何则？无备故也。齐桓公伐蔡，号 曰诛楚，其实袭蔡。今秦，虎狼之国，使樗里子以车百乘入周，周以 仇犹、蔡观焉，故使长戟居前，彊弩在後，名曰卫疾， 而实囚之。且夫周岂能无忧其社稷哉？恐一旦亡国以忧大 王。”	Du Đằng vì Chu nói với Sở vương: “Trí bá đánh Cừu Do, tặng Cừu Do xe lớn, nhân đó đem quân đuổi theo, Cừu Do bèn bị diệt. Vì sao? Vì khiến Cừu Do không có phòng bị vậy. Tề Hoàn công đánh đất Thái, hô hào là diệt Sở, kỳ thực đánh úp Sái. Nay Tần là nước hổ lang, sai Sư Lý tử đem trăm cỗ xe vào Chu, Chu lấy chuyện Cừu Do và đất Sài ra suy xét, cho nên sai kích dài phía trước, nỏ mạnh đằng sau, danh nghĩa bảo vệ Tật, kỳ thực bắt bỏ tù. Vả nhà Chu há không lo lắng cho xã tắc ư? Chỉ e một sớm mất nước sẽ khiến đại vương lo lắng.”
秦武王卒，昭王立，樗里子又益尊重。	Tần Vũ vương chết, Chiêu vương lên ngôi, Sư Lý tử càng được trọng dụng.
昭王元年，樗里子将伐蒲。	Chiêu vương năm đầu, Sư Lý tử cầm quân đánh đất Bồ.
胡衍为蒲谓樗里子曰：“公之攻蒲， 为秦乎？为魏乎？为魏则善矣，为秦则不为赖矣。夫 卫之所以为卫者，以蒲也。今伐蒲入於魏，卫 必折而从之。 魏亡西河之外而无以取者，兵弱也。今并卫 於魏，魏必彊。魏彊之日，西河之外必危矣。且秦王将观公之事，害 秦而利魏，王必罪公。”	Hồ Diễn vì Bồ nói với Sư Lý tử: “Ngài đánh đất Bồ, là vì Tần hay vì Ngụy? Vì Ngụy thì tốt rồi, vì Tần thì không đáng trông cậy đâu. Xét lẽ, nước Vệ sở dĩ tồn tại là nhà đất Bồ. Nay ngài đánh đất Bồ rồi vào Ngụy, nước Vệ ắt cũng nhún mình mà theo. Ngụy mất vùng phía ngoài Tây Hà mà không lấy lại được, tất quân yếu. Nay gộp Vệ và Ngụy, Ngụy sẽ mạnh lên. Khi Ngụy mạnh lên, vùng phía ngoài Tây Hà ắt nguy. Và Tần vương sẽ xem việc ngài làm, hại cho Tần lợi cho Ngụy, Tần vương ắt bắt tội ngài.”
樗里子曰：“柰何？”	Sư Lý tử nói: “Phải làm thế nào?”
胡衍曰：“公释蒲勿 攻，臣试为公入言之，以德卫君。”	Hồ Diễn đáp: “Ngài giải vây đất Bồ, chớ có tấn công, tôi xin vì ngài vào nói với họ, tạo ân đức cho vua Vệ.”
樗里子曰：“善。”	Sư Lý tử nói: “Được.”
胡衍入蒲， 谓其守曰：“樗里子知蒲之病矣，其言曰必拔蒲。衍能令释蒲勿 攻。”	Hồ Diễn vào đất Bồ, nói với tướng giữ đất ấy: “Sư Lý tử biết đất Bồ đã suy yếu, ông ta nói nhất định hạ đất Bồ. Diễn này có thể khiến họ giải vây không đánh.”
蒲守恐，因再拜曰：“原以请。”	Tướng giữ đất Bồ sợ, nhân đó vái hai vái, nói: “Xin theo lời ngài.”
因效金三百斤，曰：“秦兵 苟退，请必言子於卫君，使子为南面。”	Nhân đó dâng ba trăm cân vàng, nói: “Nếu quân Tần rút, xin báo công của ngài với vua Vệ, khiến ngài làm quan khanh.”
昭王七年，樗里子卒，葬于渭南章台之东。	Chiêu vương năm thứ bảy, Sư Lý tử chết, táng ở phía đông Chương Đài, phía nam sông Vị.
曰：“後百岁，是当有天子之宫夹我墓。”	[Sư Lý tử] từng nói: “Trăm năm sau, chỗ này sẽ có thiên tử lập cung ngay cạnh.”
樗里子疾室在於 昭王庙西渭南阴乡樗里，故俗谓之樗里子。	Sư Lý tử là Tật, nhà ở làng Sư, hương Âm, phía nam sông Vị, phía tây miếu Chiêu vương, cho nên tục gọi là Sư Lý tử.
秦人谚 曰：“力则任鄙，智则樗里。”	Người Tần có ngạn ngữ rằng: “Sức thì Nhậm Bỉ, trí thì Sư Lý.”
甘茂者，下蔡人也。 事下蔡史举先生，学 百家之术。	Cam Mậu Cam Mậu người Hạ Thái, thờ Sử Cử tiên sinh ở Hạ Thái, theo học thuyết bách gia.
因张仪、樗里子而求见秦惠王。	Nhờ Trương Nghi, Sư Lý tử để cầu kiến Tần Huệ vương.
王见而说之，使将，而佐 魏章略定汉中地。	Huệ vương vừa gặp liền thích, sai làm võ tướng, rồi giúp Ngụy Chương bình định đất Hán Trung.
惠王卒，武王立。	Huệ vương chết, Vũ vương lên thay.
张仪、魏章去，东之魏。	Trương Nghi và Ngụy Chương bỏ đi, sang Ngụy ở phía đông.
蜀侯煇、相壮反， 秦使甘茂定蜀。	Thục hầu là Huy, Tướng quốc là Tráng làm phản, Tần sai Cam Mậu bình định đất Thục.
还，而以甘茂为左丞相，以樗里子为右丞 相。	Trở về, được phong làm Tả thừa tướng, phong Sư Lý tử làm Hữu thừa tưởng.
秦武王三年，谓甘茂曰：“寡人欲容车通三川，以窥周室，而寡 人死不朽矣。”	Tần Vũ vương năm thứ ba, Tần Vũ vương nói với Cam Mậu: “Quả nhân muốn mở đường, xe thông đến Tam Xuyên, để thám xét nhà Chu, làm được thế quả nhân dẫu chết cũng bất hủ.”
