白起者，郿人也。 善用兵，事秦昭王。	Bạch Khởi Bạch Khởi người đất Mi, giỏi dùng binh, thờ Tần Chiêu vương.
昭王 十三年，而白起为左庶长，将而击韩之新城。	Chiêu vương năm thứ mười ba, Bạch Khởi làm Tả thứ trưởng, cầm quân đánh Tân Thành nước Hàn.
是岁，穰侯相秦，举任鄙以为汉中守。	Trong năm, Nhương hầu làm Thừa tướng nước Tần, cất nhắc Nhâm Bỉ làm Quận thủ Hán Trung.
其明年，白起为左 更，攻韩、魏於伊阙，斩首 二十四万，又虏其将公孙喜，拔五城。	Năm sau, Bạch Khởi làm Tả canh, đánh Hàn và Ngụy tại Y Khuyết, chém hai mươi bốn vạn thủ cấp, lại bắt sống tướng địch Công Tôn Hỷ, hạ xong năm thành.
起迁为国尉。	Khởi được thăng làm Quốc úy.
涉 河取韩安邑以东，到乾河。	Vượt sông Hoàng Hà từ An Ấp về động đất Hàn, đến tận Càn Hà.
明年，白起为大良 造。	Năm sau, Bạch Khởi làm Đại lương tạo.
攻魏，拔之，取城小大六十一。	Đánh Ngụy, hạ được, chiếm sáu mươi mốt thành lớn nhỏ.
明年，起与客卿错攻垣城， 拔之。	Năm sau, Khởi cùng khách khanh là Thác tấn công viên Thành, hạ được.
後五年，白起攻赵，拔光狼城。	Năm năm sau, Bạch Khởi đánh Triệu, hạ thành Quang Lang.
後 七年，白起攻楚，拔鄢、邓五城。	Bảy năm sau, Bạch Khởi đánh Sở, hạ được năm thành ở đất Yên và Đặng.
其明年，攻楚，拔郢，烧夷陵， 遂东至竟陵。	Sang năm sau, đánh Sở, hạ đất Dĩnh, đốt Di Lăng, rồi sang đông, tới Cánh Lăng.
楚王亡去郢，东走徙陈。	Sở vương trốn khỏi đất Dĩnh, chạy sang phía đông, dời đô đến đất Trần.
秦以郢为南郡。	Tần đổi đất Dĩnh thành Nam Quận.
白起迁为武安君。	Bạch Khởi được phong Vũ An quân.
武安 君因取楚，定巫、黔中郡。	Vũ An quân nhân đó chiếm Sở, bình định đất quận Vu và Kiềm Trung.
昭王三十四年，白起攻魏，拔华阳，走芒 卯，而虏三晋将，斩首十三万。	Chiêu vương năm thứ ba mươi tư, Bạch Khởi đánh Ngụy, hạ được Hoa Dương, đánh xuống Mang Mão, bắt sống tướng Tam Tấn, chém mười ba vạn thủ cấp.
与赵将贾偃战，沈其卒二万人於河 中。	Đánh nhau với tướng Triệu là Giả Yển, khiến hai vạn quân Triệu chết đuối ở sông Hoàng Hà.
昭王四十三年，白起攻韩陉城， 拔五城，斩首五万。	Chiêu vương năm thứ bốn mươi ba, Bạch Khởi tấn công Hình Thành nước Hàn, hạ được năm thành, chém năm vạn thủ cấp.
四十四年，白起攻南阳 太行道，绝之。	Năm thứ bốn mươi bốn, Bạch Khởi tấn công đường Nam Dương, Thái Hàng, cắt đứt các đường.
四十五年，伐韩之野王。	Năm thứ bốn mươi lăm, đánh Dã vương nước Hàn.
野王降秦，上党道绝。	Dã vương đầu hàng Tần, đường Thượng Đảng bị cắt đứt.
其守冯亭与民谋曰：“郑道 已绝， 韩必不可得为民。秦兵日进，韩 不能应，不如以上党归赵。赵若受我，秦怒，必攻赵。赵被兵，必亲 韩。韩赵为一，则可以当秦。”	Quận thú Thượng Đảng là Phùng Đình bàn mưu với dân: “Đường nước Trịnh bị cắt đứt, ắt không thể biến Hàn thành dân nước mình. Quân Tần tiến ngày càng gần, Hàn không thể chống, chẳng bằng đem Thượng Đảng về Triệu. Nếu Triệu nhận ta, Tần giận, ắt đánh Triệu. Triệu bị đánh, ắt thân Hàn. Hàn và Triệu hợp nhất, có thể chống được Tần.”
因使人报赵。	Nhân đó sai người báo với Triệu.
赵孝成王与平阳君、 平原君计之。	Lý Thành vương nước Triệu bàn kế với Bình Dương quân và Bình Nguyên quân.
平阳君曰：“不如勿受。受之，祸 大於所得。”	Bình Dương quân nói: “Chi bằng không nhận. Nhận rồi, họa còn lớn hơn cái nhận được.”
平原君曰：“无故得一郡，受之便。”	Bình Nguyên quân nói: “Vô cớ được một quận, nhận là hơn.”
赵受之，因封冯 亭为华阳君。	Triệu nhận Thượng Đảng, nhân đó phong Phùng Đình làm Hoa Dương quân.
四十六年，秦攻韩缑氏、蔺， 拔之。	Năm thứ bốn mươi sáu, Tần đánh Câu Thị và đất Lận của Hàn, hạ được.
四十七年，秦使左庶长王龁攻韩，取上党。	Năm thứ bốn mươi bảy, Tần sai Tả thứ trưởng Vương Hột đánh Hàn, chiếm Thượng Đảng.
上党民走 赵。	Dân Thượng Đảng chạy đến Triệu.
四月，龁因攻赵。	Tháng Tư, Vương Hột nhân đó đánh Triệu.
赵使廉颇将。	Triệu sai Liêm Pha làm tướng.
赵军士卒犯秦斥 兵，秦斥兵斩赵裨将茄。	Quân Triệu đụng quân do thám của Tần, quân Tần chém tỳ tướng là Gia của Triệu.
六月，陷赵军，取二鄣四尉。	Tháng Sáu, vây hãm quân Triệu, chiếm được hai thành ấp, bắt sống bốn quan úy.
七月，赵军筑垒壁而守之。	Tháng Bảy, quân Triệu đắp tường lũy để phòng giữ.
秦又攻其垒，取二 尉，败其阵，夺西垒壁。	Tần lại đánh vào tường lũy quân Triệu, bắt được hai quan úy, phá tan trận địa, chiếm được tường lũy phía tây.
廉颇坚壁以 待秦，秦数挑战，赵兵不出。	Liêm Pha phòng thủ chắc để chống quân Tần, Tần nhiều lần khiêu chiến, quân Triệu không ra.
而秦相应侯又使人行千金於赵为反间，曰：“秦之 所恶，独畏马服子赵括将耳，廉颇易与，且降矣。”	Thừa tướng nước Tần là ứng hầu lại sai người đem ngàn vàng đến Triệu làm kể phản gián, nói: “Tần sợ Triệu cho Mã Phục tử là Triệu Quát cầm quân, chứ Liêm Pha dễ đối phó, sẽ hàng thôi.”
赵王既怒廉颇军 多失亡，军数败，又反坚壁不敢战，而又闻秦反间之言，因使赵括代 廉颇将以击秦。	Triệu vương vốn giận vì quân Liêm Pha gặp nhiều tổn thất thương vong, nhiều lần thất bại, lại giữ chắc phòng lũy không dám giao chiến; rồi nghe lời phản gián của Tần, nhân đó sai Triệu Quát thay Liêm Pha cầm quân đánh Tần.
秦闻马服子将，乃阴使武安君白起为上将军。 而王龁 为尉裨将，令军中有敢泄武安君将者斩。	Tần nghe tin Mã Phục tử cầm quân, bèn ngầm sai Vũ An quân Bạch Khởi làm Thượng tướng quân, Vương Hột làm Ủy tỳ tướng, lệnh trong quân ai tiết lộ việc Vũ An quân làm tướng sẽ chém.
赵括至，则出兵击秦军。	Triệu Quát đến, liền dẫn quân đánh Tần.
秦 军详败而走，张二奇兵以劫之。	Quân Tần vờ thua chạy, đem hai đội kỳ binh đánh cướp quân Triệu.
赵军逐胜，追造秦壁。 壁坚拒不得入，而秦奇兵二万五千人 绝赵军後，又一军五千骑绝赵壁间，赵军分而为二，粮道绝。	Quân Triệu thừa thắng đuổi đến tận tường lũy quân Tần, thành lũy phòng bị kiên cố không thể vào được, thế rồi hai vạn năm nghìn kỳ binh Tần chặn đường rút của quân Triệu, lại dẫn năm nghìn kỵ binh chặn giữa khu lũy quân Triệu, quân Triệu bị xẻ đôi, đường lương thảo bị cắt.
而秦出 轻兵击之。 赵战不利，因筑壁坚守， 以待救至。	Tần tung khinh binh ra đánh, quân Triệu bất lợi, nhân đó đắp tường lũy phòng thủ kiên cố, đợi cứu viện đến.
秦王闻赵食道绝， 王自之河内，赐民爵各一级，发年十五以上 悉诣长平，遮绝赵救及粮食。	Tần vương nghe tin quân Triệu bị cắt đường tiếp lương, đích thân đến Hà Nội, ban cho dân mỗi người một tước, huy động người từ mười lăm tuổi trở lên thảy đến Trường Bình, chặn đường cứu viện và lương thảo của Triệu.
至九月，赵卒不得食四十六日，皆内阴相杀食。	Đến tháng Chín, bốn mươi sáu ngày quân Triệu không có lương ăn, đều ngầm giết nhau ăn thịt.
来攻秦垒，欲 出。	Tấn công doanh lũy quân Tần, định phá ra ngoài.
为四队，四五复之，不能出。	Chia làm bốn đội, đánh bốn năm lần, không thể thoát ra.
括军败，卒四十万人降武安君。	Quân Quát thua, bốn mươi vạn quân đầu hàng Vũ An quân.
武安君计曰：“前秦已拔上 党，上党民不乐为秦而归赵。赵卒反覆。非尽杀之，恐为乱。”	Vũ An quân tính kế: “Trước đây Tần đã hạ Thượng Đảng, dân Thượng Đảng không thích Tần mà theo Triệu. Quân Triệu phản phúc vô thường, nếu không giết hết, chỉ e làm loạn.”
乃挟 诈而尽阬杀之，遗其小者二百四十人归赵。	Bèn lừa rồi chôn sống hết, chỉ để hai trăm bốn mươi người tuổi nhỏ cho về Triệu.
