孟尝君名文，姓田氏。 文之父曰靖郭君田婴。	Mạnh Thường quân tên Văn, họ Điền, cha là Tĩnh Quách quân Điền Anh.
田婴者，齐威王少 子而齐宣王庶弟也。	Điền Anh là con út Tề Uy vương, em trai thứ Tề Tuyên vương.
田婴自威王时任职用事，与成侯邹忌及田忌将而救韩伐 魏。	Từ thời Uy vương, Điền Anh đã được trao chức năm quyền, cùng Thành hầu Trâu Kỵ và Điền Kỵ đem quân cứu Hàn đánh Ngụy.
成侯与田忌争宠，成侯卖田忌。	Thành hầu và Điền Kỵ tranh sủng, Thành hầu hại Điền Kỵ.
田忌惧，袭齐之边邑，不胜，亡 走。	Điền Kỵ sợ, đánh úp biên ấp nước Tề, không thắng, rút chạy.
会威王卒，宣王立，知成侯卖田忌，乃复召田忌以为将。	Đúng lúc Uy vương chết, Tuyên vương thay, biết Thành hầu hại Điền Kỵ, bèn phục chức, triệu Điền Kỵ về làm tướng quân.
宣王二 年，田忌与孙膑、田婴俱伐魏，败之马陵，虏魏太子申而杀魏将庞 涓。	Tuyên vương năm thứ hai, Điền Kỵ cùng Tôn Tẫn, Điền Anh đánh Ngụy, đánh bại Ngụy ở Mã Lăng, bắt sống Thái tử Thân, giết tướng Ngụy là Bàng Quyên.
宣王七年，田 婴使於韩、魏，韩、魏服於齐。	Tuyên vương năm thứ bảy, Điền Anh đi sứ Hàn và Ngụy, Hàn và Ngụy thần phục Tề.
婴与韩昭侯、魏惠王会齐宣王东阿 南，盟而去。	Anh và Hàn Chiêu hầu, Ngụy Huệ vương hội kiến Tề Tuyên vương ở phía nam Đông A, kết minh ước rồi rút về.
明年，复与梁惠王会甄。	Năm sau, lại cùng Lương Huệ vương hội kiến ở đất Chân.
是岁，梁惠王卒。	Năm đó, Lương Huệ vương chết.
宣王九年，田婴相齐。	Tuyên vương năm thứ chín, Điền Anh làm Thừa tướng nước Tề.
齐宣王与魏襄王会徐州 而相王也。	Tề Tuyên vương và Ngụy Tương vương hội kiến ở Từ Châu rồi cùng xưng vương.
楚威王闻 之，怒田婴。	Sở Uy vương nghe tin, giận Điền Anh.
明年，楚伐败齐师於徐州，而使人逐田婴。	Năm sau, Sở đánh bại quân Tề ở Từ Châu, rồi sai người đuổi Điền Anh.
田婴使张丑 说楚威王，威王乃止。	Điền Anh sai Trương Sửu khuyên Sở Uy vương, Uy vương mới thôi.
田婴相齐十一年，宣王卒，湣王即位。	Điền Anh làm Thừa tướng nước Tề mười một năm, Tuyên vương chết, Mẫn vương lên ngôi.
即位三 年，而封田婴於薛。	Tại vị ba năm, phong cho Điền Anh đất Tiết.
初，田婴有子四十馀人。 其贱妾有子名文，文以五月五日生。	Ban đầu, Điền Anh có hơn bốn mươi con, người tiện thiếp của ông sinh con tên Văn, Văn sinh ngày năm tháng Năm.
婴 告其母曰：“勿举也。”	Điền Anh nói với người thiếp rằng: “Đừng nuôi nó.”
其母窃举生之。 及长，其母因兄弟而见其子文 於田婴。	Người mẹ lén nuôi, đến khi lớn, người mẹ nhờ anh em mình để Văn được gặp Điền Anh.
田婴怒其母曰：“吾令若去此子，而敢生之，何也？”	Điền Anh tức giận mẹ Văn, nói: “Ta đã lệnh người vứt đứa con này, còn dám nuôi nó, tại sao?”
文顿 首，因曰：“君所以不举五月子者，何故？”	Văn dập đầu thưa: “Người sao không nuôi đứa con sinh tháng Năm vậy?”
婴曰：“五月子者，长 与户齐，将不利其父母。”	Anh nói: “Con sinh tháng Năm, lớn cao ngang cửa, sẽ bất lợi cho cha mẹ.”
