廉颇者，赵之良将也。	Liêm Pha là tướng giỏi của Triệu.
赵惠文王十六年，廉颇为赵将伐齐，大破 之，取阳晋， 拜为上卿，以勇气闻於诸侯。	Huệ Văn vương nước Triệu năm thứ mười sáu, Liêm Pha làm tướng Triệu đánh Tề, đại phá quân Tề, chiếm được Dương Tấn, phong làm thường khanh, dũng khí nổi tiếng chư hầu.
蔺相如者，赵人也，为赵宦者令缪贤舍人。	Lận Tương Như người Triệu, là xá nhân của người đứng đầu hoạn quan nước Triệu là Mậu Hiền.
赵惠文王时，得楚和氏璧。	Thời Huệ Văn vương nước Triệu được ngọc bích họ Hòa nước Sở.
秦昭王闻之，使人遗赵王书，原以十 五城请易璧。	Tần Chiêu vương nghe tin, sai người đưa thư cho Triệu vương, xin đem mười lăm thành đổi lấy ngọc.
赵王与大将军廉颇诸大臣谋：欲予秦，秦城恐不可得， 徒见欺；欲勿予，即患秦兵之来。	Triệu vương và đại tướng quân Liêm Pha cùng các đại thần bàn rằng: “Nếu đổi, e không lấy được thành của Tần, chỉ bị lừa; nếu không đổi, sợ Tần đem quân đến đánh”.
计未定，求人可使报秦者，未得。	Bàn kế chưa xong, tìm người có thể sai sang Tần, chưa tìm được.
宦者令缪贤曰：“臣舍人蔺相如可使。”	Hoạn quan Mậu Hiền nói: “Xá nhân của thần là Lận Tương Như có thể sai đi được.”
王问：“何以知之？”	Triệu vương hỏi: “Sao khanh biết?”
对 曰：“臣尝有罪，窃计欲亡走燕，臣舍人相如止臣，曰：‘君何以知 燕王？’臣语曰：‘臣尝从大王与燕王会境上，燕王私握臣手， 曰“原结友”。 以此知之，故欲往。 ’相如谓臣曰：‘夫赵彊而燕 弱，而君幸於赵王，故燕王欲结於君。 今君乃亡赵走燕，燕畏赵，其 势必不敢留君，而束君归赵矣。	Đáp: “Thần từng có tội, trộm tính muốn trốn sang Yên, xá nhân Tương Như của thần ngăn lại, nói: 'Ngài dựa vào đâu mà biết Yên vương?' Thần nói: 'Ta từng theo đại vương hội kiến Yên vương ở biên giới, Yên vương nắm tay ta nói: 'Xin kết giao,' qua đó mà biết, nên muốn sang Yên.' Tương Như bảo thần rằng: 'Xét lẽ, Triệu mạnh Yên yếu, ngài được Triệu vương tin yêu, nên Yên vương muốn kết giao với ngài. Nay ngài trốn Triệu sang Yên, Yên sợ Triệu, thế của họ ắt không dám giữ ngài, mà còn trói ngài đưa về Triệu. Chẳng bằng ngài cởi trần quỳ trên búa rìu xin chịu tội, may ra thoát được.' Thần theo cách đó, may sao đại vương tha thứ cho thần. Thần trộm cho người này là dũng sĩ, có trí mưu, có thể sai đi được.”
於是王召见，问蔺相如曰：“秦王以十五城请易寡人之璧，可 予不？”	Thế là Triệu vương triệu kiến, hỏi Lận Tương Như: “Tần vương đem mười lăm thành xin đổi lấy ngọc bích của quả nhân, có đổi không?”
相如曰：“秦彊而赵弱，不可不许。”	Tương Như đáp: “Tần mạnh Triệu yếu, không thể không đổi.”
王曰：“取吾璧，不 予我城，柰何？”	Triệu vương hỏi: “Lấy ngọc của ta, không cắt thành cho ta, vậy phải làm sao?”
相如曰：“秦以城求璧而赵不许，曲在赵。赵予璧 而秦不予赵城，曲在秦。均之二策，宁许以负秦曲。”	Tương Như đáp: “Tần dùng thành đổi ngọc mà Triệu không đồng ý, Triệu đuối lý. Triệu trao ngọc mà Tần không trả thành cho Triệu, Tần đuối lý. Trong hai cách ấy, thà đồng ý mà khiến Tần đuối lý.”
王曰：“谁可 使者？”	Triệu vương hỏi: “Ai có thể làm sứ giả?”
相如曰：“王必无人，臣原奉璧往使。城入赵而璧留秦；城 不入，臣请完璧归赵。”	Tương Như đáp: “Đại vương ắt không có người, thần xin mang ngọc đi, thành về Triệu thì ngọc ở Tần; thành không về, thần xin mang ngọc nguyên vẹn về Triệu.”
赵王於是遂遣相如奉璧西入秦。	Triệu vương bèn sai Tương Như mang ngọc bích sang nước Tần ở phía tây.
秦王坐章台见相如，相如奉璧奏秦王。	Tần vương ngồi ở Chương Đài tiếp kiến Tương Như, Tương Như dâng ngọc lên Tần vương.
秦王大喜，传以示美人及 左右，左右皆呼万岁。	Tần vương cả mừng, cho mỹ nữ và hầu cận xem, hầu cận đều hồ vạn tuế.
相如视秦王无意偿赵城，乃前曰：“璧有瑕， 请指示王。”	Tương Như thấy Tần vương không có ý trả thành cho Triệu, bèn tiến đến nói: “Ngọc có tì vết, xin chỉ cho đại vương.”
王授璧，相如因持璧卻立，倚柱，怒发上冲冠，谓秦王 曰：“大王欲得璧，使人发书至赵王，赵王悉召群臣议，皆曰‘秦 贪，负其彊，以空言求璧，偿城恐不可得’。议不欲予秦璧。臣以为 布衣之交尚不相欺，况大国乎！且以一璧之故逆彊秦之驩，不可。於 是赵王乃斋戒五日，使臣奉璧，拜送书於庭。何者？严大国之威以修 敬也。今臣至，大王见臣列观，礼节甚倨；得璧，传之美人，以戏弄 臣。臣观大王无意偿赵王城邑，故臣复取璧。大王必欲急臣，臣头今 与璧俱碎於柱矣！”	Tần vương đưa ngọc, Tương Như nhân đó cầm ngọc đứng thẳng, dựa cột, nổi giận tóc dựng mũ, bảo Tần vương rằng: “Đại vương muốn được ngọc, sai người đưa thư cho Triệu vương, Triệu vương triệu hết quần thần thương nghị, đều nói: 'Tần tham, cậy mình mạnh, chỉ nói suông lấy ngọc, e không trả thành.' Bàn nhau không muốn mang ngọc sang Tần. Thần cho kẻ áo vải giao du còn không lừa dối nhau, huống chi nước lớn! Vả vì viên ngọc mà làm trái ý thích của Tần mạnh là không thể. Thế nên Triệu vương bèn trai giới năm ngày, sai thần mang ngọc, vái tiễn và trao quốc thư ở triều đình. Vì sao? Vì muốn giữ nghiêm uy của đại quốc để tỏ lòng kính trọng vậy. Nay thần đến, đại vương tiếp kiến ở chỗ tầm thường, lễ tiết khinh mạn; được ngọc, truyền cho mỹ nữ, để đùa cợt thần. Thần thấy đại vương không có ý trả thành ấp cho Triệu vương, nên thần lấy lại ngọc. Đại vương một mực ép thần, hôm nay đầu thần và ngọc đều vỡ ở cái cột này!”
相如持其璧睨柱，欲以击柱。	Tương Như cầm ngọc nhìn chằm chằm cột, như muốn lao vào.
秦王恐其破璧，乃 辞谢固请，召有司案图，指从此以往十五都予赵。	Tân vương sợ ngọc vỡ, bèn tạ lỗi và thỉnh cầu, triệu quan hữu ty mang địa đồ ra, chỉ từ đây trở đi mười lăm thành đều thuộc Triệu.
相如度秦王特以诈 详为予赵城，实不可得，乃谓秦王曰：“和氏璧，天下所共传宝也， 赵王恐，不敢不献。赵王送璧时，斋戒五日，今大王亦宜斋戒五日， 设九宾於廷， 臣乃敢 上璧。”	Tương Như đoán Tần vương chỉ vờ cắt thành cho Triệu, không phải ý thực, bèn nói với Tần vương: “Ngọc họ Hòa, thiên hạ cùng cho là báu vật, Triệu vương sợ, không dám không dâng. Khi Triệu vương tiến ngọc, trai giới năm ngày, nay đại vương cũng nên trai giới năm ngày, bày lễ cửu tân ở triều đình, thần mới dám dâng ngọc.”
秦王度之，终不可彊夺，遂许斋五日，舍相如广成传。	Tần vương đoán biết, rốt cuộc không thể cưỡng đoạt, bèn đồng ý trai giới năm ngày, cho Tương Như ở công quán Quảng Thành.
相如度秦王虽斋，决负约不偿城，乃使 其从者衣褐，怀其璧，从径道亡，归璧于赵。	Tương Như biết Tần vương tuy trai giới, nhưng quyết phụ ước không trả thành, bèn sai người đi cùng mặc áo ngắn, mang theo ngọc, đi lối tắt trốn về, trao lại ngọc cho Triệu.
秦王斋五日後，乃设九宾礼於廷，引赵使者蔺相如。	Tần vương trai giới năm ngày xong, bày lễ cửu tân ở triều đình, tiếp kiến sử Triệu là Lận Tương Như.
相如至，谓 秦王曰：“秦自缪公以来二十馀君，未尝有坚明约束者也。臣诚恐见 欺於王而负赵，故令人持璧归，间至赵矣。且秦彊而赵弱，大王遣一 介之使至赵，赵立奉璧来。今以秦之彊而先割十五都予赵，赵岂敢留 璧而得罪於大王乎？臣知欺大王之罪当诛，臣请就汤镬，唯大王与群 臣孰计议之。”	Tương Như đến, nói với Tần vương: “Tần từ Mục công trở đi trải hơn hai mươi đời vua, chưa có ai từng giữ trọn minh ước. Thần thực sự bị đại vương lừa mà phụ Triệu, cho nên sai người mang ngọc về, đi đường nhỏ, đã về Triệu rồi. Vả Tần mạnh Triệu yếu, đại vương sai một sứ đến Triệu, Triệu lập tức đưa ngọc đến. Nay nhân Tần mạnh mà cắt mười lăm thành cho Triệu trước, Triệu há dám giữ ngọc mà đắc tội với đại vương ư? Thần biết tội dối đại vương đáng phải chết, xin bước vào chảo nước sôi, chỉ xin đại vương cùng quần thần bàn tính cho kỹ.”
秦王与群臣相视而嘻。	Tần vương và quần thần nhìn nhau nuối tiếc.
左 右或欲引相如去，秦王因曰：“今杀相如，终不能得璧也，而绝秦赵 之驩，不如因而厚遇之，使归赵，赵王岂以一璧之故欺秦邪！”	Tả hữu có kẻ muốn lôi Tương Như đi, Tần vương nhân nói: “Nay giết Tương Như, cuối cùng không được ngọc lại cắt mất quan hệ tốt giữa Tần và Triệu, chẳng bằng nhân đây hậu đãi y, cho về Triệu, Triệu vương há vì một viên ngọc dám lừa Tần ư?”
相如既归，赵王以为贤大夫使不辱於诸侯，拜相如为上大夫。	Tương Như về nước, Triệu vương cho là đại phu tài giỏi, đi sứ chư hầu không làm nhục mệnh vua, liền phong làm Thượng đại phu.
秦 亦不以城予赵，赵亦终不予秦璧。	Tần cũng không cắt thành cho Triệu, Triệu sau cùng cũng không trao ngọc cho Tần.
其後秦伐赵，拔石城。	Về sau, Tần đánh Triệu, hạ Thạch Thành.
明年，复攻赵，杀二 万人。	Năm sau, lại đánh Triệu, giết hai vạn người.
秦王使使者告赵王，欲与王为好会於西河外渑池。	Tần vương sai sứ giả báo với Triệu vương, muốn cùng Triệu vương hội kiến ở Mẫn Trì, phía ngoài Tây Hà để giảng hòa.
赵王畏秦，欲毋行。	Triệu vương sợ Tần, không muốn đi.
廉颇、 蔺相如计曰：“王不行，示赵弱且怯也。”	Liêm Pha, Lận Tương Như tính kế: “Đại vương không đi, chứng tỏ Triệu yếu và khiếp nhược vậy.”
赵王遂行，相如从。	Triệu vương bèn lên đường, Tương Như đi theo.
廉颇 送至境，与王诀曰：“王行，度道里会遇之礼毕，还，不过三十日。 三十日不还，则请立太子为王。以绝秦望。”	Liêm Pha tiễn đến biên giới, nói với Triệu vương: “Đại vương đi, tính đường từ khi gặp Tần vương đến hành lễ xong, trở về, không quá ba mươi ngày. Ba mươi ngày không về, xin lập thái tử làm vua, để Tần hết hy vọng.”
王许之，遂与秦王会渑 池。	Triệu vương đồng ý. Rồi cùng Tần vương hội kiến ở Mẫn Trì.
