湣王时，单为临菑市掾， 不见知。	Thời Mẫn vương, Đan làm viên coi chợ tại Lâm Truy, không ai biết đến.
及燕使乐毅伐破齐，齐湣王出奔，已而保莒城。	Tới khi Yên sai Nhạc Nghị đánh phá Tề, Tề Mẫn vương bỏ chạy, rồi giữ thành Cử.
燕师长驱平 齐，而田单走安平， 令其宗人尽断其 车轴末 而傅铁笼。	Quân Yên đuôi dài, bình định Tề, Điền Đan chạy đến An Bình, bảo người trong họ chặt hết đầu trục xe, dùng sắt bịt vào.
已而燕军攻安平，城坏，齐人走，争涂，以轊折车败， 为燕所虏，唯田单宗人以铁笼 故得脱，东保即墨。	Thế rồi quân Yên đánh An Bình, thành vỡ, người Tề tranh đường tháo chạy, trục gãy xe hỏng, bị quân Yên bắt sống, chỉ có họ hàng Điền Đan do lấy sắt bịt đầu trục xe nên thoát, chạy sang đông giữ Tức Mặc.
燕既尽降齐城，唯独莒、即墨不下。	Yên đã hạ hết các thành của Tề, chỉ còn thành Cử và Tức Mặc chưa bị hạ.
燕军闻齐王 在莒，并兵攻之。	Quân Yên nghe nói Tề vương ở đất Cử, liền tập trung lực lượng tấn công.
淖齿既杀湣王於 莒，因坚守，距燕军，数年不下。	Trác Xỉ giết Mãn vương tại đất Cử, nhân đó phòng thủ thật vững, cự với quân Yên, quân Yên mấy năm không hạ nổi.
燕引兵东围即墨，即墨大夫出与 战，败死。	Yên dẫn quân sang đông vây Tức Mặc, đại phu Tức Mặc ra đánh, thua trận chết.
城中相与推田单，曰：“安平之战，田单宗人以铁笼得 全，习兵。”	Trong thành cùng suy tôn Điền Đan, nói: “Cuộc chiến ở An Bình, người trong họ của Điền Đan lấy sắt bịt đầu trục xe nên an toàn, [chứng tỏ Điền Đan] am hiểu việc quân.”
立以为将军，以即墨距燕。	Bàn tôn làm tướng quân, chỉ huy Tức Mặc chống Yên.
顷之，燕昭王卒，惠王立，与乐毅有隙。	Không lâu sau, Yên Chiêu vương chết, Huệ vương lên thay, có hiềm khích với Nhạc Nghị.
