吕不韦者，阳翟 大贾 人也。 往来贩贱卖贵， 家累千金。	Lã Bất Vi là nhà buôn lớn ở Dương Địch, qua lại các nơi mua rẻ bán đắt, nhà có ngàn vàng.
秦昭王四十年，太子死。	Tần Chiêu vương năm thứ bốn mươi, thái tử chết.
其四十二年，以其次子安国君 为太子。	Năm thứ bốn mươi hai, lấy con thứ là An Quốc quân làm thái tử.
安国君有子二十馀人。	An Quốc quân có hơn hai mươi người con.
安国君有所 甚爱姬，立以为正夫人，号曰华阳夫人。	An Quốc quân có người thiếp rất được sủng ái, lập làm chính phu nhân, gọi là Hoa Dương phu nhân.
华阳夫人无子。	Hoa Dương phu nhân không có con.
安国君中男 名子楚， 子楚母曰夏 姬，毋爱。	Trong số các con của An Quốc quân có Tử Sở, mẹ là Hạ Cơ, không được sủng ái.
子楚为秦质 子於赵。	Tử Sở vì Tần sang làm con tin ở nước Triệu.
秦数攻赵，赵不甚礼子 楚。	Tần nhiều lần đánh Triệu, Triệu không trọng lễ với Tử Sở.
子楚，秦诸庶孽孙， 质於诸 侯，车乘进用 不饶，居处困，不得意。	Tử Sở là hàng cháu hèn mọn thuộc ngành thứ của Tần, làm con tin ở chư hầu, xe ngựa, tiêu dùng không được sung túc, sống trong cảnh khốn khó, không được như ý.
吕不韦 贾邯郸，见而怜之，曰“此奇货可居”。	Lã Bất Vi buôn bán ở Hàm Đan, trông thấy thì thương, nói: “Món hàng này lạ, có thể buôn được.”
乃往见子楚，说曰：“吾能大子之门。”	Bàn đến gặp Tử Sở, nói: “Tôi có thể làm cửa nhà ngài lớn thêm.”
子楚笑曰：“且自大 君之门，而乃大吾门！”	Tử Sở cười nói: “Vậy ông tự làm lớn cửa nhà mình trước, rồi hãy làm rộng cửa nhà tôi!”
吕不韦曰：“子不知也，吾门待子门而 大。”	Lã Bất Vi nói: “Ngài không biết đấy, cửa nhà tôi phải đợi của nhà ngài lớn đã.”
吕不韦曰：“秦王老矣，安国君得为太子。窃闻安国君 爱幸华阳夫人，华阳夫人无子，能立適嗣者独华阳夫人 耳。今子兄弟二十馀人，子又居中，不甚见幸，久质诸侯。即大王 薨，安国君立为王，则子毋几得与长子 及诸子旦暮在前者争 为太子矣。”	Lã Bất Vi nói: “Tần vương già rồi, An Quốc quân được làm thái tử. Trộm nghe An Quốc quân sủng ái Hoa Dương phu nhân, Hoa Dương phu nhân không có con, người có thể lập dòng đích để kế vị chỉ có Hoa Dương phu nhân. Nay anh em ngài hơn hai mươi người, ngài ở hàng giữa, không được sủng ái lắm, lại làm con tin lâu ngày ở chư hầu. Nếu đại vương mất, An Quốc quân lên làm vua, ngài đừng mong cùng trưởng huynh và anh em khác sớm tối tranh làm thái tử.”
子楚曰：“然。为之柰何？”	Tử Sở nói: “Đúng thế! Phải làm thế nào?”
吕不韦曰：“子贫，客於 此，非有以奉献於亲及结宾客也。不韦虽贫，请以千金为子西游，事 安国君及华阳夫人，立子为適嗣。”	Lã Bất Vi nói: “Ngài nghèo, làm khách ở đây, không có gì dâng hiến người thân và kết giao tân khách. Bất Vi tuy nghèo, xin đem ngàn vàng vì ngài mang sang phía tây, thờ An Quốc quân và Hoa Dương phu nhân, xin lập ngài làm người thừa tự.”
