季布者，楚人也。	Quý Bố, người Sở.
为气任侠， 有名 於楚。	Khí khái hiệp nghĩa, có tiếng ở Sở.
项籍使将兵，数窘汉王。	Hạng Tịch sai cầm quân, nhiều lần khiến Hán vương khốn đốn.
及项羽 灭，高祖购求布千金，敢有舍匿，罪及三族。	Đến khi Hạng Vũ bị diệt, Cao tổ treo thưởng Quý Bố nghìn vàng, ai dám giấu, xử tội ba họ.
季布匿濮阳周氏。	Quý Bố ẩn ở nhà họ Chu tại Bộc Dương.
周氏 曰：“汉购将军急，迹且至臣家，将军能听臣，臣敢献计；即不能， 原先自刭。”	Họ Chu nói: “Nhà Hán treo thưởng tướng quân gắt gao, truy theo tung tích đến tận nhà tôi, nếu tướng quân nghe, tôi xin hiến kế; như không thể, xin cắt cổ chết trước tướng quân.”
乃髡钳季布，衣褐衣，置广柳车中， 并与其家僮数十人，之鲁硃家 所卖之。	Bèn gọt tóc đeo vòng sắt vào cổ Quý Bố, mặc áo vải thô, bảo ngồi trong xe tang, cùng mấy chục gia nhân, đến bán cho Châu Gia huyện Lỗ.
硃家心知是季布，乃买而置之田。	Châu Gia trong bụng biết là Quý Bố, bèn mua rồi cho làm đồng.
诫其子曰：“田事听此 奴，必与同食。”	Dặn con rằng: “Việc ruộng đồng phải nghe nô bộc này, nhất định phải ăn cùng hắn.”
硃家乃乘轺车 之洛阳，见汝阴侯滕公。	Châu Gia liền ngồi xe nhỏ đến Lạc Dương, yết kiến Nhữ Âm hầu Đẳng Công.
滕公留硃家饮数日。	Đằng Công giữ Châu Gia lại uống rượu mấy hôm.
因谓 滕公曰：“季布何大罪，而上求之急也？”	Nhân đó nói với Đằng Công: “Quý Bố có tội lớn gì mà Hoàng thượng tìm bắt gắt gao thế?”
滕公曰：“布数为项羽窘 上，上怨之，故必欲得之。”	Đằng Công đáp: “Bố nhiều lần vì Hạng Vũ khiến Hoàng thượng khốn đốn, Hoàng thượng oán hắn, nên muốn bắt bằng được.”
硃家曰：“君视季布何如人 也？”	Châu Gia nói: “Ngài thấy Quý Bố là người thế nào?”
曰：“贤者也。”	Đáp: “Người hiền năng vậy.”
硃家曰：“臣各为其主用，季布为项籍用， 职耳。项氏臣可尽诛邪？今上始得天下，独以己之私怨求一人，何示 天下之不广也！且以季布之贤而汉求之急如此，此不北走胡即南走越 耳。夫忌壮士以资敌国，此伍子胥所以鞭荆平王之墓也。君何不从容 为上言邪？”	Châu Gia nói: “Bề tôi đều vì chủ mình, Quý Bố ra sức vì Hạng Tịch, là chức phận thôi. Có thể giết hết bề tôi họ Hạng không? Nay Hoàng thượng mới được thiên hạ, chỉ vì oán riêng truy bắt một người, sao lại tỏ cho thiên hạ thấy mình không quảng đại vậy! Vả lại Quý Bố hiền năng mà Hán lại bắt gắt gao, hắn không sang người Hồ phía bắc cũng qua nước Việt phía nam thôi. Ghét tráng sĩ để giúp nước địch, ấy là nguyên do Ngũ Tử Tư quật mộ dùng roi đánh xác Sở Bình vương vậy. Sao ngài không nhân lúc thư thả thưa lại với Hoàng thượng?”
汝阴侯滕公心知硃家大侠，意季布匿其所，乃许 曰：“诺。”	Nhữ Âm hầu Đằng Công biết Châu Gia là đại hiệp, xem chừng Quý Bố ẩn chỗ ông ta, bèn hứa rằng: “Được.”
当是时，诸公皆多 季布能摧刚为柔，硃家亦以此名闻当世。	Bấy giờ, các quan đều tán thưởng Quý Bố giỏi biến cương thành nhu, Châu Gia cũng nhờ đó nổi tiếng đương thời.
季布召见，谢，上拜为郎 中。	Quý Bố được triệu kiến, tạ ơn xá tội, phong làm Lang trung.
孝惠时，为中郎将。	Thời Hiếu Huệ đế, làm Trung lang tưởng.
单于尝为书嫚吕后，不逊，吕后大怒，召诸 将议之。	Thiền vu từng viết thư xấc xược với Lã hậu, không nhún nhường, Lã hậu cả giận, triệu các tướng đến thương nghị.
