张廷尉释之者，堵阳人也， 字 季。	Trương Thích Chi Đình úy Trương Thích Chi, người Đổ Dương, tự là Quý.
有兄仲同居。	Sống cùng anh trai là Trọng.
以訾为骑郎， 事孝文帝，十岁不得调，无所知名。	Nhờ có của cải nên được làm Kỵ lang, thờ Hiếu Văn đế, mười năm không được thăng chức, không có gì để người ta biết tiếng.
释之曰：“久宦减仲之 产，不遂。”	Thích Chi nói: “Làm quan lâu hao tài sản của anh, không được thỏa ý.”
欲自免归。	Định xin từ chức về nhà.
中郎将袁盎知其贤，惜其去，乃请徙释之补 谒者。	Trung lang tướng Viên Áng biết Thích Chi là hiền năng, tiếc nếu Chi đi, bèn xin chuyển Thích Chi bổ dụng làm Yết giả.
文帝曰：“卑之，毋甚高论，令今可施行 也。”	Văn đế bảo: “Thấp xuống chút, chớ bàn luận cao quá, làm sao để thời nay có thể thi hành được.”
於是释之言秦汉之间事，秦所以失而汉所以兴者久之。	Thế là Thích Chi nói những việc thời Tần, Hán, nguyên nhân khiến Tần mất Hán hưng, nói một hồi lâu.
文帝 称善，乃拜释之为谒者仆射。	Văn đế khen ngợi, bèn phong Thích Chi làm Yết giả bộc xạ.
上问上林尉 诸禽兽簿，十馀问，尉左右视，尽不能 对。	Hoàng thượng hỏi quan Úy vườn Thượng Lâm về sổ sách ghi chép các loài cầm thú, hỏi hơn mười việc, quan Úy nhìn trái ngó phải, đều không trả lời được.
虎圈啬夫从旁代尉对上所 问禽兽簿甚悉，欲以观其能口对响应无穷者。	Viên Sắc phu coi vườn hổ đứng cạnh viên Úy trả lời Hoàng thượng rất tường tận về sổ sách ghi chép các loài cầm thú, qua đấy để thấy y có tài ứng đối xuất sắc.
文帝曰：“吏不当若是 邪？尉无赖！”	Văn đế nói: “Quan lại mà không được thế ư? Viên Úy kia không trông cậy được?”
乃诏释之拜啬夫为上林 令。	Bèn hạ lệnh cho Thích Chi phong viên Sắc phu làm Thượng Lâm lệnh.
释之久之前曰：“陛下以绛侯周勃何如人也？”	Thích Chi lâu sau tiến lên hỏi: “Bệ hạ thấy Giáng hầu Chu Bột là người thế nào?”
上曰：“长者 也。”	Hoàng thượng đáp: “Trưởng giả vậy.”
又复问：“东阳侯张相如何如人也？”	Lại hỏi: “Đông Dương hầu Trương Tương Như là người thế nào?”
上复曰：“长者。”	Hoàng thượng lại đáp: “Trưởng giả.”
释 之曰：“夫绛侯、东阳侯称为长者，此两人言事曾不能出口，岂斅此 啬夫谍谍 利口捷给哉！且秦以任刀笔之吏，吏争以亟疾苛察相高，然其敝徒文 具耳，无恻隐之实。以故不闻其过， 陵迟而至於二世，天下土崩。今陛下以啬夫口辩而超迁之，臣恐天下 随风靡靡，争为口辩而无其实。且下之化上疾於景响，举错不可不审 也。”	Thích Chi nói: “Xét Giáng hầu, Đông Dương hầu đáng xưng tụng là trưởng giả, hai người này lúc bàn việc cứ lắp ba lắp bắp, lẽ nào học theo viên Sắc phu thao thao bất tuyệt ư? Vả nhà Tần dùng những viên thư lại, chỉ tranh làm sao cho nhanh, coi việc hà khắc, cốt so cao thấp, nhưng điều tệ của chúng là chỉ có văn suông thôi, thực chất không có lòng trắc ẩn. Vì thế chưa từng nghe đến lỗi của chúng, [thế mà] ngày càng suy bại, đến Tần Nhị thế, thiên hạ sụt như đất lở. Nay bệ hạ thấy viên Sắc phu có tài ăn nói mà phong vượt bậc, thần sợ thiên hạ hùa theo, tranh nói cho giỏi mà không trọng thực chất. Và lại dưới bắt chước trên nhanh như cái bóng và tiếng vang, dùng người không thể không xét thật kỹ.”
文帝曰：“善。”	Văn để nói: “Phải.”
乃止不拜啬夫。	Bèn thôi, không phong cho viên Sắc phu ấy nữa.
上就车，召释之参乘，徐行，问释之秦之敝。	Hoàng thượng lên xe, triệu Thích Chi ngồi cùng, đi chầm chậm, hỏi Thích Chi những mối tệ của nhà Tần.
至宫，上拜释之为公车令。	Đến cung, Hoàng thượng phong Thích Chi làm Công xa lệnh.
顷之，太子与梁王共车入朝，不下司马门， 於是释 之追止太子、梁王无得入殿门。	Không lâu sau, Thái tử và Lương vương cùng ngồi xe vào triều, đến cửa Tư mã không xuống xe, thấy vậy Thích Chi đuổi theo ngăn Thái tử và Lương Vương, không cho vào cổng điện.
遂劾不下公门不敬，奏之。	Rồi hạch tội bất kính đến cửa Tư mã không chịu xuống xe, tâu lên triều đình.
薄太后闻 之，文帝免冠谢曰：“教兒子不谨。”	Bạc thái hậu biết chuyện, Văn đế cởi mũ tạ lỗi: “Con dạy con cái không nghiêm.”
薄太后乃使使承诏赦太子、梁 王，然后得入。	Bạc Thái hậu bèn sai sứ mang chiếu đến xá tội cho Thái tử và Lương Vương, sau đó cho vào cùng.
文帝由是奇释之，拜为中大夫。	Văn đế vì thế cho Thích Chi là người kỳ lạ, phong làm Trung đại phu.
顷之，至中郎将。	Một thời gian sau, làm đến Trung lang tướng.
从行至霸陵，居北临厕。	Theo hoàng thượng đến Bá Lăng, tới phía bắc lăng mộ dõi trông ra xa.
是时慎夫人从，上指示慎夫人新丰道，曰：“此走邯郸道 也。”	Khi ấy Thận phu nhân đi theo, Hoàng thượng chỉ đường Tân Phong cho Thận phu nhân, bảo rằng: “Đường này đến Hàm Đan đó.”
左右皆 曰：“善。”	Tả hữu đều nói: “Phải.”
