万石君名奋，其父赵人 也，姓石氏。	Thạch Phấn, Thạch Kiến Vạn Thạch quân tên là Phấn, cha người nước Triệu, họ Thạch.
赵亡，徙居温。	Nước Triệu mất, rời sang sống ở huyện Ôn.
高祖东击项籍，过河内，时奋年十五，为小 吏，侍高祖。	Cao tổ sang đông đánh Hạng Tịch, qua Hà Nội, bấy giờ Phấn mười lăm tuổi, làm tiểu lại, hầu cận Cao tổ.
高祖与语，爱其恭敬，问曰：“若何有？”	Cao tổ nói chuyện cùng, yêu quý vị Phấn rất cung kính, hỏi rằng: “Nhà mày còn những ai?”
对曰：“奋 独有母，不幸失明。家贫。有姊，能鼓琴。”	Đáp rằng: “Phấn chỉ còn mẹ, bất hạnh mắt mù, nhà nghèo, có chị, biết gảy đàn sắt.”
高祖曰：“若能从我 乎？”	Cao tổ hỏi: “Mày muốn theo ta không?”
曰：“原尽力。”	Đáp: “Xin tận sức.”
於是高祖召其姊为美人，以奋为中涓， 受书谒，徙其家长安中戚里， 以姊为美人故也。	Thế là Cao đế triệu chị Phấn, hóa ra là mỹ nhân, cho Phấn làm Trung quyên, phụ trách nhận thư từ danh thiếp, dời nhà Phấn đến làng Thích Lý trong thành Trường An, do chị Phấn là mỹ nhân vậy.
其官至孝文 时，积功劳至大中大夫。	Làm quan đến thời Hiếu Văn đế, tích lũy công lao, làm tới Thái trung đại phu.
无文学，恭谨无与比。	Không có văn tài, nhưng cung kính cẩn trọng không ai sánh bằng.
文帝时，东阳侯张相如为太子太傅，免。	Thời Văn đế, Đông Dương hầu Trương Tương Như làm Thái tử Thái phó, bị bãi chức.
选可为傅者，皆推奋， 奋为太子太傅。	Chọn người có thể giữ chức Thái phó, đều tiến cử Phấn, Phấn được làm Thái tử Thái phó.
及孝景即位，以为九卿；迫近，惮之， 徙奋为诸侯相。	Khi Hiếu Cảnh đế lên ngôi, phong làm Cửu khanh; Phấn ở gần, Hoàng đế sợ, bèn chuyển Phấn làm Tướng quốc cho chư hầu.
奋长子建，次子甲，次 子乙， 次子庆，皆以驯行孝谨， 官皆至二千石。	Con trưởng của Phấn là Kiến, thứ hai là mỗ, thứ ba là mỗ, thứ tư là Khánh, đều đức hạnh thuần hậu, hiếu thuận cẩn trọng, làm quan đến trật hai nghìn thạch.
於是景帝曰：“石君及四子 皆二千石，人臣尊宠乃集其门。”	Thế là Cảnh đế nói: “Thạch quân cùng bốn người con đều làm quan đến hạng hai nghìn thạch, bề tôi được tôn sủng đều tập trung ở nhà ông ta.”
号奋为万石君。	Phấn được xưng hiệu là Vạn Thạch quân.
孝景帝季年，万石君以上大夫禄归老于家，以岁时为朝臣。	Năm cuối thời Hiếu Cảnh đế, Vạn Thạch quân được hưởng lộc Thượng đại phu, về nhà dưỡng lão, hằng năm khi triều hội, lấy tư cách đại thần vào chầu.
过宫 门阙，万石君必下车趋，见路马必式焉。	Qua cổng cung, Vạn Thạch quân ắt xuống xe rảo bước vào, thấy xe vua trên đường đều giữ đúng nghi thức.
子孙为小吏，来归谒，万石 君必朝服见之，不名。	Con cháu làm tiểu lại, về nhà đến bái yết, Vạn Thạch quân phải mặc triều phục mới gặp, không gọi theo tên.
子孙有过失，不谯让， 为便坐， 对案不食。	Con cháu có lỗi lầm, không trách mắng, cho ngồi một bên, người ngồi đối diện không cho ăn uống.
然后诸子相责，因长老肉袒固 谢罪，改之，乃许。	Rồi sau các con phê bình lẫn nhau, người có tuổi phạm lỗi phải cởi trần tạ tội, sửa đổi, mới được chấp nhận.
上时赐食於家，必稽首俯伏 而食之，如在上前。	Khi Hoàng thượng ban đồ ăn cho gia đình, ắt dập đầu phủ phục mà ăn, hệt như trước mặt Hoàng thượng.
子孙遵教，亦如之。	Con cháu noi theo dạy bảo, cũng hệt như thế.
万石君 家以孝谨闻乎郡国，虽齐鲁诸儒质行，皆自以为不及也。	Gia đình Vạn Thạch quân nhờ hiếu thuận cẩn trọng, nổi tiếng khắp các quận trong nước, dẫu các nhà phẩm hạnh chất phác ở Tề, Lỗ, đều tự cho mình không bằng.
建元二年，郎中令 王臧以文学获罪。	Năm Kiến Nguyên thứ hai, Trung lang lệnh Vương Tang vì văn học mà mắc tội.
皇太后以为儒者文多质少，今万 石君家不言而躬行，乃以长子建为郎中令，少子庆为内史。	Hoàng thái hậu cho là nhà nho chuộng văn vẻ mà kém phẩm hạnh, nay nhà Vạn Thạch quân không nói nhiều mà chủ động thi hành, bèn phong con trưởng là Kiến làm Lang trung lệnh, con út là Khánh làm Nội sử.
建老白首，万石君尚无恙。	Kiến già bạc đầu, Vạn Thạch quân còn khỏe mạnh.
建为郎中令，每五日洗沐归谒亲， 入子舍， 窃问侍者，取亲 中稖厕窬，身自浣涤， 复 与侍者，不敢令万石君知，以为常。	Kiến làm Lang trung lệnh, cứ làm năm ngày được nghỉ ngơi một ngày, lại về thăm cha, vào phòng kế bên, trộm hỏi người hầu, lấy quần lót cha mặc và bô, tự tay giặt rửa rồi giao cho người hầu, không dám để Vạn Thạch quân biết, coi đó là việc thường.
建为郎中令，事有可言，屏人恣 言，极切；至廷见，如不能言者。	Kiến làm Lang trung lệnh, việc gì cần nói, đuổi hết người bên cạnh, lời nói tận tình, khẩn thiết; đến khi triều kiến, tựa như chưa từng nói gì.
万石君徙居陵里。	Vạn Thạch quân chuyển ra ở Lăng Lý.
