田叔者，赵陉城人 也。	Điền Thúc, người Hình Thành nước Triệu.
其先，齐田氏苗裔也。	Tổ tiên là hậu duệ họ Điền nước Tề.
叔喜剑，学黄老术於乐巨公 所。	Thúc thích kiếm thuật, học thuật Hoàng Lão từ Lạc Cự công.
叔为人刻廉自喜，喜游 诸公。	Thúc là người chuộng nghiêm chính liêm khiết, thích du ngoạn cùng tiền bối.
赵人举之赵相赵午，午言之赵 王张敖所，赵王以为郎中。	Người Triệu tiến cử Điền Thúc cho Tướng quốc nước Triệu là Triệu Ngọ, Ngọ nói với Triệu vương Trương Ngao, Triệu vương cho làm Lang trung.
数岁，切直廉平，赵王贤之，未及迁。	Được mấy năm, hết mực chính trực công bằng, Triệu vương cho là hiền năng, chưa kịp thăng chức.
会陈豨反代， 汉七年，高祖往诛之，过赵，赵王张敖自持案进食，礼恭 甚，高祖箕踞骂之。	Đúng lúc Trần Hy làm phản ở đất Đại, nhà Hán năm thứ bảy, Cao tổ sang thảo phạt, qua Triệu, Triệu vương Trương Ngao tự cầm khay dâng đồ ăn, lễ rất cung kính, Cao tổ ngồi xổm mắng ông ta.
是时赵相赵午等数十人皆怒，谓张王曰：“王事 上礼备矣，今遇王如是，臣等请为乱。”	Bấy giờ, bọn Tướng quốc nước Triệu là Triệu Ngọ mấy chục người đều nổi giận, nói với Trương Vương: “Đại vương thờ Hoàng thượng đã tận lễ, nay lại đối xử với đại vương thế, bọn thần xin làm loạn.”
赵王齧指出血，曰：“先人 失国，微陛下，臣等当蟲出。 公等柰何言若是！毋复出口矣！”	Triệu vương cắn ngón tay chảy máu, nói: “Tiền nhân để mất nước, không có bệ hạ, bọn ta chỉ như dòi bọ chui ra từ thây xác. Sao các ông lại nói thế! Không được nói ra nữa!”
於是贯高 等曰：“王长者，不倍德。”	Thế rồi bọn Quán Cao nói: “Đại vương là bậc trưởng giả, không phản bội người có đức.”
会事发觉， 汉下诏捕赵王及群臣反者。	Khi việc bị phát giác, nhà Hán hạ chiếu bắt Triệu vương cùng bề tôi làm phản.
於是赵午 等皆自杀，唯贯高就系。	Vì thế bọn Triệu Ngọ đều tự sát, chỉ có Quán Cao bị trói.
是时汉下诏书：“赵有敢随王者罪三 族。”	Lúc đó, nhà Hán hạ chiếu thư: “Người Triệu ai dám theo Triệu vương, tội cả ba họ.”
唯孟舒、田叔等十馀人赭衣自髡钳，称王家奴，随赵王敖至长 安。	Duy có bọn Mạnh Thư, Điền Thúc hơn mười người mặc áo đỏ, gọt tóc, xưng gia nô của Triệu vương, theo Triệu vương Ngao đến Trường An.
贯高事明白，赵王敖得出，废为宣平侯，乃进言田叔等十馀人。	Quán Cao trình bày rõ việc, Triệu vương Ngao được thả, bị phế làm Tuyên Bình hầu, rồi tiến cử bọn Điền Thúc hơn mười người.
上尽召见，与语，汉廷臣毋能出其右者，上说，尽拜为郡守、诸侯 相。	Hoàng thượng triệu kiến tất cả, cùng trò chuyện, bề tôi trong triều nhà Hán không ai hơn được họ, Hoàng thượng quý mến, phong hết làm Quận thú hoặc Tướng quốc cho chư hầu.
叔为汉中守十馀年，会高后崩，诸吕作乱，大臣诛之，立孝文 帝。	Thúc làm Quận thú Hán Trung hơn mười năm, đúng lúc Cao hậu băng hà, đám họ Lã làm loạn, đại thần chu diệt, lập Hiếu Văn đế.
孝文帝既立，召田叔问之曰：“公知天下长者乎？”	Sau khi Hiếu Văn đế lên ngôi, triệu Điền Thúc đến hỏi: “Ông biết ai là trưởng giả trong thiên hạ không?”
对曰：“臣 何足以知之！”	Đáp rằng: “Thần đâu đủ khả năng biết điều ấy?”
上曰：“公，长者也，宜知之。”	Hoàng thượng nói: “Ông là trưởng giả, nên biết điều đó.”
叔顿首曰：“故云 中守孟舒，长者也。”	Thúc dập đầu nói: “Mạnh Thư, Quận thú Vân Trung trước kia là trưởng giả vậy.”
是时孟舒坐虏大入塞盗劫，云中尤甚，免。	Lúc ấy giặc đông kéo vào cướp bóc biên ải, Vân Trung cực kỳ nguy cấp, Mạnh Thư bị bãi chức.
上 曰：“先帝置孟舒云中十馀年矣，虏曾一人，孟舒不能坚守，毋故士 卒战死者数百人。长者固杀人乎？公何以言孟舒为长者也？”	Hoàng thượng nói: “Tiên đế sắp đặt Mạnh Thư ra Vân Trung hơn chục năm, giặc vừa vào, Mạnh Thư đã không thể giữ vững, sĩ tốt bất ngờ phải chiến đấu chết đến mấy trăm người. Trưởng giả lại cố ý giết người ư? Sao ông nói Mạnh Thư là trưởng giả?”
叔叩头 对曰：“是乃孟舒所以为长者也。夫贯高等谋反，上下明诏，赵有敢 随张王，罪三族。然孟舒自髡钳，随张王敖之所在，欲以身死之，岂 自知为云中守哉！汉与楚相距，士卒罢敝。匈奴冒顿新服北夷，来为 边害，孟舒知士卒罢敝，不忍出言，士争临城死敌，如子为父，弟为 兄，以故死者数百人。孟舒岂故驱战之哉！是乃孟舒所以为长者 也。”	Thúc khấu đầu đáp: “Chính thế Mạnh Thư mới là trưởng giả vậy. Xét bọn Quán Cao mưu phản, Hoàng thượng hạ chiếu nói rõ, người Triệu ai dám theo Triệu vương, tội cả ba họ. Nhưng Mạnh Thư tự gọt tóc, theo Triệu vương Ngao đến chỗ phải đến, muốn lấy thân mình chết thay, há tự biết sẽ làm Quận thú Vân Trung ư! Hán và Sở chống nhau, sĩ tốt mỏi mệt. Mặc Đốn ở Hung Nô mới hàng phục man di phía bắc, kéo đến xâm hại biên cương, Mạnh Thư biết sĩ tốt mỏi mệt, không nỡ nói ra, quân sĩ tranh lên thành liều chết với địch, như con vì cha, em vì anh, cho nên chết mấy trăm người. Mạnh Thư đâu cố ý xua họ ra đánh! Thế nên mới cho Mạnh Thư là trưởng giả vậy.”
於是上曰：“贤哉孟舒！”	Rồi Hoàng thượng nói: “Hiền thay Mạnh Thư!”
後数岁，叔坐法失官。	Mấy năm sau, Thúc phạm pháp bị mất chức.
梁孝王使人杀故吴相袁盎，景帝召田叔案 梁，具得其事，还报。	Lương Hiếu vương sai người giết Tướng quốc nước Ngô trước đây là Viên Áng, Cảnh đế triệu Điền Thúc tra xét án Lương Vương, nắm rõ sự việc, về báo.
景帝曰：“梁有之乎？”	Cảnh đế hỏi: “Nước Lương có việc ấy ư?”
叔对曰：“死罪！有 之。”	Thúc đáp rằng: “Tội chết! Có việc đó.”
上曰：“其事安在？”	Hoàng thượng hỏi: “Việc ấy thế nào?”
田叔曰：“上毋以梁事为也。”	Điền Thúc đáp: “Hoàng thượng không cần truy cứu việc nước Lương nữa.”
上 曰：“何也？”	Hoàng thượng hỏi: “Tại sao?”
曰：“今梁王不伏诛，是汉法不行也；如其伏法，而 太后食不甘味，卧不安席，此忧在陛下也。”	Đáp: “Nay Lương vương không bị giết, luật nhà Hán không thi hành được; nếu xử theo quốc pháp, sẽ khiến Thái hậu ăn không ngon, ngủ không yên, đó là điều bệ hạ lo lắng.”
景帝大贤之，以为鲁 相。	Cảnh đế coi là người hiền năng, cho làm Thừa tướng nước Lỗ.
鲁相初到，民自言相，讼王取其财物百馀人。	Thừa tướng mới đến Lỗ, dân tự nói với Thừa tướng, hơn trăm người tố cáo Lỗ Vương chiếm của cải.
田叔取其渠率二十 人，各笞五十，馀各搏二十，怒之曰：“王非若主邪？ 何自敢言若主！”	Điền Thúc bắt giữ hai mươi người trong số họ, một số người bị đánh năm mươi gậy, còn lại đều bị đánh hai mươi gậy, giận nói: “Lỗ vương không phải chúa của các ngươi ư? Sao dám tự ý tố cáo chúa mình?”
鲁王闻之大惭，发中府钱， 使相偿之。	Lỗ vương nghe vậy rất thẹn, phát tiền trong phủ, sai Thừa tướng đem bồi thường.
相曰：“王自夺之，使相偿之，是王为恶而相为善也。相 毋与偿之。”	Thừa tướng nói: “Đại vương tự chiếm đoạt, lại sai Thừa tướng đem trả, ấy là đại vương làm ác mà Thừa tướng làm thiện đấy.”
於是王乃尽偿之。	Thế rồi Lỗ vương bèn bồi thường hết bọn họ.
