汲黯字长孺，濮阳人也。	Cấp Ảm Cấp Ảm tự Trường Nhụ, người ở Bộc Dương.
其先有宠於古之卫君。	Tổ tiên ông từng được Vệ quân sủng ái.
至黯七世，世为卿大夫。	Đến Ảm là bảy đời, đời đời làm khanh đại phu.
黯以父任，孝景时 为太子洗马，以庄见惮。	Ảm nhờ cha tiến cử nên được nhậm chức, thời Hiếu Cảnh đế làm thái tử tẩy mã, do trang nghiêm nên người sợ.
孝景帝崩，太子即位，黯为谒者。	Hiếu Cảnh đế băng hà, thái tử lên ngôi, Ảm làm Yết giả.
东越 相攻，上使黯往视之。	Đông Việt đánh nhau, hoàng thượng sai Ảm đến xem xét.
不至，至吴而还，报曰：“越人相攻，固其俗 然，不足以辱天子之使。”	Không đến, tới Ngô rồi về, báo rằng: “Người Việt đánh nhau, vốn tập tục họ như thế, không đủ để nhục nhằn đến sứ giả của thiên tử.”
河内失火，延烧千馀家，上使黯往视之。	Hà Nội bị hỏa tai, cháy lan hơn nghìn nhà, hoàng thượng sai Ảm đến xem xét tình hình.
还报曰：“家人失火，屋比延烧，不足忧也。臣过河南， 河南贫人伤水旱万馀家，或父子相食，臣谨以便宜，持节发河南仓粟 以振贫民。臣请归节，伏矫制之罪。”	Về báo rằng: “Nhà dân hỏa hoạn, cháy lan các nhà lân cận, không đáng lo, Thần qua Hà Nam, người nghèo ở Hà Nam bị hạn hán làm khốn khó đến trên vạn nhà, có nhà cha con ăn thịt nhau, thần cẩn trọng xử lý linh hoạt, mang phí tiết mở kho thóc Hà Nam để chẩn phát cho dân nghèo. Thần xin trả lại phù tiết, chịu tội giả truyền chiếu chỉ.”
上贤而释之，迁为荥阳令。	Hoàng thượng cho là hiền năng nên tha tội, điều đi làm Huyện lệnh Huỳnh Dương.
黯 耻为令，病归田里。	Ảm thấy nhục vì làm Huyện lệnh, thác bệnh về quê.
以数切谏，不得久留 内，迁为东海太守。	Vì nhiều lần ra sức can gián, không được ở lâu trong triều, điều chuyển làm Thái thú Đông Hải.
黯学黄老之言，治官理民，好清静，择丞史而任 之。	Ảm học theo đạo Hoàng- Lão, làm việc quan, xử lý việc dân, thích thanh tĩnh, bèn chọn quan Thừa sử rồi ủy thác việc cho.
