大宛之迹， 见自张骞。	Sự tích nước Đại Uyển, thấy từ Trương Khiên.
张骞，汉 中人。	Trương Khiên, người ở Hán Trung.
建元中为郎。	Trong niên hiệu Kiến Nguyên, làm quan Lang.
是时 天子问匈奴降者，皆言匈奴破月氏王， 以其头为饮器， 月氏遁逃而常怨仇匈奴，无 与共击之。	Bấy giờ thiên tử hỏi việc người Hung Nô xin hàng, mọi người đều nói Hung Nô phá được Nguyệt Chi vương, lấy đầu làm đồ đựng rượu, người Nguyệt Chi chạy trốn rồi thường oán hận Hung Nô, nhưng không có ai để cùng đánh Hung Nô.
汉方欲事灭胡，闻此言，因欲通使。	Nhà Hán đang muốn tính chuyện diệt Hồ, nghe nói vậy, định sai sứ đến thông hiếu.
骞以郎应募，使月氏，与堂邑氏胡奴 甘父 俱出陇西。	Khiên làm quan Lang ứng mộ, đi sứ Nguyệt Chi, cùng nô bộc người Đường Ấp Thị của Hung Nô là Cam Phủ ra Lũng Tây.
经匈奴，匈 奴得之，传诣单于。	Qua Hung Nô, bị Hung Nô bắt được, đưa đến chỗ Thiền vu.
单于留之，曰：“月氏在吾北，汉何以得往使？ 吾欲使越，汉肯听我乎？”	Thiền vu giữ lại, hỏi: “Nguyệt Chi ở phía bắc nước ta, nhà Hán sao có thể sai sứ đến đó được? Ta muốn phái sứ giả sang Việt, nhà Hán có chịu cho ta làm thế không?”
留骞十馀岁，与妻，有子，然骞持汉节不 失。	Rồi giữ Khiên lại hơn mười năm, cho vợ, có con, nhưng phiên giữ phù tiết nhà Hán không để mất.
居匈奴中，益宽，骞因与其属亡乡月氏，西走数十日至大宛。	Ở Hung Nô, ngày càng được lơi lỏng, khiến nhân đó cùng tùy tòng trốn sang Nguyệt Chi. Chạy theo hướng tây mấy chục ngày, đến Đại Uyển.
大 宛闻汉之饶财，欲通不得，见骞，喜，问曰：“若欲何之？”	Đại Uyển nghe nói nhà Hán nhiều của, muốn thông sứ mà không được, gặp mặt Khiên, mừng, hỏi rằng: “Ông muốn đi đâu?”
骞 曰：“为汉使月氏，而为匈奴所闭道。今亡，唯王使人导送我。诚得 至，反汉，汉之赂遗王财物不可胜言。”	Khiên đáp: “Là sứ nhà Hán sang Nguyệt Chi, nhưng bị Hung Nô chặn đường giữ lại, nay bỏ trốn, mong đại vương sai người dẫn đường đưa tôi đi. Nếu đến được, trở về Hán, nhà Hán sẽ tặng của cải cho đại vương, nhiều không kể xiết.”
大宛以为然，遣骞， 为发导绎，抵康居， 康居传致大月氏。	Đại Uyển cho là phải, để Khiên đi, sai người dẫn đường, phiên dịch, đưa đến Khang Cừ. Khang Cừ cho xe đưa đến Đại Nguyệt Chi.
大月氏王已为胡所杀，立其太子为王。	Vua Đại Nguyệt Chi đã bị người Hồ giết, lập Thái tử làm vua.
既臣大夏而居， 地肥饶，少寇，志安 乐，又自以远汉，殊无报胡之心。	Đã thần phục được Đại Hạ rồi ở đó, đất đai màu mỡ, ít có giặc cướp, để chí vào sự an lạc, lại cho mình ở cách xa nhà Hán, không mảy may có lòng báo phục Hồ.
骞从月氏至大夏，竟不能得月氏要 领。	Khiên từ Nguyệt Chi đến Đại Hạ, rốt cuộc không được Nguyệt Chi chấp thuận.
留岁馀，还，并南山， 欲从羌中归， 复为匈奴所得。	Lưu lại hơn một năm, trở về. Men Nam Sơn, muốn từ đất người phương để về, lại bị Hung Nô bắt được.
留岁馀，单于死， 左谷蠡王攻其太子自立，国内乱，骞与胡妻及堂邑父俱亡归 汉。	Giữ lại hơn một năm, Thiền vu chết, Tả lộc lãi vương tấn công Thái tử, tự lập làm Thiền vu, trong nước loạn, Khiên cùng vợ người Hồ và Đường Ấp Phủ đều trốn được về Hán.
汉拜骞为太中大夫，堂邑父为奉使君。	Nhà Hán phong Khiên làm Thái trung đại phu, Đường Ấp Phủ làm Phụng sứ quân.
骞为人彊力，宽大信人，蛮夷爱之。	Khiên là người kiên cường, nghị lực, rộng rãi, tin người, man di rất yêu quý ông.
初，骞行时百馀人，去十三岁，唯二人得还。	Ban đầu, lúc Khiên lên đường có hơn trăm người, đi được mười ba năm, chỉ còn hai người trở về.
骞身所至者大宛、大月氏、大夏、康居，而传闻其旁大国五六， 具为天子言之。 曰： 大宛在匈奴西南，在汉正西，去汉可万里。 其俗土著，耕田，田 稻麦。 有蒲陶酒。	Khiên từng đích thân đến Đại Uyển, Đại Nguyệt Chi, Đại Hạ, Khang Cừ, còn nghe nói bên cạnh có năm sáu nước lớn, đều nói lại đầy đủ với thiên tử.
盐泽去长 安可五千里。 匈奴右方居盐泽以东，至陇西长城，南接羌，鬲汉道 焉。 乌孙在大宛东北可二千里，行国，随 畜，与匈奴同俗。 控弦者数万，敢战。	Khiên nói: “Lúc thần ở Đại Hạ, thấy gậy trúc của đất Cung, vải vóc của đất Thục, bèn hỏi: 'Sao có những thứ này?' người nước Đại Hạ đáp: 'Thương nhân nước tôi mua ở Quyên Độc. Quyên Độc ở phía đông nam Đại Hạ chừng mấy nghìn dặm. Phong tục định cư, phần lớn giống Đại Hạ, nhưng trũng ẩm nóng nực. Dân nơi đó cưỡi voi để đánh trận. Nước đó gần bên sông lớn.' Theo phỏng đoán của Khiên, Đại Hạ cách nhà Hán chừng một vạn hai nghìn dặm, ở phía tây nam sông Hán. Nay nước Quyên Độc lại ở phía đông nam Đại Hạ chừng mấy nghìn dặm, có sản vật của đất Thục, thế thì họ cách đất Thục không xa. Nay đi sứ sang Đại Hạ, từ đất Khương, hiểm trở, người Khương không thích việc đó; hơi chếch lên phía bắc, thì bị Hung Nô bắt; từ đất Thục đi theo đường thẳng, lại không bị giặc cướp.”
康居在大宛西北可二千里，行国，与月氏大同俗。 控弦者八九万 人。 与大宛邻国。 国小，南羁事月氏，东羁事匈奴。	Sau khi thiên tử nghe nói về Đại Uyển cùng các nước như Đại Hạ, An Tức, đều là nước lớn, nhiều sản vật lạ, sống định cư, rất giống nghề nghiệp ở Trung nguyên, mà quân binh lại yếu, ham thích của cải nhà Hán; phía bắc có Đại Nguyệt Chi, Khang Cừ, quân mạnh, có thể tặng họ của cải, nguồn lợi để họ vào chầu.
其都曰蓝市城，有 市贩贾诸物。 其东南有身毒国。 骞曰：“臣在大夏时，见邛竹杖、蜀布。 问曰：‘安得 此？’大夏国人曰：‘吾贾人往市之身毒。身毒在大夏东南可数千 里。其俗土著，大与大夏同，而卑湿暑热云。其人民乘象以战。其国 临大水焉。’以骞度之，大夏去汉万二千里，居汉 西南。今身毒国又居大夏东南数千里，有蜀物，此其去蜀不远矣。今 使大夏，从羌中，险，羌人恶之；少北，则为匈奴所得；从蜀宜径， 又无寇。” 天子既闻大宛及大 夏、安息之属皆大国，多奇物，土著，颇与中国同业，而兵弱，贵汉 财物；其北有大月氏、康居之属，兵彊，可以赂遗设利朝也。	Nhưng nghe nói phía tây Côn Minh chừng hơn nghìn dặm có nước cưỡi voi, tên là Điền Việt, thương nhân đất Thục lén đem hàng hóa ra ngoài có người đến đất này, thế là nhà Hán tìm đường Đại Hạ để thông số đến nước Điền.
然闻其西可 千馀里有乘象国，名曰滇越， 而蜀贾 奸出物者或至焉，於是汉以求大夏道始通滇国。 初，汉欲通西南夷， 费多，道不通，罢之。 及张骞言可以通大夏，乃复事西南夷。	Đến khi Trương Khiên nói có thể thông đến Đại Hạ, liền đề cập lại việc mở đường đến tây nam di.
骞以校尉从大将军击匈奴，知水草处，军得以不乏，乃封骞为博 望侯。	Khiên lấy thân phận Hiệu úy theo đại tướng quân đi đánh Hung Nô, biết chỗ có nước và cỏ, quân binh nhờ đó không bị thiếu thốn, bèn phong phiên làm Bác Vọng hầu.
是岁元朔六年也。	Đó là năm Nguyên Sóc thứ sáu.
其明 年，骞为卫尉，与李将军俱出右北平击匈奴。	Năm sau, Khiên làm Vệ úy, cùng tướng quân Lý Quảng ra Hữu Bắc Bình đánh Hung Nô.
是岁汉遣骠骑破匈奴西数万人，至祁 连山。	Năm này, nhà Hán sai Phiêu kỵ tướng quân đánh phá được mấy vạn Tây Vực của Hung Nô, tiến quân đến núi Kỳ Liên.
其後二年，汉击走单于於幕北。	Hai năm sau, nhà Hán đánh Thiền vu chạy về phía bắc sa mạc.
