韩子曰：“儒以文乱法， 而侠以武犯禁。”	Hàn Phi tử nói: “Nho gia dùng văn làm loạn pháp lệnh, còn kẻ du hiệp dựa vào võ phạm vào cấm lệnh.”
二者皆讥， 而学士 多称於世云。	Cả hai đều bị chê bai, nhưng học sĩ phần nhiều được người đời khen ngợi.
至如以术取宰相卿大夫，辅翼其世主，功名俱著於春 秋， 固无可言者。	Đến như dùng thuật để được làm Tể tướng, khanh đại phu, phụ giúp cho chúa, công danh rạng rỡ trong sử sách, vốn không có gì để nói nữa.
及若季次、原宪，闾巷人也， 读书怀独行 君子之德，义不苟合当世，当世亦笑之。	Còn như Quý Thứ, Nguyên Hiến, người nơi xóm ngõ, đọc sách, riêng mang hoài bão thi hành đức của quân tử, vì nghĩa không chịu a dua đương thời, người đương thời cũng cười họ.
故季次、 原宪终身空室蓬户， 褐衣疏食不厌。	Cho nên Quý Thứ, Nguyên Hiến trọn đời sống trong nhà trống, cổng làm bằng cỏ bồng, mặc áo vải thô, ăn rau không biết chán.
死而已四百馀年，而弟子志之不倦。	Chết rồi mà hơn bốn trăm năm sau học trò còn nhung nhớ khôn nguôi.
今游侠，其行虽不轨 於正义，然其言必信，其行必果，已诺必诚，不爱其躯，赴士之(cid:0)戹 困，既已存亡死生矣，而不矜其能，羞伐其德，盖亦有 足多者焉。	Nay đám du hiệp, đức hạnh tuy không hợp với chính nghĩa, nhưng lời nói ra ắt thủ tín, đã làm ắt đạt kết quả, đã hứa ắt thành tâm làm, không tiếc thân mình, cứu người trong nguy khốn, đã khiến kẻ mất lại còn, kẻ chết được sống, mà không cốt khoe tài năng, lấy việc kể ân đức làm thẹn, đại để cũng đủ khiến người ta khen ngợi.
太史公曰：昔者虞舜窘於井廪，伊尹负 於鼎俎，傅说匿於傅险，吕尚困於棘津， 夷吾 桎梏，百里饭牛，仲尼畏匡，菜色陈、蔡。	Thái sử công bàn rằng: Xưa kia, Ngu Thuấn cùng quẫn ở giếng ở kho, Y Doãn vác vạc vác thớt, Phó Duyệt náu mình ở Phó Hiểm, Lã Thượng nguy khốn ở Cức Tân, Di Ngô phải mang gông, Bách Lý Hề chăn trâu, Trọng Ni sợ hãi ở đất Khuông, bị đói đất Trần đất Sái.
此皆学士所谓有道仁人 也，犹然遭此菑，况以中材而涉乱世之末流乎？ 其遇害何可胜道哉！	Đó đều là những người được đám học sĩ cho là có đạo có nhân, mà vẫn gặp những nguy nan như thế, huống chi tài năng bậc trung mà sống vào cuối đời loạn, gặp nguy nan nói sao cho xiết!
鄙人有言曰：“何知仁义，已飨其利 者为有德。”	Người nơi thôn dã có câu rằng: “Đâu hay nhân nghĩa, chỉ cần được lợi thì là có đức.”
故伯夷丑周，饿死首 阳山，而文武不以其故贬王；跖、蹻暴戾，其徒诵义无穷。	Cho nên Bá Di hổ thẹn về nhà Chu, chết đói trên núi Thú Dương, nhưng Văn vương, Vũ vương không vì thế mà mất thanh danh của bậc vương giả; Đạo Chích, Trang Cược hung bạo, tàn nhẫn, nhưng đồ đảng vẫn ca tụng nghĩa khí không thôi.
由此观 之，“窃钩者诛，窃国者侯，侯之门仁 义存”， 非虚言也。	Từ đó mà xét, “Trộm cái móc dây lưng thì bị giết, trộm cả một nước lại được phong hầu, cổng nhà công hầu ở đâu nhân nghĩa ở đấy.” Đó chẳng phải lời nói suông vậy.
今拘学或抱咫尺之义，久孤於世， 岂若卑论侪 俗，与世沈浮而取荣名哉！	Nay, hoặc câu nệ vì sở học, hoặc câu nệ vì nghĩa lý ngắn độ tấc gang, sẽ mãi cô độc ở đời, há bằng hạ thấp ngôn luận xuống ngang hàng thế tục, chìm nổi với đời để được vinh hoa, danh tiếng!
