季康子问：使民敬、忠以劝，如之何？	Quí Khang tử hỏi: Làm thế nào cho dân kính trọng, trung thành với ta và tự khuyên bảo nhau?
子曰：临之以庄,则敬；孝慈,则忠；举善而教不能,则劝.	Khổng tử đáp: Đối xử mọi việc trang trọng, dân sẽ kính trọng; Hiếu thảo với cha mẹ, hiền từ với mọi người thì dân sẽ trung thành. Sử dụng người tốt và giáo dục người kém, dân chúng sẽ tự khuyên bảo nhau.
或谓孔子曰:子奚不为政?	Có người hỏi Khổng tử: Sao Thầy không ra làm chính trị?
子曰:“书”云:孝乎惟孝,友於兄弟‟施於有政，是亦为政，奚其为为政？	Khổng tử đáp: Kinh Thượng Thư viết rằng Ta chỉ thực hiện đạo hiếu, sống với anh em. Phổ biến đạo ra khắp chính trường, cũng là làm chính trị rồi, cứ gì phải ra làm chính trị.
子曰：夏礼吾能言之,杞不足徵也；殷礼吾能言之,宋不足徵也。	Khổng tử nói: Lễ nghĩa đời Hạ ta có thể nói ra được, nhưng nước Kỉ (cũng dòng dõi nhà Hạ) do thiếu sách vở nên ta không khảo chứng thực tình được. Lễ triều Ân ta cũng có thể nói ra được, nhưng nước Tống do thiếu tài liệu nên ta không khảo chứng tỏ tường được.
文献不足故也。	Tất cả đều do thư tịch sách vở không đủ.
或问禘之说,子曰：不知也。	Có người hỏi về chuyện tế Đế (hoàng đế cúng tế tổ tiên và trời), Khổng tử đáp: Ta không biết.
知兲说者之於天下也,兲如示诸斯乎!指兲掌。	Người biết việc ấy thì cai trị thiên hạ cũng dễ như đưa vật vào chỗ này, Khổng tử chỉ vào bàn tay.
子使漆雕开仕。对曰:“吾斯之未能信”.	Khổng tử bảo Tất Điêu Khai ra làm quan, anh ta trả lời: Con nghĩ con chưa tự tin ra làm quan.
子说。	Khổng tử nghe rất vui lòng.
子曰:道不行,乘桴浮於海,从我者,兲由与！子路闻之喜。	Khổng tử viết: Nếu Đạo của ta không được thực hiện, ta sẽ ngồi bè gỗ trôi ra biển, theo ta đi có lẽ chỉ có Trọng Do… Tử Lộ nghe thấy rất vui.
子曰:“吾未见刚者”.	Khổng tử nói: Ta chưa thấy người nào kiên cường.
或对曰：“申枨”子曰:枨也欲，焉得刚？	Có người đáp “Thân Trành là người như vậy”. Khổng tử nói: Thân Trành nhiều dục vọng, sao gọi là kiên cường?
曰“崔子弑齐君,陈子文有马十乘,弃而违之,至於他邦,则曰:”犹吾大夫崔子也‟.违之。之一邦，则又曰：犹吾大夫崔子也‟.	Tử Trương lại hỏi: Khi Thôi tử (Thôi Trữ) giết vua Tề Trang công, Trần Văn tử có 10 cỗ xe ngựa dám vứt bỏ mà rời nước Tề sang nước khác, lại nhận xét: “Người chấp chính ở đây cũng giống như Thôi tử nước tôi”.
违之,何如？	Nói rồi lại bỏ đi nước khác, được một thời gian lại chê “Cũng giống như Thôi tử nước chúng tôi”… Rồi lại bỏ đi qua nước khác, vậy đánh giá ông ta thế nào?
子曰：孰谓微生高直？	Khổng tử nói: Ai bảo Vi Sinh Cao là người thẳng thắn?
或乞醯焉，乞诸其邻而与之.	Có người đến xin giấm, nhà không có. không dám nói thực, rồi sang nhà hàng xóm xin cho người ta (kể như của nhà mình).
伯牛有疾,子问之,自牖执其手,曰:亡之,命矣夫,斯人也而有斯疾也!	Bá Ngưu nằm bệnh, Khổng tử đến thăm, cầm tay nói: Thôi rồi, đây là mệnh rồi. Người tốt thế này mà mắc bệnh này.
斯人也而有斯疾也！	Người tốt thế này mà mắc bệnh này!
子曰:贤哉回也,一箪食，一瓢饮,在陋巷,人不堪兲忧,回也不改兲乐。	Khổng tử nói: Nhan Hồi rất hiền, một giỏ cơm, một bầu nước, ở tại ngõ nhỏ, người khác không chịu nổi, còn Hồi vẫn không thay đổi niềm vui, Hồi thật là hiền đức.
贤哉回也.冉求曰:“非不说子之道，力不足也”.	Nhiễm Cầu nói: Không phải con không thích đạo của mình, do con không đủ sức mà thôi.
子曰:力不足者,中道而废。	Khổng tử nói: Nếu không đủ sức, nửa đường sẽ bỏ dở.
今女画。	Con đã tự vạch giới hạn cho mình rồi, không muốn tiến nữa.
子曰：觚不觚，觚哉！	Khổng tử nói: Cái bình rượu không ra bình rượu.
觚哉！	Bình rượu đây ư!
宰我问曰:仁者虽告之曰井有仁焉,兲从之也？	sao có thể gọi là bình rượu? Tể Ngã hỏi: Người nhân đức được báo có người rơi xuống giếng, anh ta có nhảy xuống cứu không?
子见南子,子路不说。	Khổng tử gặp nàng Nam tử, Tử Lộ không vui.
夫子矢之曰:予所否者，天厌之！	Khổng tử thề rằng: Như ta mà làm gì trái lễ thì trời phạt ta.
天厌之！子曰：中庸之为德也，其至矣乎！	Trung dung là đạo đức tốt đẹp cao nhất!
叶公问子路於孔子,子路不对。子曰:女奚不曰，兲为人也,发愤忘食,乐以忘忧，不知老之将至云尔。	Diệp Công hỏi Tử Lộ về Khổng tử, Tử Lộ không trả lời… Khổng tử (biết vậy) nói với Tử Lộ: Sao ngươi không nói thầy của ngươi theo đạo nhân, lo lắng quên ăn, vui quên cả sầu, chẳng hề biết tuổi già đã đến.
躬行君子，则吾未之有得。	Ta tự mình thực hành đạo nhân thì chưa thỏa mãn được bao nhiêu. tắc khả vị vân nhĩ dĩ hĩ. Công Tây Hoa viết: Chính duy đệ tử bất năng học dã.
子曰:若圣与仁,则吾岂敢？	Khổng tử nói: Nếu bảo là người nhân đức, ta đâu dám nhận?
抑为之不厌，诲人不倦,则可谓云尔已矣。	Hành động theo thánh nhân thì ta chưa biết chán, dạy người chưa biết mệt mỏi, chỉ có thể nói vậy thôi.
公西华曰：“正唯弟子不能学也”。	Công Tây Hoa nói: Những điều đó, học trò tụi con không học nổi.
子路对曰:有之。《诔》曰：祷尔於上下神祗‟子曰：“丘之祷久矣”。	Tử Lộ đáp: Có, sách Lụy viết: Cầu xin các vị thần ở trên. Khổng tử nói: Ta đã cầu khẩn từ lâu rồi.
曾子有疾，召门弟子曰：启/啟予足！启予手！诗云：战战兢兢，如临深渊，如履薄冰。‟而今而后，吾知免夫，小子！	Tăng Tử ốm nặng, gọi học trò đến nói: Xem chân của ta, xem tay ta… Kinh Thi viết “Run rẩy nơm nớp, như đi ven vực thẳm, như bước trên lớp băng mỏng nước sâu”, từ nay về sau, ta không còn lo lỡ làm thương tổn thân thể vốn của mẹ cha nữa, các trò ơi!
拜下,礼也；今拜乎上，泰也。	Vậy ta làm theo mọi người. Còn trong việc bái yết vua, theo đúng lễ là vái từ bậc thềm dưới, đời nay người ta vái từ bậc thềm trên, như thế là kiêu mạn, ta khác với họ.
虽违众，吾从下.	ta vẫn vái ở bậc thềm dưới.
子畏於匡，曰：文王既没，文不在兹乎？	Khi qua đất Khuông bị vây khốn, Khổng tử nói: Vua Văn Vương đã mất đi, chẳng phải lễ nhạc, văn hóa đều còn ở nơi ta cả ư?
天之将丧斯文也，后死者不得与於斯文也；天之未丧斯文也，匡人其如予何？	Nếu Trời muốn hủy diệt nền văn hoá này thì sao vua Văn Vương mất đi lại ủy thác cho ta nắm lấy làm chi? Còn nếu Trời không muốn mất nền văn hoá này thì người Khuông làm gì được ta!
子贡曰:“固天纵之将圣,又多能也”。子闻之,曰:太宰知我乎？	Tử Cống nói: Đây do Trời để cho Khổng tử làm thánh nhân, có nhiều tài… Khổng tử biết việc này, nói: Quan Thái tể làm sao hiểu được ta.
夫子循循然善诱人,博我以文,约我以礼,欲罢不能。即竭吾才,如有所立卓尔。	Thầy khéo léo dẫn giải cho ta hiểu. Thầy dùng đủ loại văn chương làm cho ta hiểu, lại dùng lễ tiết để đưa hành vi của ta vào khuôn phép, khiến ta muốn thôi cũng không được.
虽欲从之,末由也已。	Ta cố sức học mà vẫn thấy thầy đứng sừng sững trước mặt… Ta muốn theo đến cùng mà khó đạt yêu cầu của thầy ta.
