子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
有朋自遠方來，不亦樂乎?	Có bạn bè từ phương xa đến, lại chẳng vui thích sao?
人不知而不慍，不亦君子乎?	Người ta không biết đến mình, mà mình không giận hờn, chẳng phải là bậc quân tử đó sao?”.
有子曰：其為人也孝弟，而好犯上者，鮮矣，不好犯上，而好作亂者，未之有也。	Thầy Hữu tử nói: “Làm người có nết hiếu đễ mà lại ưa thích xúc phạm đến bậc trên, ít có vậy. Không ưa thích xúc phạm đến bậc trên mà lại thích làm loạn, điều đó chưa hề có.
君子務本，本立而道生，孝弟也者，其為仁之本與?	Người quân tử chuyên chú vào gốc; gốc lập thì đạo sinh. Nết hiếu đễ phải chăng là gốc của đức nhân?”.
子曰：巧言令色，鮮矣仁。	Đức Khổng tử nói: “Nói năng dối trá, [trau chuốt] nhan sắc, [người như thế] ít có đức nhân vậy.”.
曾子曰：吾日三省吾身，為人謀而不忠乎?	Thầy Tăng Tử nói: “Tôi, mỗi ngày tự xét mình ba điều: mưu việc cho người có hết lòng chăng?
與朋友交而不信乎?	Cùng bạn bè giao thiệp, có giữ niềm tin chăng?
傳不習乎?	Được truyền dạy, có ôn tập chăng?”.
子曰：道千乘之國，敬事而信，節用而愛人，使民以時。	Đức Khổng tử nói: “Cai trị nước một ngàn cỗ xe, phải thận trọng trong công việc mà giữ niềm tin, tiêu dùng tiết kiệm mà yêu thương mọi người, sai khiến dân chúng phải tùy thời.”.
子曰：弟子入則孝，出則弟，謹而信，汎愛眾而親仁。	Đức Khổng tử nói: “[Là phận] con em, vào thì hiếu thảo [với cha mẹ], ra thì thuận thảo [với bậc trưởng thượng], cẩn thận mà giữ niềm tin, rộng yêu mọi người mà gần gũi người nhân đức.
行有餘力，則以學文。	Thi hành những điều đó còn thừa sức, thì hãy học văn.”.
子夏曰：賢賢易色，事父母能竭其力，事君能致其身，與朋友交，言而有信，雖曰未學，吾必謂之學矣。	Thầy Tử Hạ nói: “Bắt chước người hiền đổi lòng hiếu sắc, hết sức thờ cha mẹ, liều thân thờ vua, cùng với bạn bè giao thiệp thì nói năng thật thà, tuy nói là chưa học, tôi ắt cho rằng đã học rồi.”.
子曰：君子不重則不威，學則不固。主忠信，無友不如己者，過則勿憚改。	Đức Khổng tử nói:“Người quân tử không trang trọng thì không có uy, sự học sẽ không vững vàng; nhắm vào sự trung tín, không kết bạn với kẻ chẳng giống như mình; có lỗi lầm thì đừng ngại sửa đổi.”.
曾子曰：慎終，追遠，民德歸厚矣。	Thầy Tăng Tử nói:“Cẩn thận trong việc cuối, nhắc nhớ đến người xa, đạo đức của dân trở nên dày dặn vậy.”.
子禽問於子貢曰：夫子至於是邦也，必聞其政。	Thầy Tử Cầm hỏi thầy Tử Cống: “Thầy ta đến nước nào, ắt nghe việc chính trị nước ấy.
求之與?	Thầy cầu nghe đó sao?
抑與之與?	Hay thầy được cho nghe đó sao?”.
