第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
却说陈宫临欲下手杀曹操，忽转念曰：“我为国家跟他到此，杀之不义。	Trần Cung muốn giết Tào Tháo, nhưng lại nghĩ rằng: "Mình theo hắn cũng là vì nước, bây giờ giết hắn e mang tiếng bất nghĩa.
不若弃而他往。”	Chi bằng bỏ hắn đi nơi khác là hơn".
插剑上马，不等天明，自投东郡去了。	Nghĩ rồi lại cài gươm, lên ngựa, không đợi trời sáng, đi thẳng về Đông Quân.
操觉，不见陈宫，寻思：“此人见我说了这两句，疑我不仁，弃我而去；吾当急行，不可久留。”	Tháo dậy, không thấy Trần Cung, nghĩ bụng: - Người này thấy ta nói mấy câu, tưởng ta là đứa bất nhân, nên bỏ ta mà đi. Ta nên đi ngay, không thể ở đây lâu.
遂连夜到陈留，寻见父亲，备说前事；欲散家资，招募义兵。	Suốt đêm hôm ấy Tháo đi đến Trần Lưu, tìm thấy bố, thuật lại sự tình với bố, muốn đem gia tài bán đi để mộ nghĩa binh.
父言：“资少恐不成事。	Tào Tung nói: - Gia tư nhà ta không có mấy tí, cha e không đủ để kham nổi việc lớn.
此间有孝廉卫弘，疏财仗义，其家巨富；若得相助，事可图矣。”	Ở đây có ông Vệ Hoằng, đỗ khoa hiếu liêm, là người khinh tài trọng nghĩa, nhà giàu, nếu được ông ấy giúp, thì việc lớn có thể mưu đồ được.
操置酒张筵，拜请卫弘到家，告曰：“今汉室无主，董卓专权，欺君害民，天下切齿。	Tháo bèn đặt một tiệc rượu, mời Vệ Hoằng đến nhà nói với Hoằng rằng: - Nay nhà Hán vô chủ. Đổng Trác lộng quyền, dối vua hại dân, thiên hạ ai ai cũng nghiến răng tức giận.
操欲力扶社稷，恨力不足。	Tôi muốn hết lòng giúp nước, hiềm vì sức không đủ.
公乃忠义之士，敢求相助！”	Ngài là người trung nghĩa, rất mong ngài giúp đỡ cho.
卫弘曰：“吾有是心久矣，恨未遇英雄耳。	Vệ Hoằng nói: - Tôi có lòng ấy đã lâu, giận rằng chưa gặp ai là người anh hùng.
既孟德有大志，愿将家资相助。”	Nay Mạnh đã có chí lớn, tôi xin đem hết của cải ra giúp.
操大喜；于是先发矫诏，驰报各道，然后招集义兵，竖起招兵白旗一面，上书“忠义”二字。	Tào Tháo mừng lắm, làm ngay tờ kêu gọi phát đi các đạo, rồi dựng một lá cờ trắng, đề hai chữ: "Trung nghĩa" để chiêu tập binh mã.
不数日间，应募之士，如雨骈集。	Không được mấy ngày, thiên hạ kéo đến ứng mộ đông như nước chảy.
一日，有一个阳平卫国人，姓乐，名进，字文谦，来投曹操。又有一个山阳巨鹿人，姓李，名典，字曼成，也来投曹操。	Một bữa có người ở Dương Bình, nước Vệ, tên là Nhạc Tiến, tự là Văn Khiêm; lại có người ở Cư Lộc huyện Sơn Dương, là Lý Điển, tự là Man Thành, cùng đến xin theo.
操皆留为帐前吏。	Tháo đều cho làm chân tay dưới trướng.
又有沛国谯人夏侯惇，字元让，乃夏侯婴之后；自小习枪棒；年十四从师学武，有人辱骂其师，惇杀之，逃于外方；闻知曹操起兵，与其族弟夏侯渊两个，各引壮士千人来会。	Lại có người nữa, người ở nước Thùy nước Bái, tên là Hạ Hầu Đông tự là Nguyên Nhượng, nguyên là dòng dõi Hạ Hầu Anh ngày xưa; từ khi còn nhỏ đã tập đánh gậy; đến năm mười bốn tuổi đã theo thầy học võ. Có người chửi thầy. Đôn giết người ấy rồi trốn sang nơi khác ở. Bây giờ nghe thấy Tào Tháo khởi binh, Đôn cùng với một người em họ, tên là Hạ Hầu Uyên, đem một nghìn tráng sĩ lại họp với quân Tháo.
