奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
太保文明殿大學士領兵部尙書 充機密院大臣 管臣理欽天監 兼領國子監兼管漕政印篆綏盛子	Thái bảo (Văn minh điện đại học sĩ, lĩnh Binh Bộ thượng thư, sung Cơ mật viện đại thần, quản lý Khâm thiên giám, kiêm lĩnh Quốc tử giám, kiêm quản Tàu chính ấn triện, tước Tuy Thịnh tử).
武春謹副總裁署協辨大學士領戶部尙書	Thần Vũ Xuân Cẩn. Phó tổng tài Thư hiệp biện đại học sĩ, lĩnh Hộ bộ thượng thư.
太子大保束閣大學士領吏部尙書 兼管臣刑部印篆 兼領國子監事務	Thái tử thái bảo (Đông các đại học sĩ, lĩnh Lại bộ thượng thư, kiêm quản Hình bộ ấn triện, kiêm lĩnh Quốc tử giám sự vụ). 
臣何維藩	Thần Hà Duy Phiên.
禮部尚書充機密院大臣兼管翰林院 臣阮忠懋原署刑部尙書今補授定安總督臣潘伯達纂修翰林院直學士臣杜光太僕寺卿	Lễ bộ thượng thư sung Cơ mật viện đại thần, kiêm quản Hàn lâm viện. Thần Nguyễn Trung. Mậu Nguyên thự Hình bộ thượng thư, nay bổ thụ Định Yên tổng đốc, Thần Phan Bá Đạt Toản tu Hàn Lâm viện trực học sĩ. Thần Đỗ Quang. Thái bộc tự khanh.
臣阮祥永編修翰林院侍讀學士范芝香翰林院侍講學士臣阮做	Thần Nguyễn Tường Vĩnh. Tên chức, tên các quan. Biên tu Hàn lâm viện thị độc học sĩ. Thần Phạm Chi Hương. Hàn lâm viện thị giảng học sĩ. Thần Nguyễn Thu.
臣范鄰	Thần Phạm Lân.
翰林院檢討臣宋文萬 謄錄翰林院檢討臣黎文輝翰林院檢討臣阮公瑞 翰林院典簿臣阮輝璜	Hàn lâm viện kiểm thảo. Thần Tống Văn Vạn. Đằng lục Hàn lâm viện kiểm thảo. Thần Lê Văn Huy. Hàn lâm viện kiểm thảo. Thần Nguyễn Công Thụy. Hàn lâm viện điển bạ. Thần Nguyễn Huy Hoàng.
翰林院典簿	Hàn lâm viện điển bạ.
臣黃文粲翰林院待詔臣裴文隆 翰林院待詔臣阮文瑾 翰林院供奉	Thần Hoàng Văn Xán. Hàn lâm viện đãi chiếu. Thần Bùi Văn Long. Hàn lâm viện đãi chiếu. Thần Nguyễn Văn Cẩn. Hàn lâm viện cung phụng.
臣阮德效翰林院供奉臣劉廷增收掌翰林院典簿臣黎光呤翰林院供奉臣黃德治翰林院供奉	Thần Nguyễn Đức Hiệu. Hàn lâm viện cung phụng. Thần Lưu Đình Tăng. Thu chưởng Hàn lâm viện điển bạ. Thần Lê Quang Linh. Hàn lâm viện cung phụng. Thần Hoàng Đức Trị. Hàn lâm viện cung phụng.
奉充國史館欽修總裁副總裁纂修臣等謹奏	Dụ, Biểu [Biểu] Bọn thần vâng lệnh sung Tổng tài, Phó Tổng tài, Toản tu Quốc sử quán, kính cẩn tâu rằng:
爲欽修列聖寔錄前編 書成 請行刋刻	Kính vâng soạn bộ sách Liệt thánh thực lục tiền biên đã xong, xin đem khắc để cho sáng tỏ việc tốt.
事竊惟國之有史 所以信諸今而傳諸後	Nước phải có sử, cốt để làm tin với đời nay mà truyền lại cho đời sau.
自古帝王之興 代有制作 莫不着於載籍 歷歷可考 寔錄之作蓋兼編年紀傳之法 而正史之所由出也	Từ xưa, đế vương nổi dậy, công việc các đời làm ra đều ghi vào sử sách, rõ ràng có thể khảo được. Làm thực lục là gồm cả phép biên niên [ghi năm] kỷ sự [chép việc], chính sử do đấy mà ra.
洪惟我國家受天眷命	Lớn thay nhà nước ta, vâng chịu mệnh trời.
