武功耆定。	vũ công đại định .
莫諸将股慄各收殘卒遁回京邑。	các tướng mạc run sợ , đều thu nhặt tàn binh trốn về kinh ấp .
民間疾苦士卒疲勞。	dân chúng đau khổ , binh lính mệt nhọc .
使兵部右侍郎阮瑋為督視官。	sai binh bộ hữu thị lang nguyễn vỹ làm quan đốc thị .
書即位者綠始終之義一年不二君綠臣民之心不可曠年無君禮也。	chép việc lên ngôi , theo nghĩa trước sau thì một năm không thể có hai vua được , theo lòng thần dân thì không thể bỏ trống một năm không có vua . đó là lễ vậy .
十日申明抑買禁。	ngày mồng mười , nhắc rõ lệnh cấm mua bán ức hiếp .
今余歷撰諸家兵法為一書。	nay ta chọn binh pháp các nhà , soạn thành một quyển .
命權吏科都給事中汧仁壽東道監察韶惟精徃安󰘊鎮可勒堡按問將帥之逗遛與敗撓者。	sai quyền lại khoa đô cấp sự trung nghiên nhân thọ và đông đạo giám sát thiều duy tinh đến bảo khả lặc , trấn an bang , xét hỏi việc tướng suý chần chừ và bị thua như thế nào .
繼今士人入試時提調監試等官責令撿󰁮監官公同搜撿塲中或有藏詩書事實等跡一切察覔。	kể từ nay , khi học trò vào thi , các quan đề điệu , giám thi , phải sai các viên giám quan khám xét , hiệp đồng kiểm tra trường thi , tìm xét mọi dấu vết , xem có chỗ nào cất dấu thi , thư và các tài liệu khác .
禮科給事中張孚説如明謝󰀋封并謝賜冠復。	lễ khoa cấp sự trung trương phu duyệt sang nhà minh tạ ơn sách phong và tạ ơn ban mũ áo .
自入中至十中為上及六中至七中爲中級四中至五中爲下級賞各有差。	trúng được từ tám đến mười là thượng cấp ; từ bảy sáu đến bảy là trung cấp , từ bốn đến năm là hạ cấp ; đều được thưởng theo thứ bậc khác nhau .
是夜璜以兵數百襲董元獲其寶物船戰而歸。	đêm ấy , hoàng đem mấy trăm quân đánh úp đổng nguyên , lấy được của báu , chở thuyền đem về .
