ID,Image Box,Chinese Ocr,Chinese Txt,vntext,vntran
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_001,"[[1205, 107], [1269, 107], [1269, 634], [1205, 634]]",繪圖紅樓夢卷三,"繪繒鱠檜澮噲徻譮嬒儈, 圖圗圌图鬬圆圙国圇岡, 紅訌红紝缸紆杠紜釭灴, 樓褸嶁摟縷慺僂耬塿嘍, 夢萝夣梦苧瞢箩蒡懜萼, 卷券巷港眷捲者寋棬人, 三二五且王旦年豆日經",,"Bức họa Hồng Lâu Mộng, quyển thứ ba."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_002,"[[1135, 193], [1187, 192], [1195, 1269], [1145, 1271]]",第六十一囘投鼠忌器寶玉瞞贓判寃決獄平兒行權,"第弟笫筇够即八築箬笃, 六八大云穴共三兴空所, 十八三大二一士干下千, 一二八十三九人（1-, 囘回旧向间同日阿口何, 投授毀股段杸殶般没設, 鼠皐䑕凱皇舅鲺量風與, 忌总思息忘局恩导烏足, 器容裕銎噐界浴哭釋瞿, 寶寳賓實蜜簧安赛寞黉, 玉王三主圡压至正下珏, 瞞暪蹣瞒蟎樠滿購慲矓, 贓駭緘鹹騸城驗醎贜職, 判削剀對刿剽剉乳邦郛, 寃冤㝹菟𡨚兔寬嵬寏免, 決决快法块袂诀波热中, 獄嶽狭狱獩猗獓猘峱猅, 平乎评亚正严年华呯来, 兒舁帠皃見兑兌舄皁鼠, 行經打厅名若藏谷得疗, 權㩲歡槿内灌爟@巏壦","Tào Tuyết Cần Hồng Lâu Mộng Hồi thứ sáu mươi mốt Ném chuột sợ vỡ đồ, Bảo Ngọc đành phải nhận lỗi; Xét việc thấy oan uổng, Bình Nhi khéo tòng quyền.","Hồi thứ sáu mươi mốt: Ném chuột sợ vỡ đồ, Bảo Ngọc đành nhận tội; Xét án thấy oan khuất, Bình Nhi khéo léo thi hành quyền."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_003,"[[1076, 1989], [1081, 101], [1125, 103], [1123, 1991]]",話說那柳家的聽了這小么兒一女話笑道好猴兒意子你親嬸子找野老兒去了你不多得一個叔叔嗎有什麽疑的別叫我把你頭玉,"話话活詁詰託語諸銛咶, 說誠就诚前新諭設論的, 那邪部邦都邹鄒琊开邮, 柳抑铆栁鉚桺珋枊聊神, 家象蒙豪國聚宗容字国, 的约約豹酌韵钓妁纳日, 聽聼融聴聘廳穗驰醺醮, 了丁厅子7行亍@可丫, 這道逭追逍造这通遣遠, 小不平本公水八事心金, 么私幺厶弘名厸払仫吆, 兒皃見兄息鬼完妃皁舁, 一二-八同三，國冖司, 女夕友办众如易少分妇, 話话活語銛諸括咶栝詁, 笑竿芙筅昊竽笇笄築等, 道遒逍通遵這適遣造首, 好妤奸虸妇耔奴妈杍妃, 猴喉睺緱𬭤缑糇𠊱帿候, 兒見免兑克兄兌纪兜卯, 意風京国鲺愈嵐崽息鯴, 子于字孑十等号二干千, 你称弥狝作价休祢珎迩, 親新隷頴栽款弑穎耕瀙, 嬸婶嫆嫁嬣媱嬪姹嬏㜣, 子孑了字于好汓予学可, 找我戟战拽拭拙栈戕伐, 野軒好虸盱鲜嘢斳靬虾, 老考者栳姥狫光佬走咾, 兒免舁臼卵兕兜兄帠印, 去云法共芸玄丢会夫丟, 了子丁十字丫@孑等下, 你保休伽价称您狝作伱, 不下木水小万本大十茶, 多移名客务茤够夛經易, 得福待褐碍褥德海将傳, 一二-三八司十1（）, 個锢倜惆调涸固同侗国, 叔权敊救叙教淑杈赧奴, 叔淑权救教赦敊赧叙郝, 嗎鳴嚅喁嘕瑪嘱噅嗚囑, 有育商看材者利方斉行, 什竹仲付计件仕代份仔, 麽麻麼城旅所痧廂威频, 疑凝毙臰聚萣寲毾足是, 的约約妁趵韵酌钓豹灼, 別别刷刑所引房形冽用, 叫明啤川咀四啡咡鲜姐, 我者利毛租稅治非涐表, 把蚆杷鈀妑吧弝耙押肥, 你休保称狝价您作份家, 頭顼頊顛豉顫頸颐豌顕, 玉宝正王上三主京卫品","Thím Liễu nghe đứa bé nói thế, cười bảo: - Đồ khỉ con này! Thím mày đi kiếm một ông chồng nữa thì mày chẳng được thêm một ông chú hay sao?","Thím Liễu nghe con bé nói vậy liền cười, mắng yêu: ""Đồ khỉ con! Thím mày đi tìm ông lão khác, chẳng phải mày có thêm một chú hay sao? Có gì mà phải nghi ngờ!"""
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_004,"[[1022, 1986], [1026, 96], [1071, 97], [1067, 1988]]",的榪子蓋揪下來還不開門讓我進去呢那小廝且不推門又拉着笑道好嬸子你道一進去好歹偷幾個杏兒出來賞我吃我馆裏老等,"的菂莳约鵮弱故妁晶萌, 榪棚棵馬摄柵瑪檽橱媽, 子于字孑手亍宇等丁学, 蓋盖藎藍萧盡叢葢若證, 揪掀楸瞅湫鍬锹愀撳揿, 下不千丁百干正飞卞T, 來来交卒文爽夾密求巫, 還遯𫍽遰遝繫@瀅擊遥, 不下木水大万本小十才, 開聞閞弄用芫笄閈@閉, 門鬥阴閂問巴明阳們鸤, 讓議譲該謫康讀訊諺護, 我利者非若主毛義手自, 進造迪準遥道遣谁推逅, 去丢夫共玄丟云法会芸, 呢昵泥呃坭哌狔妮伲铌, 那邦非郡手永我頺鄕利, 小水木忄朩不卟八本州, 廝厮所麻廊厥威廟厕原, 且耳月目苴三冝沮直用, 不木下万小水示大才本, 推捨指搉拴維睢惟维揵, 門鬥陽問鸭阳即”所間, 又叉文汉习义艾菜日夂, 拉垃泣扭柆掠拄抆立位, 着者著若普春看养清音, 笑奖实美昊築芙竿关宎, 道遒通逍適义馗蝤划渞, 好奸妇妤虸妊妃奴耔杆, 嬸婶嫲嬣嬷嫆孃嫔姲娷, 子孑于字了十好予等游, 你称休狝弥祢价伱作妳, 道這逭谊追造遣進连宣, 一二八三，）同（國十, 進準造凖迪准遥谯迤追, 去法云丢丟玄芸会击宏, 好妤奸奴耔虸籽妳奵妍, 歹友反万夏及百原戶罗, 偷倫价喻輸瑜佾俞堬渝, 幾线殘錢姚綫缕矬蝼拜, 個锢錮固圖侗涸堌传倘, 杏查古李呇吉杳否告苦, 兒見兄現舁妃鬼免況玘, 出光步山比生米士击蚩, 來来交菜不密本州文茶, 賞赏質費賣賈貴當實買, 我利涐稍哦戰雅戩俄栽, 吃屹圪呛汔杚仡汽虼犵, 我戟涐明利戰浌者稍戙, 馆谊這道追销滨造信诮, 裏夢美裹要募夏易男碧, 老考者佬孝栳光卷狫咾, 等车手花警羊平零事生","Còn không mở cửa cho tao vào à! Đứa bé vẫn không mở cửa, kéo thím lại cười nói: - Thím ơi! Thím có vào, thế nào cũng ăn cắp cho cháu mấy quả mận.","Cái thằng nhãi ranh này, còn không mau mở cửa cho ta vào, lại còn đứng đó mà cười cợt. Để ta vào rồi thế nào cũng phải trộm cho được mấy quả mận cho ngươi, ta ở ngoài này chờ mãi."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_005,"[[965, 103], [1007, 101], [1015, 1989], [972, 1991]]",你若忘了日後半夜三更打酒贸油的我不給你老人家開門也不答應你隨你乾叫去柳氏啐道發了昏的今年還比往年把這些東西,"你休称保狝弥餘价祢伱, 若茶著菪芳茗芒苦芸芝, 忘志忌忐心总忑芯念态, 了丁子7可字不丫下@, 日目曰园回月国旧田同, 後俊役彼復传從彸微餕, 半平李车丰芈尘牛手年, 夜彼莜宿液有技筱校峳, 三二一彐王五曰己司@, 更便吏頁哽稉雨重埂浭, 打扛行钉汀扫轩扪折订, 酒洒活西湭滔唒酉濟泗, 贸贺賈買黄貿質賀兴罗, 油浦淄酒海溜涌庙泊清, 的逿ポ㘘𪫮雑臷褋顪, 我利救者找租若稅非种, 不木环下万小本休水丕, 給結紿袷给紹耠治維絡, 你称狝保休珎伱弥伽作, 老者考光走港茏佬夫卷, 人入大/久太厶天^A, 家室实國字宝宣国宇宗, 開聞鬬關鬪閑爿淵院㢤, 門鬥产明閂問所刊内川, 也世地七毡出业山屯池, 不万小下木示本水茶环, 答容客各荅零签咎管谷, 應廳鹰噟憄廪蒽膺雁府, 你伱称狝休弥祢作珎條, 隨随隋墮嶞防障隆惰附, 你您作狝称迩佽休伱保, 乾勒韩戟蕲鞋彰戰漧蘄, 叫啤四明川珥吧地此啡, 去云法共玄会芸宏告吉, 柳铆枊抑栁珋聊鉚泖䩕, 氏式民氐长托沃兵天抵, 啐晬咬哗啌哰碎悴哔㗌, 道造逍通适遁首遣渞遒, 發髅骰撥嚴廢殁发叕设, 了丫丁子@阝ア乃運字, 昏香呑音吞晳哲普晢暂, 的约礐ポ鞶僘臷, 今吟企合令会A山公枔, 年羊牟军企金车正每乍, 還選擐遺邐環業遷𫍽澴, 比北此地坨堵圮坫址出, 往住注茌砫荏註行全诧, 年平卸西手羊歫正解凖, 把杷和耙柵拥肥押粑細, 這馆造逭道遣追连達信, 些此熙燕兴共收谐成與, 東束京康凍速陳柬菓車, 西茜开两四丙元酒商浙","Thím quên thì sau này đêm khuya có đi mua rượu mua dầu, cháu không mở cửa cho đâu, tha hồ thím gọi.","Nếu thím quên, sau này nửa đêm canh ba có đi mua rượu mua dầu, cháu nhất định không mở cửa cho, mặc thím gọi khản cổ."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_006,"[[909, 103], [954, 101], [962, 1991], [917, 1992]]",都分給了衆媽媽了一個個的不像抓破了臉的人打樹底下一過兩眼就像那集雜是的還動他的菓子可是你舅母姨娘兩三個親戚,"都部鄱鄀却郄者郝邲郡, 分吩今份介劳会合命务, 給紿绐詒紹結治紛維綌, 了丁子郞7@字丫ア？, 衆衰聚我寰乘乗来菜襄, 媽嫣瑪媀姌婧娾婤媯榪, 媽嫣瑪婤榪嗎媀碼螞妈, 了丁子丫v？字鴐7ア, 一二三八國十同司（人, 個侗涸锢倜錮佰同固烟, 個锢倜涸錮固侗信绸恁, 的约約钓妁豹趵灼韵日, 不木小下万水茶示本禾, 像象豫俊橡保便僳馋浆, 抓扒扤枛孤採抔沠拁挪, 破碳玻砖被歿陂啵硝皱, 了丁子可弓字@耳ア亍, 臉驗險撿檢胎脸服儉瞼, 的约約豹妁趵岣酌杓昀, 人入/大太天〈八久亻, 打汀扞村行扫盯扜钉叮, 樹崗櫥掛櫧𣗳槸街褂槝, 底㡳疷民宾庭庌泯庍戻, 下不T干丁天工千百吓, 一二三十八司〇國九1, 過渦鍋堝媧遇腡猧蝸喎, 兩两雨网丽所闷爾戍國, 眼职服明賬银联朋銀耶, 就市店龙成扄信勍說府, 像豫象橡馋俊你保僳仅, 那邦我掰郡邪永@䢴哪, 集黧焦禁魚賀鱼翼冀橥, 雜雞難離雖囃难建薙维, 是足基量果居退世長般, 的约妁钓明酌旳趵菂纳, 還源漂原票景運擐粱通, 動勤勳働鲂勱勔莇斷助, 他地池仙阤佛驰化陀也, 的约鞶礐磟僘臷, 菓莫草墓第萬菜巢英萆, 子孑了字于予孓乎好抒, 可司百言创丽河丁商万, 是基足差星龛寔臰長昃, 你称狝弥休作祢妳份珎, 舅鼻贸员量翼覺奬蜀異, 母毋每丹舟毌冊世园时, 姨銕桋嬢胰峓挗痍咦媛, 娘狼斏媳桹踉娸埌蜋粮, 兩两雨丽刚所耐爾网䋄, 三二五王彐一豆主足天, 個倜侗锢同调涸信固佃, 親新翘粮瀙刹粗顙糕穎, 戚叞威溨服麻城减漃股",Bao nhiêu cây cối ở đây đã chia cho các bà già cả. Người nào người ấy mặt cứ sưng lên. Hễ có ai đi qua gốc cây là mắt cứ nhìn hau háu như cú vọ ấy.,"Đồ đạc trong vườn đều đã chia cho các bà mụ trông nom cả rồi. Ai nấy đều mặt mày sưng sỉa, hễ có người đi qua là mắt cứ láo liên như cú vọ rình mồi. "
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_007,"[[855, 1991], [857, 99], [902, 100], [901, 1991]]",都管者怎麽不和他們要倒和我來要道可是倉老鼠問老鴰去借糧守着的沒有飛着的倒有小厮笑道唆哟沒有罷了說上道些閒話,"都部卻鄱鄀者鄂覩嘟郡, 管营菅普萱骨驾首營着, 者着著若音老春看考岩, 怎怠惩念恁怨想忑忘悹, 麽城联所旅成威麼厥顺, 不万小丕石原木了丁茶, 和利种租私秆初科我印, 他地仙金池施佛业弛彵, 們捫椚鍆俨門鬥信僭價, 要喓㙘更耍項楆婹萝衷, 倒到国椡囶國俄俐型剉, 和利种初私租科秘種秆, 我利租羽者疾秩稍刋理, 來交来本夾木东未李密, 要喓栗㙘耍娶妻項楆嬱, 道這直追造值真谊遣首, 可司日河月曰阿习同句, 是基般@具長共提量於, 倉食合蒼仓舍會唐仺管, 老考者佬栳港孝狫姥咾, 鼠凱單鲺皐巤風鬬䑕竄, 問間商周明門朗期尚閣, 老考光者栳佬走姥夫港, 鴰鷸鸹鵠鴟鵲鵝鵡乱鷂, 去法云共玄丢若芸吉夫, 借信供厝僧惜代書腊普, 糧精𥼶釋程粮緝糅卷漏, 守字宁宇导特寺寽夺牛, 着者若春著看清有养肴, 的时约莳敀皥皚酌時嵵, 沒没波歿浸浚沼股渡投, 有友洧宥准右育冇看存, 飛乘形戒永来开采系利, 着者若著养新看春肴普, 的约酌钓豹約妁韵菂趵, 倒到国椡捯國闺囹例刭, 有南育商角情市省行百, 小水不木十忄本朩八卟, 厮廝所斯廊麻脈廟漸际, 笑竿芙竽昊笇奖𦬞筅矣, 道通义蓮首逍嵿這渞馗, 唆嗳吩哆陽暖嗲哦啰噯, 哟喲的呐肭助明㘭聮聯, 沒没波歿设沼深浸股投, 有友洧育南材村市宥骨, 罷毙籠龍器寵噐骺巃鼉, 了丁可子百富万Vz<, 說銳覬説就論訧診諛設, 上土主工止宁正北子十, 道這行有追信通逍嵿游, 些此武政谐助路時共联, 閒所聞間际厅闭商開防, 話话活語詰詁銛聒咶括","Thật không khác gì""chuột ở trong kho lại hỏi vay thức ăn của quạ"". Cái giống ở liền trong kho không có thức ăn lại còn đi hỏi cái giống bay trên trời à?","Sao những kẻ quản lý không đi đòi họ mà lại đến đòi ta, chẳng khác nào chuột trong kho đi hỏi quạ vay lương thực vậy. Thật là nực cười, kẻ ở trong kho lại đi hỏi kẻ bay trên trời."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_008,"[[796, 99], [841, 97], [848, 1985], [802, 1986]]",我看你老人家從今已後就用不着我了就是姐姐有了好地方兒將來呼喚我們的日子多着呢只要我們多答應他些就有了柳氏聽,"我義哦栽载哉莪戰利裁, 看着香者乔秀春青吞有, 你休称狝价保弥仰份祢, 老港佬栳者渚狫酒咾姥, 人/大入^太厶八〈春, 家宗字室宇实富康豪京, 從徙得健従禔縱提缇縫, 今合企吟令冷枔会忴A, 已巳己日三曰民巴艺e, 後俊役從移浚微狻设唆, 就勍京新㠇僦剌市弑, 用月甪朋角明川甬甲甩, 不下万木小水矛丕了子, 着若者經著善有養道看, 我利稍稅秩栽毴涐毯租, 了丁子？7丫孓ア弓字, 就耕勍新虎店說扄市, 是基昃皇長量提@湜差, 姐爼姫組娊俎妲娾组岨, 姐妲组爼娌殂祖诅蛆婵, 有育行宥南打布市冇万, 了丁子可丫ア十@7工, 好奸妤妇奴妃虸妈努怒, 地业北址城坨此场抛垲, 方万庁六力市芳冇友宁, 兒兄免克兑見宽阅见阋, 將将蔣嶈脟蒋夥妝牁胸, 來来求家未东本交密不, 呼吁哔呷哗呯哷軤好吗, 喚唤渙換噢煥愌哟唃晚, 我利科者租秒秩秋种秘, 們門鬥捫俨酒便何所價, 的约約礐臷鞶ポ俷, 日曰目口月旦同园时品, 子孑字于了宇十予千尔, 多名移第茤够罗哆务易, 着者春著若清精养肴蓍, 呢呃泥哌狔铌伲妮抳呝, 只贝日丹具共果县尺兴, 要娶妻平嬱理耳更項喓, 我线浅找栽治载非利藏, 們門捫鬥椚鍆俨眄鈣聘, 多移名参哆侈够茤冬爹, 答荅各零签客苓容冬茶, 應旗廳原噟慮照𤻮想庶, 他仙地彵池化做忚牠施, 些燕共典兴此启业興熙, 就新勍剌献㠇勅耕款, 有准行育南万将冷洧布, 了丁子丫可ア学？?宁, 柳栁鉚枊铆抑槐椥泖椑, 氏氐式托民兵圫迁乓日, 聽廳聼聴聘㕔票瞟融职",Liệu từ nay trở đi thím không cần đến cháu nữa hay sao? Chị Năm có việc làm thì sau này còn phải sai khiến đến chúng cháu nhiều. Chỉ cần chúng cháu ngoan một tý là được.,"Thiếp xem người lớn từ nay về sau cũng chẳng cần đến con nữa rồi, nếu như chị Năm có chỗ tốt thì sau này còn sai bảo chúng con nhiều, chỉ cần chúng con biết điều một chút là được."
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_009,"[[746, 100], [793, 99], [796, 1989], [749, 1991]]",了笑道你道個小猴兒精又搗鬼了你姐姐有什麽好地方兒那小廝笑道不用哄我了早巳知道了單是你們有内縴難道我們就沒有,"了丁子丫ア7筝@将字, 笑英关芙矣竿竽奖𦬞吴, 道遵遣追造游通這遊逰, 你称狝保休作伱迩弥您, 道這这谊逭逍信馆進造, 個涸侗锢倜固堌同调錮, 小忄不水外木州亦示办, 猴喉獲猺猤獅猻猳睺發, 兒見兑皃兄克舁阋兕只, 精淸清情晴特結猜請睛, 又叉习摩日卫汉风月口, 搗擼捣鳴擕槝嗚嶋搖塢, 鬼兒兔兎电曳嵬與蒐皃, 了子丁丫字可ア運@学, 你保休称作狝珎沵弥餘, 姐妲泪殂娌蛆組组诅爼, 姐妲泪相蛆媪娌組爼娨, 有友准洧南右宥清布看, 什仟代仁仕仔仙化保份, 麽麻麼所城摩庶厥磨庣, 好奸妤妇妈妃奴耔努怒, 地池牠北也她他拋址抛, 方万市京有六友力布亢, 兒見兑只舁兄兌皃克早, 那别永邪邦形郡承般頺, 小水忄木不本朩心卟承, 廝廊厮所厨店厩麻廐底, 笑竿芙昊𦬞竽关奖宎笇, 道造遣這适遁逍嵿谐首, 不木下万水小休本茶大, 用月明朋期甪甲闲川甩, 哄唭唺呿呓供嗅吡鉷噀, 我利租雅者消自非理波, 了丁子郞丫@ア孒字万, 早旱三草見耳卓皁卑單, 巳已己日曰民三品巴目, 知如和加钿郑匆命矩卸, 道逍适適遁首馗這通遒, 了丁子丫ア可刀万㓛心, 單輩簞革軍間翬軰肇罩, 是基差長星甚皇臰量昃, 你狝称迩休仰弥妳伱作, 們假俨門價偶代僭伊酒, 有商育斉右者市高肩肴, 内內大丙肉木人闪市六, 縴練締繚續經縫絶纏緖, 難雖鞋雌靴勤雜蜼鑿婎, 道逍逋適遣逌遺浦遒捕, 我自利者非租夫主稅程, 們捫们鬥何同椚信行俩, 就孰勍脫新扰肬龍鱿耕, 沒没设投股浸歿受疫汉, 有友育右准存行布洧看","- Con khỉ con này lại giở lối ranh mãnh ra! Chị mày có việc làm ở đâu? Chỉ thím có tay trong, chứ chúng cháu không có tay trong hay sao?","Thím Liễu cười đáp, đồ khỉ ranh ma, lại giở trò quỷ quái! Chị mày có chỗ nào tốt mà mày phải giấu diếm? Đứa bé cười đáp, thím đừng hòng lừa cháu, cháu biết cả rồi, chẳng lẽ chỉ có các người mới có tay trong, còn chúng cháu thì không sao?"
SSID-13717981_紅樓夢_繡像仿宋完整本_第3冊_003_010,"[[690, 1985], [694, 94], [736, 96], [733, 1986]]",内經不成我雖在這裏聽差裏頭却也有兩個姐姐成個體統的什麽事瞞了我們正說若只聽門內又有老婆子向外叫小猴兒快傳你,"内內大丙肉人闪因两为, 經縴率鄉綽緖繚酒经緙, 不下木万小丕大水怀礻, 成旅威战城歲族於別就, 我利者治科线若租找浅, 雖维雎雅難路鞋羅距唯, 在左存车庄布有右冻东, 這道遠追逭逍達遣连造, 裏裹要篑翦更奥美蒉兾, 聽聴廳融聼德菜㕔璃璁, 差基老盖茏若菱經花產, 裏菓築奧真美英奥宾菜, 頭顛顫顕顚朗萌豉顯鲠, 却即押地劫中热坤抻持, 也地七世毡他池廿北屯, 有行白百友存育响何右, 兩雨庲两倆庾萊両爾沗, 個锢倜侗錮涸固估偱棝, 姐妲泪妦娌相组明組妽, 姐泪妲相娌妺妦娸爼殂, 成戒戌戍城威別战族所, 個锢固涸倜侗同錮堌棝, 體鹘龍遣谐髆髖鹊髓馆, 統统締絨絲綺銃就綂杭, 的ポ苖鞶褋觍僘鋊, 什仟件仁代仕付住佳合, 麽麻麼磨國所城摩联颐, 事亭享亳學箏拿亨寧倳, 瞞暪蹣瞄瞒膈蟎樠滿購, 了丁子十7一丫道下字, 我利找线浅栽戰哉伐莪, 們門捫鬥假鍆椚行们酒, 正证工亚卫王止而整下, 說説脫稅銳说設帨祝現, 若着善者著精普希菩神, 只共日三品民巳足月以, 聽聴德穗醺延惠焦票璁, 門鬥閂問州明阿粥西严, 內内大丙人闪闲肉木门, 又叉文义卫习日凤汉风, 有育友南存冇右响商青, 老光佬宠栳港考姥沌者, 婆宴嘙娑荽波瘿蔢按安, 子字孑等了于学芊宇予, 向阿同商育南河而有何, 外处列然殊舛夘如斘烈, 叫啡川明咀四州啤吗鸣, 小水不忄木本生八十心, 猴喉猤猰缑族瘊狭猳联, 兒克兜兕充兌兄皃完兑, 快块抉炔怏袂決扶决中, 傳傅俱俜僖博集停俾信, 你称仰弥狝祢休妳沵迩","Tuy cháu ở ngoài này nhưng có hai chị là người hầu có thể diện ở trong ấy, còn giấu cháu sao được! Chợt có tiếng bà già ở trong gọi ra:","Dù thiếp ở ngoài này, nhưng trong phủ có hai tỷ tỷ là người hầu có địa vị, sao có thể giấu được thiếp! Vừa lúc đó, có tiếng bà lão từ trong vọng ra:"
