第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
却说张飞因关公放了上流水，遂引军从下流杀将来，截住曹仁混杀。 忽遇许褚，便与交锋；许褚不敢恋战，夺路走脱。 张飞赶来，接着玄德、孔明，一同沿河到上流。	Lại nói Trương Phi thấy nước ở thượng lưu đổ về, vội vàng đem quân lên chặn đường Tào Nhân, thì gặp ngay Hứa Chử đến.
刘封、糜芳已安排船只等候，遂一齐渡河，尽望樊城而去，孔明教将船筏放火烧毁。 却说曹仁收拾残军，就新野屯住，使曹洪去见曹操，具言失利之事。	Hai tướng giao phong, Hứa Chử không dám ham đánh, cướp đường chạy thoát. Trương Phi quay lại đuổi, gặp ngay Huyền Đức cùng Khổng Minh men bờ sông đi ngược lên.
操大怒曰：“诸葛村夫，安敢如此；”催动三军，漫山塞野，尽至新野下寨。	Lưu Phong, My Phương đi sắp thuyền sẵn. Mọi người xuống cả đò sang sông, kéo về Phàn Thành.
传令军士一面搜山，一面填塞白河。 令大军分作八路，一齐去取樊城。	Khổng Minh sai đem thuyền bè đốt sạch.
刘晔曰：“丞相初至襄阳，必须先买民心，今刘备尽迁新野百姓入樊城，若我兵径进，二县为齑粉矣；不如先使人招降刘备。	Tào Nhân thu nhặt tàn quân, đóng ở tân Dã, sai Tào Hồng về ra mắt Tào Tháo, trình việc thua trận, Tháo nổi giận nói: - Gia Cát thôn phu, to gan thực!
备即不降，亦可见我爱民之心；若其来降，则荆州之地，可不战而定也。”	Lập tức khởi ba quân đông như kiến cỏ, kéo đến Tân Dã đóng trại; rồi sai quân sĩ, một mặt kiểm soát trên núi, một mặt lấp sông Bạch Hà, đoạn chia đại quân làm tám đường, nhất tề đến lấy Phàn Thành. Lưu Hoa can rằng: - Thừa tướng mới đến Tương Dương, trước hết hãy mua lấy lòng dân đã. Nay Huyền Đức dời hết cả dân Tân Dã vào Phàn Thành, nếu ta đến ngay thì dân hai huyện ra cám cả. Chi bằng, sai người chiêu hàng Lưu Bị dù Bị không hàng, mình cũng được cái tiếng là thương dân.
操从其言，便问：“谁可为使？”	Nếu BỊ hàng, thì có phải đất Kinh Châu không đánh cũng được không?
刘晔曰：“徐庶与刘备至厚，今现在军中，何不命他一往？”	Tháo nghe lời ấy, liền hỏi: - Ai đi sứ được?
操曰：“他去恐不复来。” 晔曰：“他若不来，贻笑于人矣。	Lưu Hoa nói: - Từ Thứ rất thân với Lưu Bị, nay hắn cũng có mặt ở đây, sao không sai hắn đi một chuyến?
丞相勿疑。”	Tháo nói: - E hắn đi không trở về?
操乃召徐庶至，谓曰：“我本欲踏平樊城，奈怜众百姓之命。	Hoa nói: - Nếu hắn đi không trở về, thiên hạ sẽ chê cười hắn, thừa tướng không phải lo điều ấy. Tháo lập tức gọi Từ Thứ đến bảo rằng: - Ta muốn san phẳng Phàn Thành, nhưng nghĩ lại thương dân.
公可往说刘备：如肯来降，免罪赐爵；若更执迷，军民共戮，玉石俱焚。 吾知公忠义，故特使公往。 愿勿相负。	Ông hãy đến dụ Lưu Bị, nếu y lại hàng, sẽ được tha tội và phong tước; ví bằng y ngoan cố thì quân dân đều chết, đá ngọc nát tan. Tôi biết ông là người trung nghĩa, nên mới nhờ ông việc này, xin chớ phụ nhau.
徐庶受命而行。	Từ Thứ lĩnh mệnh đến Phàn Thành.
