Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-1.0    0.0         0.0         0.9733    0.9741    0.9737    2260    2322        2320      
-1.0    0.0         0.05        0.9733    0.9741    0.9737    2260    2322        2320      
-1.0    0.0         0.1         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.15        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.2         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.25        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.3         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.35        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.4         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.45        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.5         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.55        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.6         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.65        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.7         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.75        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.8         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.85        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.9         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         0.95        0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.0         1.0         0.9724    0.9737    0.9731    2259    2323        2320      
-1.0    0.02        0.0         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.05        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.1         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.15        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.2         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.25        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.3         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.35        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.4         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.45        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.5         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.55        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.6         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.65        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.7         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.75        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.8         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.85        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.9         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        0.95        0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.02        1.0         0.9691    0.9724    0.9707    2256    2328        2320      
-1.0    0.04        0.0         0.9598    0.9668    0.9633    2243    2337        2320      
-1.0    0.04        0.05        0.9598    0.9668    0.9633    2243    2337        2320      
-1.0    0.04        0.1         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.15        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.2         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.25        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.3         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.35        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.4         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.45        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.5         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.55        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.6         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.65        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.7         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.75        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.8         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.85        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.9         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        0.95        0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.04        1.0         0.9602    0.9672    0.9637    2244    2337        2320      
-1.0    0.06        0.0         0.9552    0.9647    0.9599    2238    2343        2320      
-1.0    0.06        0.05        0.9552    0.9647    0.9599    2238    2343        2320      
-1.0    0.06        0.1         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.15        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.2         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.25        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.3         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.35        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.4         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.45        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.5         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.55        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.6         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.65        0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.7         0.9556    0.9651    0.9603    2239    2343        2320      
-1.0    0.06        0.75        0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.06        0.8         0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.06        0.85        0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.06        0.9         0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.06        0.95        0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.06        1.0         0.9548    0.9642    0.9595    2237    2343        2320      
-1.0    0.08        0.0         0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.05        0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.1         0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.15        0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.2         0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.25        0.9429    0.9543    0.9486    2214    2348        2320      
-1.0    0.08        0.3         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.35        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.4         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.45        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.5         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.55        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.6         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.65        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.7         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.75        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.8         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.85        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.9         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        0.95        0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.08        1.0         0.9421    0.9534    0.9477    2212    2348        2320      
-1.0    0.1         0.0         0.9292    0.9392    0.9342    2179    2345        2320      
-1.0    0.1         0.05        0.9305    0.9405    0.9355    2182    2345        2320      
-1.0    0.1         0.1         0.9305    0.9405    0.9355    2182    2345        2320      
