晋唐叔虞者， 周武王子而成王弟。	Đường thúc Ngu nước Tấn là con của Chu Vũ vương, em Thành vương.
初，武王与叔虞母会时， 梦天谓武 王曰：“余命女生子，名虞，余与之唐。”及生子，文在其手 曰“虞”，故遂因命之曰虞。	Ban trước, khi Vũ vương ân ái với mẹ của Thúc Ngu, mộng thấy trời nói với Vũ vương rằng: “Ta ban mệnh cho người sinh được con trai, tên là Ngu, ta ban cho đất Đường.” Đến khi sinh con, trên tay có chữ “Ngu”, nên nhân đó đặt tên là Ngu.
武王崩，成王立，唐有乱， 周公诛灭唐。	Vũ vương băng hà, Thành vương lên ngôi, nước Đường có loạn, Chu công tru diệt nước Đường.
成王与叔虞戏，削桐叶为珪以与叔虞， 曰：“以此封若。”史佚因请择日立叔虞。	Thành vương cùng Thúc Ngu đùa chơi, [Thành vương] cắt lá ngô đồng làm ngọc khuê trao cho Thúc Ngu, nói: “Đem thứ này phong cho ngươi.” Sử Dật nhân đó xin chọn ngày tốt sách lập Thúc Ngu.
成王曰：“吾与之戏 耳。”史佚曰：“天子无戏言。	Thành vương nói: “Ta chỉ đùa với Thúc Ngu thôi.” Sử Dật nói: “Thiên tử không nói chơi.
言则史书之，礼成之，乐歌之。”於 是遂封叔虞於唐。	Nói ra thì sử quan ghi chép lại, dùng lễ tác thành việc đó, dùng nhạc ca vịnh việc đó.” Thế rồi bèn phong Thúc Ngu đất Đường.
唐在河、汾之东，方百里，故曰唐叔虞。	Đất Đường ở phía đông sông Hoàng Hà và sông Phần, rộng trăm dặm vuông, cho nên gọi là Đường thúc Ngu.
姓姬氏，字子于。	[Đường thúc Ngu] họ Cơ, tự là Tử Vu.
唐叔子燮，是为晋侯。晋侯子宁 族，是为武侯。	Con của Đường thúc là Tiếp, chính là Tấn hầu. Con của Tấn hầu là Ninh Tộc, chính là Vũ hầu.
武侯之子服 人，是为成侯。成侯子福，是为厉侯。	Con của Vũ hầu là Phục Nhân, chính là Thành hầu. Con của Thành hầu là Phúc, chính là Lệ hầu.
厉侯之子 宜臼，是为靖侯。	Con của Lệ hầu là Nghi Cữu, chính là Tĩnh hầu.
靖侯已来，年纪可推。	Từ Tĩnh hầu trở đi, niên đại có thể suy được.
自唐叔至靖侯五世，无其年 数。	Từ Đường thúc đến Tĩnh hầu là năm đời, không biết số năm [là bao nhiêu].
靖侯十七年，周厉王迷惑暴虐，国人作乱，厉王出奔于彘，大臣 行政，故曰“共和”。	Tĩnh hầu năm thứ mười bảy, Chu Lệ vương u mê bạo ngược, người trong nước làm loạn, Lệ vương chạy ra đất Trệ, đại thần cùng điều hành chính sự, cho nên gọi là “cộng hòa”.
十八年，靖侯卒，子釐侯司徒立。	Năm thứ mười tám, Tĩnh hầu chết, con là Ly hầu Tư Đồ lên thay.
釐侯十四年，周宣王初立。	Ly hầu năm thứ mười bốn, Chu Tuyên vương mới lên ngôi.
十 八年，釐侯卒，子献侯籍立。	Năm thứ mười tám, Ly hầu chết, con là Hiến hầu Tịch lên thay.
献侯十一年 卒，子穆侯费王立。	Hiến hầu năm thứ mười một thì chết, con là Mục hầu Bí Vương lên thay.
穆侯四年，取齐女姜氏为夫人。	Mục hầu năm thứ tư, lấy người con gái nước Tề là Khương thị làm phu nhân.
七年，伐条。	Năm thứ bảy, thảo phạt đất Điều.
生太子仇。	[Phu nhân Khương thị] sinh Thái tử Cừu.
十年，伐千亩，有功。	Năm thứ mười, thảo phạt đất Thiên Mẫu, có công tích.
生少子，名曰成师。	[Năm đó, Mục hầu] sinh con nhỏ, tên là Thành Sư.
晋人师服曰：“异哉，君之命子也！	Người Tấn là Đại phu Sư Phục nói: “Lạ thay cách vua đặt tên con!
太子曰仇，仇者雠也。	Thái tử là Cừu, Cừu tức là cừu thù vậy.
少子曰成师，成师大号，成之者也。	Con nhỏ là Thành Sư, Thành Sư là danh hiệu lớn, là thành tựu cho người con đó vậy.
名，自命 也；物，自定也。	Tên là mệnh số của mình; vật, tự thân an bài vậy.
今適庶名反逆，此後晋其能毋乱乎？”二十七年，穆侯卒，弟殇叔自立，太子仇出奔。	Nay con đích và con thứ tên trái ngược nhau, như thế sau này nước Tấn có thể không loạn được ư?” Năm thứ hai mươi bảy, Mục hầu chết, em là Thương thúc tự lập làm vua, Thái tử Cừu chạy khỏi nước.
殇叔三年，周宣 王崩。	Thương thúc năm thứ ba, Chu Tuyên vương bằng hà.
四年，穆侯太子仇率其徒袭殇叔而立，是为文侯。	Năm thứ tư, Thái tử của Mục hầu là Cừu thống lãnh bè đảng đánh úp Thương thức rồi lên thay, đó là Văn hầu.
文侯十年，周幽王无道，犬戎杀幽王，周东徙。	Văn hầu năm thứ mười, Chu U vương vô đạo, Khuyển Nhung giết U vương, nhà Chu dời sang phía đông.
而秦襄公始列为 诸侯。	Còn Tần Tương công bắt đầu được liệt vào hàng chư hầu.
三十五年，文侯仇卒，子昭侯伯立。	Năm thứ ba mươi lăm, Văn hầu Cừu chết, con là Chiêu hầu Bá lên thay.
昭侯元年，封文侯弟成师于曲沃。	Chiêu hầu năm thứ nhất, phong cho em của Văn hầu là Thành Sư ở Khúc Ốc.
曲沃邑大於翼。	Ấp Khúc Ốc lớn hơn đất Dực.
翼，晋君都邑也。	Dực là đô ấp của Tấn quân.
