孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
其先宋 人也，曰孔防叔。	Tiên tổ là người nước Tống, gọi là Khổng Phòng Thúc.
防叔生伯夏，伯夏生叔梁纥。	Phòng Thúc sinh ra Bá Hạ, Bá Hạ sinh Thúc Lương Hột.
纥与颜氏女野合而生孔子， 祷於尼丘得孔子。	Hột lấy người con gái họ Nhan rồi sinh ra Khổng tử, cầu đảo ở Ni Khâu mới sinh được Khổng tử.
鲁襄公二十二年而孔子生。	Khổng tử sinh năm Lỗ Tương công thứ hai mươi hai.
生而首上圩顶， 故因名曰丘云。字仲尼，姓孔氏。	Khi sinh ra, trên đỉnh đầu lõm, bốn góc nhô cao, cho nên nhân đó đặt tên là Khâu, tự là Trọng Ni, họ Khổng.
丘生而叔梁纥死，葬於防山。	Khâu ra đời thì Thúc Lương Hột chết, táng ở Phòng Sơn.
防山在 鲁东，由是孔子疑其父墓处，母讳之也。	Phòng Sơn ở phía đông nước Lỗ, do đó, Khổng tử không rõ phần mộ của cha mình, bà mẹ tránh nhắc việc đó.
孔子为兒嬉戏，常陈俎豆， 设礼容。	Khổng tử lúc bé chơi đùa, thường bày đồ cúng tế, học các động tác lễ nghi.
孔子母死，乃殡五父之衢， 盖其慎也。	Mẹ Khổng tử chết, bèn tạm quàn ở đường Ngũ Phủ, đó là cách làm thận trọng vậy.
郰人 輓父之母诲孔子父墓，然後往合葬於防焉。	Mẹ của Vãn Phủ ở ấp Trâu nói cho Khổng tử biết phần mộ của cha Khổng tử, sau đó [Khổng tử] chuyển quan tài của mẹ đến hợp táng ở Phòng Sơn.
孔子要绖， 季氏飨士，孔子与往。	Khổng tử mang thắt lưng gai, họ Quý khoản đãi kẻ sĩ, Khổng tử đến dự.
阳虎绌曰：“季氏飨士， 非敢飨子也。”孔子由是退。	Dương Hổ xua đuổi rằng: “Họ Quý thết đãi kẻ sĩ, không dám thết đãi cậu.” Thế là Khổng tử lui ra.
孔子年十七，鲁大夫孟釐子病且死， 诫其嗣懿子曰：“孔丘，圣人之後，灭 於宋。	Khổng tử mười bảy tuổi, đại phu nước Lỗ là Mạnh Hy tử ốm sắp chết, răn bảo con nối dõi là Ý tử rằng: “Khổng Khâu là hậu duệ của thánh nhân, bị nước Tống diệt.
其 祖弗父何始有宋而嗣让厉公。	Tiên tổ là Phất Phủ Hà ban đầu có nước Tống nhưng nhường nước cho Lệ công.
及正考父佐戴、 武、宣公，三命兹益恭，故鼎 铭云：‘一命而偻，再命 而伛，三命而俯，循墙而 走，亦莫敢余侮。	Đến Chính Khảo Phủ phò tá Đái công, Vũ công, Tuyên công, ba lần nhận mệnh mà càng thêm cung kính, cho nên khắc trên vạc rằng: 'Lần thứ nhất nhận mệnh thì cúi mình nhận lấy, lần thứ hai nhận mệnh thì khom mình nhận lấy, lần thứ ba nhận mệnh thì phủ phục mà nhận, men tường mà chạy, cũng không ai dám khinh mạn ta.
饘於是，粥於是，以餬余口。’	Nấu cơm bằng vạc này, nấu cháo bằng vạc này, để nuôi miệng ta.'
其恭如是。	Ông ta cung kính đến như thế đấy.
吾闻圣人之後，虽不 当世，必有达者。	Ta nghe nói hậu duệ của bậc thánh nhân, dẫu không làm vua cũng ắt là bậc thông đạt.
今孔丘年少好 礼，其达者欤？	Nay Khổng Khâu tuổi còn trẻ mà ham lễ, đó là người thông đạt chăng?
吾即没，若必师之。”及釐子卒，懿子与鲁人南宫敬 叔 往学礼焉。	Ta chết rồi, con nhất định phải tôn người đó làm thầy.” Đến khi Hy tử chết, Ý tử cùng Nam Cung Kính Thúc người nước Lỗ đến học lễ Khổng tử.
是岁，季武子卒，平子代立。	Năm này, Quý Vũ tử chết, Bình tử lên thay.
孔子贫且贱。	Khổng tử nghèo hèn.
及长，尝为季氏史， 料量平；尝为司职吏而畜蕃息。由是为司 空。	Đến khi trưởng thành, từng làm tiểu lại cho họ Quý, cân đong đo lường chuẩn xác; từng làm quan lại phụ trách việc chăn nuôi, súc vật đông đúc, sinh đẻ nhiều, do đó được làm Tư không.
已而去鲁，斥乎齐，逐乎宋、卫，困於陈蔡之间，於是反鲁。	Thế rồi rời nước Lỗ, bị bài xích ở Tề, bị xua đuổi ở Tống và Vệ, bị nguy khốn ở khoảng Trần và Sái, rồi lại trở về Lỗ.
孔 子长九尺有六寸，人皆谓之“长人”而异之。	Khổng tử cao chín thước sáu tấc, ai cũng bảo là “người cao” và lấy làm lạ.
鲁复善待，由是反鲁。	Nước Lỗ lại đối đãi tử tế [với Khổng tử], do đó [Khổng tử] trở về Lỗ.
鲁南宫敬叔言鲁君曰：“请与孔子適周。”鲁君与之一乘车，两马，一竖子俱，適周问 礼，盖见老子云。	Nam Cung Kính Thúc nước Lỗ nói với vua Lỗ rằng: “Xin cho Khổng tử đến nhà Chu.” Vua Lỗ cho Khổng tử một cỗ xe, hai con ngựa, một tiểu đồng đi theo, đến nhà Chu hỏi về lễ, còn gặp Lão tử.
辞去，而老子送之曰：“吾闻富贵者送人以财， 仁人者送人以言。	Lúc từ biệt lên đường, Lão tử có nói tiễn chân: “Tôi nghe nói người giàu sang dùng của cải tiễn nhau, người có lòng nhân dùng lời nói tiễn nhau.
吾不能富贵，窃仁人之号， 送子以言，曰：‘聪明深察而近於 死者，好议人者也。	Tôi không phải người giàu sang, trộm gọi là người nhân, dùng lời nói tiễn chân ngài, rằng: 'Kẻ thông minh, suy xét sâu xa thì gần với cái chết, vì thích bàn về người khác.
博辩广大危其身者，发人之恶者也。	Kẻ biện bác rộng, tài năng quảng đại thì nguy hại đến thân, vì nêu cái xấu của người.
为人子者毋 以有己， 为人臣者毋以有己。’” 孔子自周反于鲁，弟 子稍益进焉。	Kẻ làm con không biết dựa vào đâu để giữ mình, kẻ làm tôi không biết dựa vào đâu để giữ mình'.” Khổng tử từ nhà Chu trở về nước Lỗ, học trò ngày càng đông.
是时也，晋平公淫，六卿擅权，东伐诸侯；楚灵王兵彊，陵轹中 国；齐大而近於鲁。	Bấy giờ, Tấn Bình công dâm đãng, Lục khanh chuyên quyền, phía đông chinh phạt chư hầu; quân của Sở Linh vương hùng mạnh, lấn lướt các nước Trung nguyên; Tề rộng lớn mà gần với Lỗ.
鲁小弱，附於楚则晋怒；附於晋则楚来伐；不备 於齐，齐师侵鲁。	Lỗ nhỏ yếu, theo sở thì Tấn giận; theo Tấn thì Sở đem quân đến đánh; không phòng bị Tề thì quân Tề đến xâm chiếm Lỗ.
鲁昭公之二十年，而孔子盖年三十矣。	Lỗ Chiêu công năm thứ hai mươi, Khổng tử ba mươi tuổi.
齐景公与晏婴来適鲁，景 公问孔子曰：“昔秦穆公国小处辟，其霸何也？”对曰：“秦，国虽 小，其志大；处虽辟，行中正。	Tề Cảnh công cùng Yến Anh đến nước Lỗ, Cảnh công hỏi Khổng tử rằng: “Trước kia, Tần Mục công đất nước nhỏ bé, ở chốn hẻo lánh, tại sao có thể xưng bá?” Khổng tử đáp: “Tần, nước tuy nhỏ nhưng chí lại lớn, tuy ở chốn hẻo lánh nhưng thi hành chính sự trung chính.
