刘敬 者，齐人也。	Lưu Kính Lưu Kính, người Tề.
汉五年，戍陇西，过洛阳，高帝在焉。	Hán vương năm thứ năm, làm lính ở Lũng Tây, qua Lạc Dương, Cao đế ở đó.
娄敬脱輓辂， 衣其羊裘，见齐人虞将军曰：“臣原见上言便事。”虞将 军欲与之鲜衣，娄敬曰：“臣衣帛，衣帛 见；衣褐，衣褐见：终不敢易衣。”	Lâu Kính bỏ xe nhỏ, mặc áo da dê, gặp Ngu tướng quân người Tề, nói: “Tôi muốn yết kiến hoàng thượng để nói điều lợi.” Ngu tướng quân muốn cho áo đẹp, Lâu Kinh nói: “Tôi mặc áo lụa, thì áo lụa đi yết kiến; mặc áo vải thô thì áo vải thô đi yết kiến.
於是虞将军入言上。	Quyết không dám thay áo khác.” Thế rồi Ngu tướng quân vào nói với hoàng thượng.
上召入见， 赐食。	Hoàng thượng triệu vào gặp, cho ăn uống.
已而问娄敬，娄敬说曰：“陛下都洛阳，岂欲与周室比隆 哉？”上曰：“然。”娄敬曰：“陛下取天下与周室异。	Sau đó hỏi Lâu Kính, Lâu Kính nói: “Bệ hạ đóng đô ở Lạc Dương, há muốn hưng thịnh ngang nhà Chu chăng?” Hoàng thượng đáp: “Phải.” Lâu Kính nói: “Cách bệ hạ lấy thiên hạ khác nhà Chu.
周之先自后 稷，尧封之邰， 积德累善十有馀世。	Tổ tiên nhà Chu từ Hậu Tắc, được đế Nghiêu phong đất Thai, tích đức tích thiện hơn mười đời.
公刘避桀居豳。	Công Lưu tránh Kiệt nên ra đất Bân.
太王以狄伐故，去豳，杖马箠居岐，国 人争随之。	Thái vương vì Địch đánh cướp, bỏ đất Bân, ruổi ngựa đến đất Kỳ, người trong nước tranh nhau theo.
及文王为西伯，断虞芮之讼，始受命，吕望、伯夷自海滨 来归之。	Đến khi Văn vương làm Tây bá, phân xử việc kiện tụng của Ngu, Nhuế, bắt đầu nhận mệnh, Lã Vọng, Bá Di từ bãi biển đến quy phụ.
武王伐纣，不期而会孟津之上八百诸侯，皆曰纣可伐矣，遂灭 殷。	Vũ Vương đánh Trụ, chẳng hẹn mà hội được tám trăm chư hầu ở trên Mạnh Tân, đều nói Trụ đáng đánh, rồi diệt Ân.
