Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.2    0.02        0.0         0.8956    0.8177    0.8549    6803    7596        8320      
-0.15   0.02        0.0         0.8953    0.8178    0.8548    6804    7600        8320      
-0.2    0.02        0.25        0.8954    0.8175    0.8547    6802    7597        8320      
-0.3    0.02        0.0         0.8955    0.8174    0.8547    6801    7595        8320      
-0.25   0.02        0.0         0.8955    0.8174    0.8547    6801    7595        8320      
-0.2    0.02        0.05        0.8955    0.8174    0.8547    6801    7595        8320      
-0.2    0.02        0.1         0.8955    0.8174    0.8547    6801    7595        8320      
-0.2    0.02        0.15        0.8955    0.8174    0.8547    6801    7595        8320      
-0.2    0.01        0.0         0.8959    0.8171    0.8547    6798    7588        8320      
-0.2    0.01        0.05        0.8960    0.8169    0.8546    6797    7586        8320      
-0.2    0.01        0.1         0.8960    0.8169    0.8546    6797    7586        8320      
-0.15   0.01        0.0         0.8957    0.8172    0.8546    6799    7591        8320      
-0.2    0.02        0.2         0.8953    0.8174    0.8546    6801    7596        8320      
-0.15   0.01        0.05        0.8958    0.8171    0.8546    6798    7589        8320      
-0.15   0.01        0.1         0.8958    0.8171    0.8546    6798    7589        8320      
-0.15   0.02        0.25        0.8950    0.8177    0.8546    6803    7601        8320      
-0.15   0.02        0.05        0.8951    0.8175    0.8546    6802    7599        8320      
-0.15   0.02        0.1         0.8951    0.8175    0.8546    6802    7599        8320      
-0.15   0.02        0.15        0.8951    0.8175    0.8546    6802    7599        8320      
-0.2    0.01        0.15        0.8960    0.8168    0.8546    6796    7585        8320      
-0.15   0.0         0.0         0.8960    0.8168    0.8546    6796    7585        8320      
-0.15   0.01        0.15        0.8958    0.8169    0.8545    6797    7588        8320      
-0.25   0.0         0.0         0.8962    0.8166    0.8545    6794    7581        8320      
-0.2    0.0         0.0         0.8962    0.8166    0.8545    6794    7581        8320      
-0.15   0.02        0.2         0.8950    0.8175    0.8545    6802    7600        8320      
-0.3    0.02        0.25        0.8952    0.8173    0.8545    6800    7596        8320      
-0.25   0.02        0.25        0.8952    0.8173    0.8545    6800    7596        8320      
-0.1    0.01        0.15        0.8952    0.8173    0.8545    6800    7596        8320      
-0.5    0.02        0.0         0.8953    0.8172    0.8545    6799    7594        8320      
-0.45   0.02        0.0         0.8953    0.8172    0.8545    6799    7594        8320      
-0.4    0.02        0.0         0.8953    0.8172    0.8545    6799    7594        8320      
-0.35   0.02        0.0         0.8953    0.8172    0.8545    6799    7594        8320      
-0.3    0.02        0.05        0.8953    0.8172    0.8545    6799    7594        8320      
-0.3    0.02        0.1         0.8953    0.8172    0.8545    6799    7594        8320      
-0.3    0.02        0.15        0.8953    0.8172    0.8545    6799    7594        8320      
-0.25   0.02        0.05        0.8953    0.8172    0.8545    6799    7594        8320      
-0.25   0.02        0.1         0.8953    0.8172    0.8545    6799    7594        8320      
-0.25   0.02        0.15        0.8953    0.8172    0.8545    6799    7594        8320      
-0.3    0.01        0.0         0.8957    0.8168    0.8545    6796    7587        8320      
-0.25   0.01        0.0         0.8957    0.8168    0.8545    6796    7587        8320      
-0.3    0.01        0.05        0.8958    0.8167    0.8544    6795    7585        8320      
-0.3    0.01        0.1         0.8958    0.8167    0.8544    6795    7585        8320      
-0.25   0.01        0.05        0.8958    0.8167    0.8544    6795    7585        8320      
-0.25   0.01        0.1         0.8958    0.8167    0.8544    6795    7585        8320      
-0.2    0.02        0.3         0.8951    0.8173    0.8544    6800    7597        8320      
-0.1    0.02        0.0         0.8943    0.8179    0.8544    6805    7609        8320      
-0.1    0.02        0.25        0.8943    0.8179    0.8544    6805    7609        8320      
-0.3    0.02        0.2         0.8952    0.8172    0.8544    6799    7595        8320      
-0.25   0.02        0.2         0.8952    0.8172    0.8544    6799    7595        8320      
-0.2    0.03        0.2         0.8944    0.8178    0.8544    6804    7607        8320      
-0.1    0.01        0.0         0.8949    0.8174    0.8544    6801    7600        8320      
-0.1    0.01        0.05        0.8950    0.8173    0.8544    6800    7598        8320      
-0.1    0.01        0.1         0.8950    0.8173    0.8544    6800    7598        8320      
-0.3    0.01        0.15        0.8958    0.8166    0.8544    6794    7584        8320      
-0.25   0.01        0.15        0.8958    0.8166    0.8544    6794    7584        8320      
-0.15   0.0         0.05        0.8958    0.8166    0.8544    6794    7584        8320      
-0.15   0.03        0.2         0.8942    0.8179    0.8544    6805    7610        8320      
-0.1    0.02        0.2         0.8943    0.8178    0.8543    6804    7608        8320      
-0.15   0.02        0.3         0.8948    0.8174    0.8543    6801    7601        8320      
-0.2    0.01        0.3         0.8956    0.8167    0.8543    6795    7587        8320      
-0.2    0.01        0.35        0.8956    0.8167    0.8543    6795    7587        8320      
-0.3    0.0         0.0         0.8960    0.8163    0.8543    6792    7580        8320      
-0.25   0.0         0.05        0.8960    0.8163    0.8543    6792    7580        8320      
-0.2    0.0         0.05        0.8960    0.8163    0.8543    6792    7580        8320      
-0.15   0.05        0.15        0.8927    0.8191    0.8543    6815    7634        8320      
-0.2    0.01        0.2         0.8957    0.8166    0.8543    6794    7585        8320      
-0.15   0.01        0.3         0.8954    0.8168    0.8543    6796    7590        8320      
-0.15   0.01        0.35        0.8954    0.8168    0.8543    6796    7590        8320      
-0.15   0.0         0.1         0.8958    0.8165    0.8543    6793    7583        8320      
-0.15   0.0         0.15        0.8958    0.8165    0.8543    6793    7583        8320      
-0.5    0.02        0.25        0.8951    0.8171    0.8543    6798    7595        8320      
-0.45   0.02        0.25        0.8951    0.8171    0.8543    6798    7595        8320      
-0.4    0.02        0.25        0.8951    0.8171    0.8543    6798    7595        8320      
-0.35   0.02        0.25        0.8951    0.8171    0.8543    6798    7595        8320      
-0.15   0.01        0.2         0.8955    0.8167    0.8543    6795    7588        8320      
-0.5    0.02        0.05        0.8952    0.8169    0.8543    6797    7593        8320      
-0.5    0.02        0.1         0.8952    0.8169    0.8543    6797    7593        8320      
-0.5    0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.45   0.02        0.05        0.8952    0.8169    0.8543    6797    7593        8320      
-0.45   0.02        0.1         0.8952    0.8169    0.8543    6797    7593        8320      
-0.45   0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.4    0.02        0.05        0.8952    0.8169    0.8543    6797    7593        8320      
-0.4    0.02        0.1         0.8952    0.8169    0.8543    6797    7593        8320      
-0.4    0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.05        0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.1         0.8952    0.8169    0.8543    6797    7593        8320      
-0.35   0.02        0.15        0.8952    0.8169    0.8543    6797    7593        8320      
-0.1    0.0         0.0         0.8952    0.8169    0.8543    6797    7593        8320      
-0.5    0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
-0.45   0.01        0.0         0.8956    0.8166    0.8543    6794    7586        8320      
