第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
滚滚长江东逝水，浪花淘尽英雄 ||| Có bài từ rằng: Trường Giang cuồn cuộn chảy về đông, Sóng vùi dập hết anh hùng
是非成败转头空 ||| Được, thua, phải, trái, thoắt thành không
青山依旧在，几度夕阳红 ||| Non xanh nguyên vẻ cũ, Mấy độ bóng tà hồng! Bạn đầu bạc ngư tiều trên bãi, Đã quen nhìn thu nguyệt xuân phong
白发渔樵江渚上，惯看秋月春风 ||| Một bầu rượu vui vẻ tương phùng
一壶浊酒喜相逢 ||| Xưa nay bao nhiêu việc, Phó mặc nói cười suông
话说天下大势，分久必合，合久必分 ||| Thế lớn trong thiên hạ, cứ tan lâu rồi lại hợp, hợp lâu rồi lại tan: Như cuối đời nhà Chu, bảy nước tranh giành xâu xé nhau rồi sau lại hợp về nhà Tần
周末七国分争，并入于秦 ||| Đến khi nhà Tần mất, thì Hán Sở tranh hùng rồi sau thiên hạ lại hợp về tay nhà Hán
及秦灭之后，楚、汉分争，又并入于汉 ||| Nhà Hán, từ lúc vua Cao tổ (Bái Công) chém rắn trắng khởi nghĩa, thống nhất được thiên hạ, sau vua Quang Vũ lên ngôi, rồi truyền mãi đến vua Hiến Đế; lúc bấy giờ lại chia ra thành ba nước
汉朝自高祖斩白蛇而起义，一统天下，后来光武中兴，传至献帝，遂分为三国 ||| Nguyên nhân gây ra biến loạn ấy là do hai vua Hoàn đế, Linh đế
推其致乱之由，殆始于桓、灵二帝 ||| Vua Hoàn đế tin dùng lũ hoạn quan, cấm cố những người hiền sĩ
桓帝禁锢善类，崇信宦官 ||| Đến lúc vua Hoàn đế băng hà, vua Linh đế lên ngôi nối nghiệp; được quan đại tướng quân Đậu Vũ, quan thái phó Trần Phồn giúp đỡ
及桓帝崩，灵帝即位，大将军窦武、太傅陈蕃共相辅佐 ||| Khi ấy, trong triều có bọn hoạn quan là lũ Tào Tiết lộng quyền
时有宦官曹节等弄权，窦武、陈蕃谋诛之，机事不密，反为所害，中涓自此愈横 ||| Đậu Vũ, Trần Phồn lập mưu định trừ bọn ấy đi, nhưng vì cơ mưu tiết lộ nên lại bị chúng nó giết mất
建宁二年四月望日，帝御温德殿 ||| tất tuyên cáo tả hữu; toại dĩ tha Ngày rằm tháng tư năm Kiến ninh thứ hai (một trăm sáu mươi bảy dương lịch) vua ngự điện Ôn Đức
方升座，殿角狂风骤起 ||| Tự nhiên có cơn gió to ầm ầm từ góc điện nổi lên, rồi thấy một con rắn xanh lớn ở trên xà nhà quăng xuống quằn quại trên long án
只见一条大青蛇，从梁上飞将下来，蟠于椅上 ||| Vua kinh hoàng ngã đùng ra, các quan tả hữu vội cứu vực vào cung; ở ngoài văn võ cũng sợ chạy cả
帝惊倒，左右急救入宫，百官俱奔避 ||| Được một lát con rắn biến mất và bỗng nhiên mưa to, sấm sét ầm ầm; lại thêm mưa đá rào rào mãi đến nửa đêm mới tạnh, đổ nhà đổ cửa không biết bao nhiêu mà kể
须臾，蛇不见了 ||| Tháng hai, năm Kiến ninh thứ tư (một trăm sáu mươi chín) tỉnh Lạc Dương có động đất, nước bể dâng lên ngập lưng trời, dân cư ở ven bể bị sóng lớn cuốn trôi đi mất cả
忽然大雷大雨，加以冰雹，落到半夜方止，坏却房屋无数 ||| Năm Quang hóa thứ nhất (một trăm bảy mươi tám), một con gà mái tự dưng hóa ra gà trống
建宁四年二月，洛阳地震；又海水泛溢，沿海居民，尽被大浪卷入海中 ||| Mồng một tháng sáu năm ấy, một luồng khí đen dài chừng hơn mươi trượng bay vào trong điện Ôn Đức
光和元年，雌鸡化雄 ||| Qua sang tháng bảy, lại có lắm điều gở lạ: Cầu vồng mọc ở giữa Ngọc đường; rặng núi Ngũ Nguyên bỗng dưng lở sụt xuống
六月朔，黑气十余丈，飞入温德殿中 ||| Vua hạ chiếu, hỏi chư thần từ đâu mà sinh ra những điềm quái gở ấy
秋七月，有虹现于玉堂；五原山岸，尽皆崩裂 ||| Có quan nghị lang là Sái Ung dâng sớ lên, lời lẽ thống thiết, nói rằng: "Cầu vồng sa xuống, gà mái hóa trống, ấy là bởi quyền chính trong nước ở tay đàn bà và ở tay hoạn quan"
种种不祥，非止一端 ||| Vua xem sớ ngậm ngùi thở dài, đứng dậy thay áo
帝下诏问群臣以灾异之由，议郎蔡邕上疏，以为蜺堕鸡化，乃妇寺干政之所致，言颇切直 ||| Tào Tiết khi ấy đứng hầu sau ngai nghe trộm thấy, trong lòng căm giận, bèn mách bảo đồng bọn, bàn mưu kiếm cớ vu hãm Sài Ung, cách quan đuổi về quê quán
帝览奏叹息，因起更衣 ||| Về sau bọn hoạn quan là Trương Nhượng, Triệu Trung, Phong Tư, Đoan Khuê, Tào Tiết, Hầu Lãm, Kiển Thạc, Trình Khoáng, Hạ Huy, Quách Thắng, cả thẩy mười người gọi là mười quan "Thường thị" bè đảng với nhau kéo cánh làm càn
曹节在后窃视，悉宣告左右；遂以他事陷邕于罪，放归田里 ||| Nhà vua tin dùng tôn trọng Trương Nhượng, gọi là "Á phụ" (nghĩa là vua coi như cha)
