第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
却说先主欲起兵东征，赵云谏曰：“国贼乃曹操，非孙权也。	Tiên chủ muốn khởi quân sang đánh Đông Ngô, Triệu Vân can rằng: - Quốc tặc là Tào Tháo chớ không phải là Tôn Quyền.
今曹丕篡汉，神人共怒。	Nay Tào Phi cướp ngôi, thần và người cùng oán.
陛下可早图关中，屯兵渭河上流，以讨凶逆，则关东义士，必裹粮策马以迎王师；若舍魏以伐吴，兵势一交，岂能骤解。 愿陛下察之。”	Bệ hạ nên lấy Quan Trung trước, đóng quân mé trên sông Vi Hà, để đánh kẻ hung nghịch, thì bọn nghĩa sĩ bên Quan Đông, ắt mang lương, tế ngựa đến đón quân bệ hạ. Nếu bỏ Ngụy mà đánh Ngô, việc chiến tranh đã gây ra, dễ mà thôi ngay được, xin bệ hạ xét kỹ mà xem!
先主曰：“孙权害了朕弟；又兼傅士仁、糜芳、潘璋、马忠皆有切齿之仇：啖其肉而灭其族，方雪朕恨！ 卿何阻耶？”	Tiên chủ nói: - Tôn Quyền hại mất em trẫm, vả lại trẫm còn đang căm tức bọn Phó Sĩ Nhân, My Phương, Phan Chương, Mã Trung, có xé được xác chúng và giết cả họ chúng, trẫm mới hả lòng, ngươi cản trở trẫm sao?
云曰：“汉贼之仇，公也；兄弟之仇，私也。 愿以天下为重。”	Vân thưa: - Thù giặc nước mới là thù chung, còn thù anh em là thù riêng, xin bệ hạ coi thiên hạ trọng hơn mới được.
先主答曰：“朕不为弟报仇，虽有万里江山，何足为贵？”	Tiên chủ đáp: - Trẫm không báo thù được cho em, tuy có giang sơn muôn dặm, cũng chẳng quý gì?
遂不听赵云之谏，下令起兵伐吴；且发使往五溪，借番兵五万，共相策应；一面差使往阆中，迁张飞为车骑将军，领司隶校尉，封西乡侯，兼阆中牧。 使命赍诏而去。	Rồi không nghe lời Triệu Vân, một mặt truyền ngay lệnh khởi quân sang đánh Ngô, và sai sứ ra Ngũ Khê mượn năm vạn quân rợ để tiếp ứng, một mặt sai sứ sang Lãng Trung, thăng cho Trương Phi làm xa kỵ tướng quân, lãnh chức tư lễ hiệu uý, phong làm hầu Tây Lương, kiêm chức mục ở Lãng Trung.
却说张飞在阆中，闻知关公被东吴所害，旦夕号泣，血湿衣襟。	Trương Phi giữ Lãng Trung, từ khi nghe tin Quan Công bị Đông Ngô hại, ngày nào cũng gào khóc cả ngày, nước mắt chảy ra huyết đầm đìa vạt áo.
诸将以酒解劝，酒醉，怒气愈加。	Các tướng đem rượu khuyên giải, rượu say vào Phi lại càng hung hăng lắm.
帐上帐下，但有犯者即鞭挞之；多有鞭死者。	Đầy tớ trên dưới hơi có điều gì là đánh, lắm người bị đòn mà chết.
每日望南切齿睁目怒恨，放声痛哭不已。	Mỗi ngày trông về phía nam, Phi nghiến răng trợn mắt hằn học, khóc lóc thảm thiết.
