Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.2    0.02        0.0         0.8904    0.8080    0.8472    5954    6687        7369      
-0.15   0.02        0.0         0.8901    0.8081    0.8471    5955    6690        7369      
-0.2    0.02        0.25        0.8901    0.8078    0.8470    5953    6688        7369      
-0.15   0.01        0.0         0.8906    0.8074    0.8470    5950    6681        7369      
-0.2    0.02        0.05        0.8902    0.8077    0.8470    5952    6686        7369      
-0.2    0.02        0.1         0.8902    0.8077    0.8470    5952    6686        7369      
-0.2    0.02        0.15        0.8902    0.8077    0.8470    5952    6686        7369      
-0.25   0.02        0.0         0.8902    0.8077    0.8470    5952    6686        7369      
-0.3    0.02        0.0         0.8902    0.8077    0.8470    5952    6686        7369      
-0.15   0.01        0.05        0.8907    0.8073    0.8470    5949    6679        7369      
-0.15   0.01        0.1         0.8907    0.8073    0.8470    5949    6679        7369      
-0.2    0.01        0.0         0.8907    0.8073    0.8470    5949    6679        7369      
-0.15   0.02        0.25        0.8899    0.8080    0.8469    5954    6691        7369      
-0.2    0.01        0.05        0.8908    0.8072    0.8469    5948    6677        7369      
-0.2    0.01        0.1         0.8908    0.8072    0.8469    5948    6677        7369      
-0.15   0.02        0.05        0.8900    0.8078    0.8469    5953    6689        7369      
-0.15   0.02        0.1         0.8900    0.8078    0.8469    5953    6689        7369      
-0.15   0.02        0.15        0.8900    0.8078    0.8469    5953    6689        7369      
-0.2    0.02        0.2         0.8901    0.8077    0.8469    5952    6687        7369      
-0.15   0.01        0.15        0.8907    0.8072    0.8469    5948    6678        7369      
-0.15   0.02        0.2         0.8898    0.8078    0.8469    5953    6690        7369      
-0.2    0.01        0.15        0.8908    0.8070    0.8468    5947    6676        7369      
-0.15   0.0         0.0         0.8908    0.8069    0.8468    5946    6675        7369      
-0.25   0.02        0.25        0.8899    0.8076    0.8468    5951    6687        7369      
-0.3    0.02        0.25        0.8899    0.8076    0.8468    5951    6687        7369      
-0.25   0.02        0.05        0.8901    0.8074    0.8467    5950    6685        7369      
-0.25   0.02        0.1         0.8901    0.8074    0.8467    5950    6685        7369      
-0.25   0.02        0.15        0.8901    0.8074    0.8467    5950    6685        7369      
-0.3    0.02        0.05        0.8901    0.8074    0.8467    5950    6685        7369      
-0.3    0.02        0.1         0.8901    0.8074    0.8467    5950    6685        7369      
-0.3    0.02        0.15        0.8901    0.8074    0.8467    5950    6685        7369      
-0.35   0.02        0.0         0.8901    0.8074    0.8467    5950    6685        7369      
-0.4    0.02        0.0         0.8901    0.8074    0.8467    5950    6685        7369      
-0.45   0.02        0.0         0.8901    0.8074    0.8467    5950    6685        7369      
-0.5    0.02        0.0         0.8901    0.8074    0.8467    5950    6685        7369      
-0.25   0.01        0.0         0.8905    0.8070    0.8467    5947    6678        7369      
-0.3    0.01        0.0         0.8905    0.8070    0.8467    5947    6678        7369      
-0.2    0.03        0.2         0.8892    0.8081    0.8467    5955    6697        7369      
-0.25   0.01        0.05        0.8907    0.8069    0.8467    5946    6676        7369      
-0.25   0.01        0.1         0.8907    0.8069    0.8467    5946    6676        7369      
-0.3    0.01        0.05        0.8907    0.8069    0.8467    5946    6676        7369      
-0.3    0.01        0.1         0.8907    0.8069    0.8467    5946    6676        7369      
-0.2    0.03        0.0         0.8893    0.8080    0.8467    5954    6695        7369      
-0.2    0.02        0.3         0.8898    0.8076    0.8467    5951    6688        7369      
-0.25   0.02        0.2         0.8899    0.8074    0.8467    5950    6686        7369      
-0.3    0.02        0.2         0.8899    0.8074    0.8467    5950    6686        7369      
-0.2    0.0         0.0         0.8909    0.8066    0.8467    5944    6672        7369      
-0.25   0.0         0.0         0.8909    0.8066    0.8467    5944    6672        7369      
-0.15   0.02        0.3         0.8896    0.8077    0.8467    5952    6691        7369      
-0.25   0.01        0.15        0.8906    0.8068    0.8466    5945    6675        7369      
-0.3    0.01        0.15        0.8906    0.8068    0.8466    5945    6675        7369      
-0.15   0.01        0.3         0.8903    0.8070    0.8466    5947    6680        7369      
-0.15   0.01        0.35        0.8903    0.8070    0.8466    5947    6680        7369      
-0.15   0.01        0.4         0.8903    0.8070    0.8466    5947    6680        7369      
-0.15   0.01        0.45        0.8903    0.8070    0.8466    5947    6680        7369      
-0.15   0.01        0.2         0.8904    0.8069    0.8466    5946    6678        7369      
-0.2    0.01        0.3         0.8904    0.8069    0.8466    5946    6678        7369      
-0.2    0.01        0.35        0.8904    0.8069    0.8466    5946    6678        7369      
-0.2    0.01        0.4         0.8904    0.8069    0.8466    5946    6678        7369      
-0.2    0.01        0.45        0.8904    0.8069    0.8466    5946    6678        7369      
-0.2    0.01        0.2         0.8905    0.8068    0.8466    5945    6676        7369      
-0.15   0.0         0.05        0.8906    0.8066    0.8465    5944    6674        7369      
-0.35   0.02        0.25        0.8898    0.8073    0.8465    5949    6686        7369      
-0.4    0.02        0.25        0.8898    0.8073    0.8465    5949    6686        7369      
-0.45   0.02        0.25        0.8898    0.8073    0.8465    5949    6686        7369      
-0.5    0.02        0.25        0.8898    0.8073    0.8465    5949    6686        7369      
-0.15   0.01        0.25        0.8903    0.8069    0.8465    5946    6679        7369      
-0.1    0.01        0.15        0.8899    0.8072    0.8465    5948    6684        7369      
-0.35   0.02        0.05        0.8899    0.8072    0.8465    5948    6684        7369      
-0.35   0.02        0.1         0.8899    0.8072    0.8465    5948    6684        7369      
-0.35   0.02        0.15        0.8899    0.8072    0.8465    5948    6684        7369      
-0.4    0.02        0.05        0.8899    0.8072    0.8465    5948    6684        7369      
-0.4    0.02        0.1         0.8899    0.8072    0.8465    5948    6684        7369      
-0.4    0.02        0.15        0.8899    0.8072    0.8465    5948    6684        7369      
-0.45   0.02        0.05        0.8899    0.8072    0.8465    5948    6684        7369      
-0.45   0.02        0.1         0.8899    0.8072    0.8465    5948    6684        7369      
-0.45   0.02        0.15        0.8899    0.8072    0.8465    5948    6684        7369      
-0.5    0.02        0.05        0.8899    0.8072    0.8465    5948    6684        7369      
-0.5    0.02        0.1         0.8899    0.8072    0.8465    5948    6684        7369      
-0.5    0.02        0.15        0.8899    0.8072    0.8465    5948    6684        7369      
-0.2    0.01        0.25        0.8904    0.8068    0.8465    5945    6677        7369      
-0.35   0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.4    0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.45   0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.5    0.01        0.0         0.8904    0.8068    0.8465    5945    6677        7369      
-0.2    0.03        0.25        0.8890    0.8078    0.8465    5953    6696        7369      
-0.2    0.03        0.3         0.8890    0.8078    0.8465    5953    6696        7369      
-0.25   0.03        0.2         0.8890    0.8078    0.8465    5953    6696        7369      
-0.35   0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.35   0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
-0.4    0.01        0.05        0.8905    0.8066    0.8465    5944    6675        7369      
-0.4    0.01        0.1         0.8905    0.8066    0.8465    5944    6675        7369      
